id,x0,x1,x2,fitness-3,fitness-5,fitness-4,fitness-4.5,fitness-3.5
160,-1.30614,4.74688,-1.37196,-616.909,NA,NA,NA,NA
206,-2.04297,4.15072,-3.07641,NA,-123.627,NA,NA,NA
519,-2.78381,4.64706,-3.81276,NA,NA,-112.402,NA,NA
723,-1.51319,3.86479,-4.33851,NA,NA,NA,-32.261,NA
899,-1.7208,4.22446,-4.7439,NA,NA,-42.407,NA,NA
1021,-1.73819,4.39451,-4.84721,NA,NA,NA,-51.694,NA
1277,-1.74512,4.08479,-4.77268,NA,-33.219,NA,NA,NA
1424,-2.27551,3.69571,-4.76627,NA,NA,-48.109,NA,NA
1624,-1.42337,3.09506,-4.85035,NA,NA,-63.298,NA,NA
1976,-1.34208,3.8986,-4.70675,NA,-34.959,NA,NA,NA
2087,-1.62147,3.24369,-4.68639,NA,NA,-42.344,NA,NA
2374,-2.00549,3.45952,-4.32367,NA,-44.846,NA,NA,NA
2493,-1.84822,3.68199,-4.44617,NA,NA,NA,-31.843,NA
2682,-2.07387,4.11965,-4.48952,NA,-49.22,NA,NA,NA
2891,-1.46312,4.07501,-4.92083,NA,NA,NA,-27.907,NA
3135,-1.14111,4.16923,-4.95511,NA,NA,NA,NA,-56.106
3286,-1.29777,4.16341,-4.57533,NA,NA,-73.425,NA,NA
3426,-1.26238,3.67883,-4.97889,NA,NA,NA,NA,-86.573
3734,-1.42683,4.0134,-4.62146,NA,NA,NA,-32.457,NA
3901,-1.62274,3.25108,-4.75436,NA,NA,NA,NA,-75.487
4194,-1.32695,3.38099,-3.76909,NA,NA,NA,-68.303,NA
4309,-1.42809,3.77518,-4.55832,NA,-49.024,NA,NA,NA
4599,-2.31494,4.21042,-4.26114,NA,NA,NA,-58.674,NA
4791,-1.25712,3.84153,-4.8087,NA,-41.595,NA,NA,NA
4835,-1.59464,4.68294,-4.81213,NA,-66.607,NA,NA,NA
5101,-1.34626,4.48851,-4.68943,NA,NA,NA,-57.475,NA
5263,-1.02896,3.50472,-4.80623,NA,NA,NA,-55.227,NA
5587,-1.65506,4.04021,-4.88718,NA,NA,-32.526,NA,NA
5613,-1.2669,3.2367,-4.8084,NA,NA,NA,-58.075,NA
5874,-2.16026,3.5654,-4.82974,NA,NA,NA,-43.808,NA
6190,-1.52815,3.45275,-4.84109,NA,NA,-32.623,NA,NA
6324,-1.47564,3.3213,-4.93369,NA,-43.197,NA,NA,NA
6596,-1.36939,4.13013,-4.97169,NA,NA,NA,-19.64,NA
6691,-1.82146,4.26058,-4.79351,NA,NA,NA,-39.452,NA
6976,-1.8579,3.6783,-4.53613,NA,-41.106,NA,NA,NA
7095,-1.97137,4.20442,-4.71029,NA,NA,NA,-28.262,NA
7212,-1.88719,4.67866,-4.1881,NA,NA,NA,-69.888,NA
7572,-1.63119,3.51888,-4.81266,NA,NA,NA,-13.655,NA
7662,-1.40422,3.43422,-4.65885,NA,NA,NA,-24.912,NA
7845,-2.22188,4.08578,-4.83491,NA,NA,NA,-45.565,NA
8182,-1.87443,3.85555,-4.44272,NA,NA,NA,-34.233,NA
8330,-1.64349,4.14969,-4.68706,NA,NA,NA,NA,-51.157
8504,-1.31116,3.98813,-4.93916,NA,NA,NA,-19.68,NA
8656,-1.47087,4.99741,-4.09002,NA,-97.168,NA,NA,NA
8958,-1.74012,3.38913,-4.94827,NA,NA,NA,-29.256,NA
9063,-2.34509,3.9842,-4.62946,NA,NA,NA,-51.478,NA
9202,-2.8052,3.01387,-4.21046,NA,NA,NA,-101.584,NA
9572,-2.10854,3.20955,-4.63831,NA,-61.756,NA,NA,NA
9689,-1.30298,3.69726,-4.35793,NA,NA,NA,-30.292,NA
9890,-1.75377,4.66419,-4.74806,NA,NA,NA,-43.764,NA
10106,-1.78453,4.05221,-4.50956,NA,NA,NA,-35.821,NA
10274,-1.16889,3.76021,-4.42625,NA,NA,NA,-52.857,NA
10581,-1.10247,3.99596,-4.75884,NA,NA,NA,-37.18,NA
10685,-1.35981,4.22948,-4.5955,NA,NA,NA,-43.226,NA
10927,-1.5256,4.81194,-4.55357,NA,NA,NA,-72.691,NA
11088,-1.78875,4.07309,-4.45616,NA,NA,NA,-35.017,NA
11289,-1.27288,3.60264,-4.67859,NA,NA,-17.975,NA,NA
11480,-1.03385,3.2954,-4.54665,NA,NA,NA,-69.046,NA
11726,-1.85921,3.24933,-4.27094,NA,-74.209,NA,NA,NA
11945,-1.70301,3.04798,-4.85992,NA,NA,NA,-33.808,NA
12186,-1.66988,3.65716,-4.46133,NA,-36.126,NA,NA,NA
12379,-1.66567,3.95207,-4.67528,NA,-35.972,NA,NA,NA
12525,-2.19868,4.38796,-4.83497,NA,NA,NA,-52.915,NA
12605,-1.87141,3.78422,-4.98659,NA,NA,NA,-18.786,NA
12881,-1.42376,3.57271,-4.82074,NA,NA,NA,-2.401,NA
13068,-2.06855,3.71793,-4.17889,NA,NA,NA,-50.571,NA
13253,-1.47384,4.18984,-4.34434,NA,-48.938,NA,NA,NA
13567,-1.55761,4.22695,-4.85819,NA,NA,NA,-32.534,NA
13607,-1.53678,4.0276,-4.85062,NA,NA,NA,-14.742,NA
13919,-1.45175,4.38394,-4.69352,NA,NA,NA,-40.811,NA
14090,-1.66745,4.16991,-4.62976,NA,NA,NA,-34.633,NA
14251,-1.96588,3.94573,-4.98327,NA,-34.654,NA,NA,NA
14518,-1.57344,3.61284,-4.10104,NA,-70.195,NA,NA,NA
14702,-1.71848,4.05229,-4.53427,NA,NA,-32.289,NA,NA
14891,-1.73754,3.71057,-4.13296,NA,-57.397,NA,NA,NA
15124,-1.68391,3.91536,-4.65845,NA,-41.712,NA,NA,NA
15303,-1.57409,3.61193,-4.77031,NA,-33.885,NA,NA,NA
15577,-1.9045,4.1451,-4.74891,NA,NA,NA,-28.449,NA
15635,-2.54161,3.45557,-4.96057,NA,-68.024,NA,NA,NA
15844,-1.42462,3.53134,-4.87758,NA,NA,NA,-14.594,NA
16057,-1.92282,3.64589,-4.61794,NA,NA,-28.686,NA,NA
16225,-1.97628,4.04733,-4.70783,NA,NA,NA,-32.156,NA
16417,-2.86574,4.09054,-4.61568,NA,NA,NA,-73.022,NA
16745,-2.01161,4.17007,-4.25496,NA,-46.288,NA,NA,NA
16899,-2.32453,4.19746,-4.21614,NA,NA,NA,-48.353,NA
17131,-1.49496,3.36457,-4.78402,NA,NA,-23.354,NA,NA
17387,-1.36028,4.31258,-4.39715,NA,NA,-50.861,NA,NA
17503,-1.32299,4.06777,-4.77519,NA,NA,NA,-22.843,NA
17759,-1.24185,3.82702,-4.76108,NA,-35.025,NA,NA,NA
17803,-1.95813,4.05212,-4.68489,NA,NA,NA,-31.071,NA
18060,-1.56509,3.28504,-4.72484,NA,NA,-50.87,NA,NA
18245,-2.8896,3.35207,-4.57464,NA,-82.992,NA,NA,NA
18560,-1.42629,3.5058,-4.61884,NA,NA,-15.734,NA,NA
18755,-1.90844,3.39003,-4.58035,NA,NA,-37.062,NA,NA
18989,-1.49053,3.76872,-4.73568,NA,-22.875,NA,NA,NA
19053,-1.69793,3.6703,-4.49164,NA,NA,NA,-24.526,NA
19208,-1.51003,3.21008,-4.86146,NA,NA,NA,-29.518,NA
19470,-1.3134,4.12007,-4.56941,NA,NA,NA,-38.587,NA
19621,-1.67699,3.73299,-4.58439,NA,NA,-14.999,NA,NA
