id,x0,x1,x2,fitness2,fitness-1,fitness-1.5,fitness-0.5,fitness-2,fitness0,fitness1,fitness0.5,fitness-2.5,fitness-3,fitness-3.5,fitness1.5,fitness-4,fitness-5
141,0.43625,-1.43837,-0.869555,1202.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,-2.14965,-0.60597,-1.60989,NA,4158.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,-1.60888,-1.01873,-0.780178,NA,8065.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,-1.32077,-1.38419,-0.884852,NA,NA,17513.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
938,-1.39074,-0.264121,-0.752741,NA,NA,15966.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1153,-0.972967,-2.0916,0.868409,NA,2586.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,-1.5735,-0.0997602,1.361,NA,846.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1411,-1.5404,-1.99303,1.20952,NA,NA,NA,2052.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1727,-0.724656,-2.14708,-0.0451677,NA,4830.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,-0.975399,-0.741884,-0.082787,NA,3925.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,-0.393869,-1.25993,-0.899954,NA,NA,4743.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2350,0.870102,-0.52273,-0.738522,NA,NA,NA,NA,1178.018,NA,NA,NA,NA,NA,NA,NA,NA,NA
2456,-1.5621,0.765188,-1.52294,NA,NA,NA,2512.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2688,-1.24417,0.000782462,-2.17378,NA,NA,NA,NA,NA,921.977,NA,NA,NA,NA,NA,NA,NA,NA
2912,-0.285702,-0.738834,-1.49034,NA,1745.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3164,0.439305,-1.95403,-0.616774,NA,1132.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3263,-1.95274,-1.50807,-0.641596,NA,NA,NA,9257.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3470,-0.718922,-1.17163,-0.239764,NA,NA,NA,NA,NA,3012.22,NA,NA,NA,NA,NA,NA,NA,NA
3647,-1.83826,-1.31581,-1.26389,NA,NA,3127.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3939,-1.29845,-1.30657,-1.41469,NA,NA,NA,14177.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4139,-0.906621,-0.0025618,-0.826565,NA,NA,NA,NA,3732.731,NA,NA,NA,NA,NA,NA,NA,NA,NA
4277,-0.0313104,-0.24471,-0.987678,NA,NA,5124.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4462,-0.690253,-1.60086,-2.21266,NA,3583.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4776,-0.628621,-0.557079,-2.08966,NA,NA,1419.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4835,-0.966145,0.284334,-2.09309,NA,NA,2373.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5063,-0.178159,-0.514176,-1.53689,NA,NA,NA,NA,NA,NA,1192.451,NA,NA,NA,NA,NA,NA,NA
5281,-0.767892,-0.717271,-0.924624,NA,NA,NA,NA,NA,NA,NA,7012.489,NA,NA,NA,NA,NA,NA
5517,-0.909976,-1.45562,-1.64041,NA,NA,NA,2510.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5762,-1.4337,-0.636302,-2.89598,NA,4563.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5822,-1.33407,-1.01658,-1.37489,NA,NA,12944.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6124,-1.29627,-1.05429,-1.96096,NA,1576.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6329,-0.79439,-0.907509,-1.72835,NA,5676.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6442,-1.01216,-0.510743,-2.53176,NA,1203.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6711,-1.50402,0.326331,-2.46416,NA,NA,1935.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6900,-1.34255,-0.0101813,-1.69869,NA,2845.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7192,-0.709456,-1.66743,-2.08281,NA,2170.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7231,-0.352423,-1.23369,-2.58218,NA,1699.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7426,-1.57122,-1.38525,-4.80839,NA,NA,1388.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7722,-0.842386,-0.286911,-4.55414,NA,NA,2503.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7885,-0.567118,-0.336208,-4.86621,NA,1322.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8108,-1.37556,-1.44516,-3.98759,NA,NA,5960.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8346,-0.861519,-1.82845,-0.995538,NA,NA,3720.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8407,-1.57919,-1.28463,-0.56978,NA,NA,894.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8662,-0.806939,-2.19458,-1.8505,NA,NA,1538.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8890,-0.676268,-0.95894,-2.09464,NA,NA,5628.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9121,-1.07375,-1.37122,-1.49262,NA,NA,3209.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9352,-0.783761,0.872049,0.287276,NA,NA,NA,NA,979.211,NA,NA,NA,NA,NA,NA,NA,NA,NA
9456,-0.660858,3.67446,-0.222328,NA,NA,2372.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9714,-1.47445,2.25659,-0.361248,NA,NA,1846.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9970,-0.562957,4.92391,-0.239356,NA,NA,8201.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10030,-0.221117,4.22859,1.14579,NA,NA,NA,792.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10311,-0.98872,4.91602,-0.401133,NA,2615.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10482,-1.55273,4.25795,-0.209815,NA,NA,6653.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10764,-1.3374,3.21857,-0.366071,NA,NA,2239.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10818,-2.13287,3.84881,-1.49922,NA,NA,NA,NA,NA,1306.703,NA,NA,NA,NA,NA,NA,NA,NA
11171,-1.41702,4.93943,-1.27885,NA,NA,NA,NA,NA,NA,NA,5502.281,NA,NA,NA,NA,NA,NA
11376,-1.07951,4.82101,-0.596018,NA,4415.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11561,-1.93387,4.08295,-0.597533,NA,NA,NA,1009.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11618,-2.07488,4.4172,-1.50345,NA,NA,NA,1157.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11859,-1.19593,4.77705,-0.206353,NA,NA,NA,NA,NA,1523.774,NA,NA,NA,NA,NA,NA,NA,NA
