id,x0,x1,x2,fitness1,fitness1.5,fitness0,fitness-1,fitness-0.5,fitness0.5,fitness-1.5,fitness-2.5,fitness-2,fitness2,fitness-3,fitness-3.5,fitness2.5,fitness4,fitness4.5,fitness3.5,fitness5,fitness3,fitness-4,fitness-4.5,fitness-5
77,-2.8923,-0.0384889,-1.65712,250.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,0.124256,0.0838234,-2.62187,-0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,-0.746341,-1.05992,-2.00847,NA,944.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
707,-3.13982,-0.678541,-1.99238,NA,NA,950.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
916,-4.38211,-1.80183,-0.956244,NA,NA,NA,205.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,-4.177,-0.971444,-0.112462,NA,NA,NA,NA,124.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1261,-4.91068,-0.674985,-1.08074,NA,NA,NA,NA,NA,311.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,-3.19121,-0.412131,-0.928052,NA,NA,NA,NA,NA,151.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1650,-2.53937,-0.445554,-0.92541,NA,NA,NA,NA,NA,NA,270.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,-4.53846,-0.131869,-1.66095,NA,NA,NA,NA,1590.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2089,-3.9716,0.278423,-2.15548,NA,NA,NA,NA,NA,NA,362.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2239,-4.02725,-1.54161,-1.02602,NA,NA,NA,2861.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2408,-3.78446,-3.11425,-1.69018,NA,NA,NA,157.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2768,-4.52943,-2.32418,-1.38095,NA,NA,65.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2883,-4.68943,0.416464,-0.898897,NA,50.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3111,-1.53449,-0.805625,-1.31035,NA,NA,6569.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3217,-1.2043,-1.69742,-0.781527,NA,NA,NA,NA,2302.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
