id,x0,x1,x2,fitness-5,fitness-4.5,fitness-3.5,fitness-3,fitness-1.5,fitness-1,fitness-2,fitness-0.5,fitness-2.5,fitness0,fitness0.5,fitness1,fitness1.5,fitness2,fitness3.5,fitness5,fitness4.5,fitness4,fitness2.5,fitness-4,fitness3
138,-3.03783,-2.02182,-1.34392,714.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,-1.56154,-1.42842,-1.91919,NA,1869.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,-0.389782,-2.00648,-1.34625,NA,NA,565.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,-1.02149,-0.73272,-1.63737,NA,NA,NA,1733.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814,-2.01258,-0.720037,-1.28306,NA,NA,NA,2644.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,-2.09488,-0.186652,-0.0939651,NA,899.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1220,-0.763338,-0.197619,-0.497484,467.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1510,-1.2225,0.76369,-0.950987,NA,665.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1635,-0.852492,1.25628,-1.27048,NA,NA,NA,1018.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,-1.36212,-0.194036,-2.06656,NA,NA,NA,NA,7167.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2154,-1.66902,-0.786071,-1.4656,NA,NA,NA,NA,NA,6815.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2253,-2.17875,-0.488975,-0.289501,NA,NA,NA,NA,NA,NA,84.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2449,-1.03403,-1.48681,-1.62423,NA,NA,NA,NA,6600.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2716,-0.33087,-1.37715,-1.39645,NA,NA,NA,NA,NA,NA,NA,13377.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2828,-1.8439,-1.62252,0.0250442,NA,NA,NA,NA,NA,NA,NA,NA,236.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3132,-3.10477,-1.41383,-0.293946,NA,NA,NA,NA,2986.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3380,-1.55572,-0.125909,-1.07837,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3520,-1.83194,0.907332,-0.0351047,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
