id,x0,x1,x2,fitness7.5,fitness7,fitness8.5,fitness8,fitness6.5,fitness9,fitness10,fitness9.5,fitness6,fitness4,fitness5,fitness4.5,fitness2.5
187,7.69629,2.36404,9.39201,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,8.04657,2.34437,9.81149,NA,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,8.67496,2.27152,8.78052,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
614,8.68576,3.26426,7.89017,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980,8.44175,3.37849,8.2828,NA,NA,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,7.45128,3.42741,8.58945,NA,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390,7.23816,4.46,8.23003,NA,NA,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1483,7.37112,3.27558,8.65602,NA,NA,NA,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA
1680,7.69626,2.80517,8.18222,NA,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,8.29751,3.27525,7.79636,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2126,7.63182,4.24895,8.54526,NA,NA,NA,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA
2255,7.42946,4.40682,8.9269,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA
2532,8.47239,3.81961,8.50295,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2629,8.94053,4.77723,7.79519,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
2837,7.83931,4.78445,7.65348,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
3060,8.5589,3.94166,8.68923,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3272,8.07641,4.92179,7.31647,NA,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3519,8.76836,4.77805,7.73515,NA,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3710,7.86572,4.65815,7.2656,NA,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3919,7.39015,4.97071,9.15266,NA,NA,NA,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA
4177,8.78935,7.6383,8.85072,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4304,8.57081,7.4836,7.87768,NA,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4509,8.92854,6.05565,7.80408,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4739,8.23005,6.75343,8.02138,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4925,7.82329,7.54386,6.62963,NA,NA,NA,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA
5178,7.23764,6.45105,7.24623,NA,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5290,7.42086,7.25679,6.99459,NA,NA,NA,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA
5565,7.40996,8.53481,7.87352,NA,NA,NA,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA
5760,8.32183,8.66163,8.45282,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5832,7.27887,8.95101,7.68577,0.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6140,7.03082,7.96542,7.02819,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA
6270,7.06357,7.19577,7.45092,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6468,6.79372,8.1834,7.7826,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6703,6.40532,8.83754,8.33747,NA,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6858,7.93178,8.52498,8.92537,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
7032,7.7738,9.1242,7.70918,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA
7214,7.80701,7.89412,6.36992,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7475,8.13099,7.02026,6.40205,0.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7663,8.20847,6.99763,5.03689,NA,NA,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7925,8.68986,8.3188,4.1006,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
8073,9.14499,8.13808,4.39978,NA,NA,0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8220,9.10965,8.43095,7.39473,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8478,8.99736,8.37457,7.0897,NA,NA,NA,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA
8735,7.67215,8.9448,7.96163,NA,NA,NA,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA
8988,7.54094,8.36086,7.429,NA,NA,NA,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA
9174,8.07111,7.79018,7.76933,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9354,8.21416,7.2174,8.56065,NA,NA,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
