id,x0,x1,x2,fitness6,fitness5.5,fitness6.5,fitness8,fitness8.5,fitness7.5,fitness7,fitness9,fitness9.5,fitness4.5,fitness3.5,fitness4,fitness5
162,7.43926,9.74548,7.3744,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,7.4239,8.26299,8.13439,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,8.39279,7.5042,7.504,NA,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629,8.20007,7.21745,6.94907,NA,NA,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,8.37876,7.51988,8.17262,NA,NA,NA,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,8.10035,7.53987,8.57528,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
1331,8.2721,7.72781,7.19694,NA,NA,NA,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA
1512,7.51065,8.14029,8.10671,NA,NA,NA,NA,0.851,NA,NA,NA,NA,NA,NA,NA,NA
1680,7.26236,8.65592,8.13277,NA,NA,NA,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
1819,7.5284,8.92096,7.90625,NA,NA,NA,0.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
2097,8.47371,8.21103,8.18887,NA,NA,NA,NA,NA,0.791,NA,NA,NA,NA,NA,NA,NA
2299,8.72037,7.39004,8.14935,NA,NA,NA,NA,NA,NA,0.719,NA,NA,NA,NA,NA,NA
2403,8.46867,7.16955,8.64591,NA,NA,NA,0.679,NA,NA,NA,NA,NA,NA,NA,NA,NA
2779,7.89181,7.56895,7.89855,NA,NA,NA,NA,NA,NA,0.899,NA,NA,NA,NA,NA,NA
2944,8.43031,8.55024,8.27047,NA,NA,NA,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA
3092,7.98407,9.03271,7.96132,NA,NA,NA,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA
3340,7.42712,7.57823,7.69919,NA,NA,NA,NA,NA,NA,0.845,NA,NA,NA,NA,NA,NA
3582,8.55511,7.55423,8.16137,NA,NA,0.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3741,7.95088,7.21498,7.7753,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA
3927,8.00871,6.97534,7.43312,NA,NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA
4148,7.33073,7.71267,7.33825,NA,NA,NA,NA,0.864,NA,NA,NA,NA,NA,NA,NA,NA
4334,6.99284,7.91955,7.64337,NA,NA,NA,0.877,NA,NA,NA,NA,NA,NA,NA,NA,NA
4563,8.00911,8.00303,8.31331,NA,NA,NA,NA,NA,0.886,NA,NA,NA,NA,NA,NA,NA
4732,7.93191,8.15997,9.14488,NA,NA,NA,NA,0.592,NA,NA,NA,NA,NA,NA,NA,NA
4861,7.23934,8.649,8.09455,NA,NA,NA,NA,NA,NA,NA,0.516,NA,NA,NA,NA,NA
5103,7.35871,8.74269,7.82967,NA,NA,NA,NA,0.676,NA,NA,NA,NA,NA,NA,NA,NA
5252,6.95401,7.66184,8.13646,NA,NA,NA,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA
5439,8.29095,7.565,8.43968,NA,NA,NA,NA,NA,0.801,NA,NA,NA,NA,NA,NA,NA
5602,8.5265,8.29452,8.08562,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA
5837,8.4492,7.52502,7.87053,NA,NA,NA,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA
6131,7.95248,7.69467,8.9567,NA,NA,NA,NA,0.676,NA,NA,NA,NA,NA,NA,NA,NA
6329,8.08429,7.68387,9.1825,NA,NA,NA,NA,NA,0.651,NA,NA,NA,NA,NA,NA,NA
6509,8.31489,7.26678,8.77213,NA,NA,NA,NA,NA,0.682,NA,NA,NA,NA,NA,NA,NA
