id,x0,x1,x2,fitness7.5,fitness8,fitness7,fitness9,fitness8.5,fitness6.5,fitness9.5
149,7.91394,2.04678,7.58264,0.903,NA,NA,NA,NA,NA,NA
272,8.22123,0.543487,7.55479,NA,0.727,NA,NA,NA,NA,NA
479,7.35397,2.48514,7.45614,0.788,NA,NA,NA,NA,NA,NA
667,8.02289,1.96483,7.74379,NA,0.842,NA,NA,NA,NA,NA
909,8.45043,3.76144,7.30302,0.771,NA,NA,NA,NA,NA,NA
1093,7.70301,4.41177,7.34557,NA,NA,0.736,NA,NA,NA,NA
1308,8.42563,4.35306,8.59711,0.729,NA,NA,NA,NA,NA,NA
1552,8.28219,4.25139,7.96918,NA,0.886,NA,NA,NA,NA,NA
1712,7.73852,4.60701,7.77051,NA,NA,NA,0.642,NA,NA,NA
1816,7.99043,3.82219,7.38995,NA,0.879,NA,NA,NA,NA,NA
2018,6.57002,2.50498,7.3322,NA,0.521,NA,NA,NA,NA,NA
2242,8.27121,2.19824,6.6361,NA,0.678,NA,NA,NA,NA,NA
2438,7.2022,3.77287,6.89092,NA,0.712,NA,NA,NA,NA,NA
2740,7.81189,4.19635,7.31859,0.915,NA,NA,NA,NA,NA,NA
2845,7.09771,3.73866,7.67529,0.815,NA,NA,NA,NA,NA,NA
3050,6.76921,4.07099,7.8886,NA,0.8,NA,NA,NA,NA,NA
3395,8.37423,4.10511,8.07064,NA,0.838,NA,NA,NA,NA,NA
3413,8.52011,3.96359,8.04564,0.843,NA,NA,NA,NA,NA,NA
3692,8.7501,2.38724,7.98144,NA,NA,0.615,NA,NA,NA,NA
3945,7.98191,3.89455,8.36059,NA,0.863,NA,NA,NA,NA,NA
4006,7.47045,4.3284,7.26305,0.913,NA,NA,NA,NA,NA,NA
4347,7.34572,4.24825,7.54791,0.953,NA,NA,NA,NA,NA,NA
4496,7.08457,3.98647,8.16865,NA,NA,0.799,NA,NA,NA,NA
4704,7.89658,4.57059,7.41275,0.841,NA,NA,NA,NA,NA,NA
4886,6.9656,4.15322,7.77297,NA,NA,NA,NA,0.772,NA,NA
5167,8.92938,7.20537,9.10765,NA,0.417,NA,NA,NA,NA,NA
5397,7.87173,8.00027,7.14037,NA,0.893,NA,NA,NA,NA,NA
5567,7.62576,7.44587,7.23355,0.911,NA,NA,NA,NA,NA,NA
5610,8.12299,8.55075,7.63331,NA,0.834,NA,NA,NA,NA,NA
5830,7.46225,8.15404,7.49864,0.938,NA,NA,NA,NA,NA,NA
6143,7.6097,7.6627,7.75982,NA,NA,NA,NA,0.842,NA,NA
6293,8.151,7.47401,8.51186,NA,0.822,NA,NA,NA,NA,NA
6505,7.54611,7.94431,8.01242,NA,NA,NA,NA,0.9,NA,NA
6792,7.65262,8.02099,7.54688,0.963,NA,NA,NA,NA,NA,NA
6824,7.20354,7.95052,8.42408,NA,0.803,NA,NA,NA,NA,NA
7088,6.97596,7.39577,7.91021,0.857,NA,NA,NA,NA,NA,NA
7217,7.6304,8.14889,7.2381,NA,0.913,NA,NA,NA,NA,NA
7488,7.56253,7.02861,6.98829,NA,NA,0.732,NA,NA,NA,NA
7738,7.78993,7.84527,6.87404,NA,0.808,NA,NA,NA,NA,NA
7881,7.77122,7.46282,7.87405,NA,0.973,NA,NA,NA,NA,NA
8141,6.91353,7.83807,7.7466,NA,0.857,NA,NA,NA,NA,NA
8334,7.46436,8.10625,7.70037,0.92,NA,NA,NA,NA,NA,NA
8462,8.21204,8.03525,7.8617,NA,NA,NA,NA,0.856,NA,NA
8782,8.22262,7.24268,7.76576,NA,NA,NA,NA,0.787,NA,NA
8874,7.393,7.44186,7.18855,0.904,NA,NA,NA,NA,NA,NA
9042,7.7508,7.16254,7.44502,NA,NA,0.839,NA,NA,NA,NA
9294,7.51946,7.39443,8.29826,NA,NA,0.824,NA,NA,NA,NA
9587,7.75319,8.02244,7.9497,0.953,NA,NA,NA,NA,NA,NA
9614,7.98125,7.46873,7.24634,NA,0.918,NA,NA,NA,NA,NA
9953,7.51755,8.37237,8.06771,NA,NA,0.823,NA,NA,NA,NA
10074,7.30056,8.53884,8.02869,NA,0.77,NA,NA,NA,NA,NA
10278,7.66826,8.07106,7.84077,NA,0.967,NA,NA,NA,NA,NA
10597,7.90421,7.62436,7.57208,NA,NA,NA,NA,0.893,NA,NA
10708,7.60913,7.36049,7.80027,0.947,NA,NA,NA,NA,NA,NA
10923,7.73709,7.06865,8.09839,NA,0.88,NA,NA,NA,NA,NA
11113,8.17595,7.21472,7.8229,NA,0.902,NA,NA,NA,NA,NA
11338,8.26002,8.58199,7.39086,NA,NA,NA,NA,0.687,NA,NA
11545,7.91996,7.59689,8.33014,NA,0.902,NA,NA,NA,NA,NA
11617,7.68232,7.4867,8.20285,NA,0.931,NA,NA,NA,NA,NA
11853,7.72963,7.73761,8.4382,NA,0.85,NA,NA,NA,NA,NA
12010,7.84224,8.08955,7.6172,NA,0.948,NA,NA,NA,NA,NA
12359,8.66489,7.89636,8.04105,0.815,NA,NA,NA,NA,NA,NA
12406,8.02571,7.5308,8.64205,NA,NA,NA,NA,0.683,NA,NA
12778,7.33241,7.62178,8.14999,NA,0.914,NA,NA,NA,NA,NA
12818,7.86021,6.72542,7.44902,0.782,NA,NA,NA,NA,NA,NA
13194,7.52711,8.21549,8.19313,NA,0.882,NA,NA,NA,NA,NA
13343,7.84947,8.29931,7.80229,NA,NA,NA,NA,0.821,NA,NA
13487,7.75307,8.39818,7.86675,0.907,NA,NA,NA,NA,NA,NA
13775,8.22837,7.62529,7.58576,NA,0.941,NA,NA,NA,NA,NA
13912,7.71894,8.05449,8.32669,0.888,NA,NA,NA,NA,NA,NA
14060,7.01349,7.74209,8.16869,0.847,NA,NA,NA,NA,NA,NA
14376,7.99084,7.97908,8.38491,NA,0.87,NA,NA,NA,NA,NA
14541,7.50095,8.09495,7.4951,NA,0.944,NA,NA,NA,NA,NA
14645,7.98509,8.14944,7.92293,NA,NA,0.855,NA,NA,NA,NA
14985,7.75006,7.39518,7.33978,NA,0.931,NA,NA,NA,NA,NA
15064,8.06857,7.41221,8.27077,NA,0.889,NA,NA,NA,NA,NA
15258,7.75684,6.60575,8.27042,NA,0.655,NA,NA,NA,NA,NA
15546,7.48841,8.27022,7.51392,NA,NA,NA,NA,0.842,NA,NA
15749,7.31836,7.99533,7.43177,NA,0.914,NA,NA,NA,NA,NA
15959,7.07163,7.31728,7.85453,NA,NA,NA,NA,0.797,NA,NA
16192,7.44655,7.45033,7.77801,NA,0.924,NA,NA,NA,NA,NA
16358,8.25783,7.56277,7.73686,0.917,NA,NA,NA,NA,NA,NA
16482,8.35006,7.62977,7.58534,NA,NA,0.834,NA,NA,NA,NA
16714,7.46995,8.90942,7.31043,NA,0.685,NA,NA,NA,NA,NA
16922,8.26615,7.63575,7.77138,0.939,NA,NA,NA,NA,NA,NA
17125,7.5004,8.16169,7.95597,NA,0.937,NA,NA,NA,NA,NA
17252,7.90941,8.20628,7.55288,NA,0.913,NA,NA,NA,NA,NA
17557,7.38189,8.09599,7.73223,0.921,NA,NA,NA,NA,NA,NA
17658,7.63135,8.52984,8.30646,NA,0.804,NA,NA,NA,NA,NA
17936,7.93438,7.80855,7.81819,NA,0.935,NA,NA,NA,NA,NA
18029,7.59918,7.59838,8.3939,NA,0.905,NA,NA,NA,NA,NA
18362,7.62807,7.38901,7.95857,NA,0.928,NA,NA,NA,NA,NA
18459,8.23606,8.25669,7.89781,NA,NA,NA,NA,0.823,NA,NA
18796,7.63755,8.44071,7.39662,0.879,NA,NA,NA,NA,NA,NA
18938,7.85449,7.57973,7.0359,NA,0.893,NA,NA,NA,NA,NA
19007,8.08427,7.38546,7.34605,NA,0.907,NA,NA,NA,NA,NA
19333,7.52035,7.78644,7.3647,NA,0.965,NA,NA,NA,NA,NA
19401,7.33035,8.26626,6.78563,NA,0.732,NA,NA,NA,NA,NA
19649,7.84382,8.23912,7.43251,0.923,NA,NA,NA,NA,NA,NA
19897,7.74835,8.47342,8.03331,NA,0.846,NA,NA,NA,NA,NA
20059,7.44294,8.59024,7.59031,0.845,NA,NA,NA,NA,NA,NA
20292,7.43165,8.52113,7.90892,NA,0.817,NA,NA,NA,NA,NA
20554,7.69184,7.80078,8.38011,NA,NA,0.861,NA,NA,NA,NA
20727,7.08727,8.39826,7.47768,NA,0.818,NA,NA,NA,NA,NA
20816,7.80551,7.88698,7.4632,NA,0.978,NA,NA,NA,NA,NA
21005,8.17586,8.14708,7.56826,NA,0.909,NA,NA,NA,NA,NA
21236,7.99812,7.81127,7.94948,NA,0.954,NA,NA,NA,NA,NA
21456,7.77451,7.63987,7.36603,NA,0.922,NA,NA,NA,NA,NA
21691,7.1825,7.90803,8.37512,NA,NA,NA,NA,0.774,NA,NA
21807,6.79686,8.67594,8.17076,0.613,NA,NA,NA,NA,NA,NA
22184,7.28835,8.06721,7.77521,NA,NA,NA,NA,0.814,NA,NA
22308,6.94936,7.85098,8.09682,NA,NA,0.76,NA,NA,NA,NA
22492,8.1716,7.77488,8.30545,0.858,NA,NA,NA,NA,NA,NA
22678,7.60342,7.65629,7.93992,NA,NA,0.915,NA,NA,NA,NA
22885,8.1033,7.76945,7.69955,NA,0.965,NA,NA,NA,NA,NA
23044,8.13,7.64968,7.83771,NA,NA,NA,NA,0.823,NA,NA
23313,7.7945,7.38289,7.2507,0.931,NA,NA,NA,NA,NA,NA
23539,8.41736,7.87677,8.0397,0.864,NA,NA,NA,NA,NA,NA
23692,8.52749,7.4493,7.75366,NA,0.857,NA,NA,NA,NA,NA
23973,7.5153,7.25702,7.46896,0.919,NA,NA,NA,NA,NA,NA
24061,7.71292,7.2387,7.49818,NA,0.924,NA,NA,NA,NA,NA
24365,7.65121,7.88926,8.92,0.769,NA,NA,NA,NA,NA,NA
24589,7.30885,7.68152,8.02908,0.925,NA,NA,NA,NA,NA,NA
24799,7.98861,8.12032,7.639,NA,NA,0.893,NA,NA,NA,NA
24882,7.26304,7.41266,8.08329,NA,0.902,NA,NA,NA,NA,NA
25179,8.20319,7.94589,7.81283,NA,NA,NA,NA,0.816,NA,NA
25290,8.25521,8.40564,7.7498,0.854,NA,NA,NA,NA,NA,NA
25401,7.575,8.66774,7.82297,0.84,NA,NA,NA,NA,NA,NA
