id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-3,fitness-2,fitness-1.5,fitness-4,fitness-1
54,0.949912,2.30096,-4.66532,-57.404,NA,NA,NA,NA,NA,NA
207,1.47112,0.923843,-4.6131,NA,-33.11,NA,NA,NA,NA,NA
590,1.33107,2.54181,-3.98961,NA,NA,-34.017,NA,NA,NA,NA
643,2.02828,1.64668,-5,NA,NA,-16.863,NA,NA,NA,NA
957,0.839557,1.26105,-5,NA,NA,-51.867,NA,NA,NA,NA
1026,1.62556,2.01641,-4.82576,NA,-12.327,NA,NA,NA,NA,NA
1350,0.860454,2.15854,-4.67838,-46.625,NA,NA,NA,NA,NA,NA
1570,1.70778,1.55636,-5,NA,NA,-18.596,NA,NA,NA,NA
1764,2.00088,2.20321,-5,NA,NA,-23.926,NA,NA,NA,NA
1997,1.97567,2.60622,-4.37044,NA,NA,NA,-27.182,NA,NA,NA
2122,2.25784,1.67456,-4.67576,-25.736,NA,NA,NA,NA,NA,NA
2310,1.44612,1.93832,-5,NA,-20.326,NA,NA,NA,NA,NA
2585,1.89544,2.25164,-3.71242,NA,NA,-23.214,NA,NA,NA,NA
2685,1.96291,1.30336,-4.01308,NA,NA,NA,-10.339,NA,NA,NA
2896,1.85939,1.15681,-4.22442,NA,NA,-17.203,NA,NA,NA,NA
3182,1.97624,1.94959,-4.22908,-23.753,NA,NA,NA,NA,NA,NA
3300,2.41011,1.37833,-4.35168,-31.9,NA,NA,NA,NA,NA,NA
3567,1.30052,1.70661,-4.84855,NA,NA,-21.287,NA,NA,NA,NA
3672,1.78732,2.14992,-4.56491,NA,NA,-12.363,NA,NA,NA,NA
3994,1.46569,2.28696,-4.10397,NA,NA,-17.865,NA,NA,NA,NA
4174,2.47357,2.16113,-4.47574,NA,-21.283,NA,NA,NA,NA,NA
4264,1.74763,2.5285,-4.29114,NA,NA,-26.194,NA,NA,NA,NA
4550,2.04956,2.60097,-4.37009,-43.023,NA,NA,NA,NA,NA,NA
4602,1.98974,2.02124,-4.91309,NA,-15.568,NA,NA,NA,NA,NA
4854,2.16666,2.5909,-5,NA,-35.228,NA,NA,NA,NA,NA
5163,1.25503,1.8152,-4.18914,NA,-11.311,NA,NA,NA,NA,NA
5215,1.56408,1.78275,-4.90866,NA,NA,-18.375,NA,NA,NA,NA
5521,0.718538,1.70682,-4.51529,NA,NA,-36.118,NA,NA,NA,NA
5776,1.66052,1.82544,-4.39325,-19.002,NA,NA,NA,NA,NA,NA
5835,1.36152,1.67654,-4.92142,NA,NA,-21.73,NA,NA,NA,NA
6197,1.93409,1.64537,-4.95613,NA,-13.815,NA,NA,NA,NA,NA
6317,2.0515,2.06511,-5,NA,NA,-22.632,NA,NA,NA,NA
6529,1.52213,2.32766,-4.39919,NA,NA,-24.348,NA,NA,NA,NA
6668,1.18381,2.58626,-4.45704,-49.865,NA,NA,NA,NA,NA,NA
6995,2.02042,1.88716,-4.70483,NA,NA,NA,NA,-23.732,NA,NA
7178,1.54832,1.93701,-4.82848,NA,NA,-14.075,NA,NA,NA,NA
7327,1.82606,2.11943,-4.4186,NA,NA,-11.138,NA,NA,NA,NA
7511,2.7738,1.64616,-5,NA,NA,-42.517,NA,NA,NA,NA
7777,2.1065,2.1992,-5,NA,-22.888,NA,NA,NA,NA,NA
7873,2.23483,3.05917,-4.49696,NA,NA,-52.325,NA,NA,NA,NA
8120,2.84079,2.03783,-5,NA,NA,-45.501,NA,NA,NA,NA
8306,1.82398,1.25223,-5,NA,NA,-28.25,NA,NA,NA,NA
8598,2.36784,2.22819,-5,NA,NA,-30.912,NA,NA,NA,NA
8735,1.9773,1.7228,-4.6246,-30.302,NA,NA,NA,NA,NA,NA
8990,2.20696,1.22626,-5,NA,-25.735,NA,NA,NA,NA,NA
9166,1.19197,1.70919,-5,NA,NA,-31.977,NA,NA,NA,NA
9378,2.42712,1.58081,-5,NA,NA,-25.602,NA,NA,NA,NA
9491,2.38973,2.00893,-5,-37.09,NA,NA,NA,NA,NA,NA
9744,1.92956,2.1319,-5,NA,NA,-24.489,NA,NA,NA,NA
