id,x0,x1,x2,fitness-0.5,fitness-2.5,fitness-2,fitness-3,fitness-4,fitness-1.5,fitness-3.5
92,2.49556,1.85492,-4.62667,-125.35,NA,NA,NA,NA,NA,NA
252,2.20554,0.894667,-4.736,NA,-33.844,NA,NA,NA,NA,NA
544,2.42566,1.09101,-5,NA,-38.224,NA,NA,NA,NA,NA
770,2.31001,1.50954,-4.80898,NA,-17.574,NA,NA,NA,NA,NA
881,2.17675,1.87371,-4.94338,NA,-16.721,NA,NA,NA,NA,NA
1014,1.37802,1.86423,-5,NA,NA,-29.586,NA,NA,NA,NA
1291,1.68661,1.73144,-4.83,NA,NA,NA,-13.318,NA,NA,NA
1554,2.17051,1.9794,-4.22825,NA,-8.722,NA,NA,NA,NA,NA
1660,2.37975,2.50363,-4.93717,NA,NA,-36.251,NA,NA,NA,NA
1823,2.10201,2.24274,-5,NA,-23.211,NA,NA,NA,NA,NA
2062,2.24246,1.58281,-4.32776,NA,NA,NA,-12.558,NA,NA,NA
2359,1.69045,1.45733,-3.92882,NA,-6.584,NA,NA,NA,NA,NA
2538,1.7513,1.04974,-4.90629,NA,-26.529,NA,NA,NA,NA,NA
2763,2.58257,0.825868,-4.68694,NA,-48.215,NA,NA,NA,NA,NA
2855,1.76851,1.41916,-5,NA,NA,NA,NA,-66.282,NA,NA
3104,1.68306,1.43985,-4.30758,NA,NA,NA,-13.583,NA,NA,NA
3287,1.77579,1.4695,-5,NA,-17.057,NA,NA,NA,NA,NA
3407,1.72743,1.75599,-4.16072,NA,-1.65,NA,NA,NA,NA,NA
3780,1.38886,1.61694,-4.48413,NA,NA,NA,-9.047,NA,NA,NA
3826,2.16816,1.70378,-4.75403,NA,-10.46,NA,NA,NA,NA,NA
4164,1.50915,1.77997,-5,NA,NA,NA,-17.983,NA,NA,NA
4224,2.06243,1.40611,-4.89851,NA,-14.41,NA,NA,NA,NA,NA
4442,1.05004,1.19708,-4.64106,NA,-33.161,NA,NA,NA,NA,NA
