id,x0,x1,x2,fitness-3.5,fitness-3,fitness-4.5,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness0,fitness0.5,fitness-0.5,fitness-1,fitness-5
54,0.949912,2.30096,-4.66532,-57.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,-0.189414,2.1842,-5,NA,-107.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,-0.128344,2.17572,-5,NA,NA,-177.848,NA,NA,NA,NA,NA,NA,NA,NA,NA
651,-0.183472,2.68441,-5,-137.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
867,0.955776,2.44289,-5,-53.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1107,1.48404,1.2924,-5,NA,NA,NA,-56.126,NA,NA,NA,NA,NA,NA,NA,NA
1250,1.28662,0.402396,-5,NA,-108.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,0.0252456,1.56324,-4.01491,NA,NA,NA,NA,-90.634,NA,NA,NA,NA,NA,NA,NA
1773,0.533032,3.28204,-4.28348,NA,NA,NA,NA,NA,-93.476,NA,NA,NA,NA,NA,NA
1928,0.346205,3.55462,-4.51096,NA,NA,NA,NA,-120.619,NA,NA,NA,NA,NA,NA,NA
2032,1.11493,2.93805,-5,NA,-58.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2400,1.72429,2.02695,-4.98327,NA,-26.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2454,1.62244,1.52852,-4.32987,NA,NA,NA,NA,-0.895,NA,NA,NA,NA,NA,NA,NA
2669,1.11937,1.97826,-4.62138,NA,NA,NA,NA,NA,NA,-40.919,NA,NA,NA,NA,NA
2837,1.69215,3.01468,-5,NA,NA,NA,NA,NA,-54.568,NA,NA,NA,NA,NA,NA
3133,0.961218,2.24795,-5,NA,NA,NA,NA,NA,-39.597,NA,NA,NA,NA,NA,NA
3387,1.443,3.01283,-5,NA,NA,NA,NA,-55.005,NA,NA,NA,NA,NA,NA,NA
3474,0.183353,2.89467,-4.30641,NA,NA,NA,NA,NA,-98.448,NA,NA,NA,NA,NA,NA
3689,0.423093,3.00649,-4.18379,NA,NA,NA,NA,NA,-90.461,NA,NA,NA,NA,NA,NA
3919,0.871216,5,-5,NA,NA,NA,NA,NA,-264.377,NA,NA,NA,NA,NA,NA
4018,0.84803,3.84357,-5,NA,NA,NA,NA,NA,NA,NA,-260.067,NA,NA,NA,NA
4227,0.495045,3.47494,-4.41355,NA,NA,NA,NA,NA,NA,NA,NA,-369.709,NA,NA,NA
4416,0.989731,1.28791,-5,NA,NA,NA,NA,NA,NA,NA,-179.654,NA,NA,NA,NA
4650,1.16813,2.14474,-4.94964,NA,NA,NA,NA,-26.82,NA,NA,NA,NA,NA,NA,NA
4941,0.84484,4.35247,-5,NA,NA,NA,NA,-180.386,NA,NA,NA,NA,NA,NA,NA
5041,1.2868,2.67078,-5,NA,-45.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5263,1.60204,2.91812,-3.5227,NA,NA,NA,NA,NA,-56.89,NA,NA,NA,NA,NA,NA
5408,1.56638,3.11112,-2.49742,NA,NA,NA,NA,-138.424,NA,NA,NA,NA,NA,NA,NA
5622,2.17133,0.77572,-4.22334,NA,-38.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5842,2.03351,1.42218,-3.74654,NA,NA,NA,NA,-15.295,NA,NA,NA,NA,NA,NA,NA
6153,2.64201,2.075,-3.86626,NA,-32.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6337,2.76799,2.82565,-4.37435,NA,NA,NA,NA,NA,NA,NA,NA,NA,-145.567,NA,NA
6588,0.750699,2.82535,-4.04013,NA,NA,NA,NA,NA,NA,NA,NA,NA,-147.933,NA,NA
6731,1.91491,2.44945,-3.02899,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.763,NA,NA
6999,1.36153,0.432668,-2.90345,NA,NA,NA,NA,NA,NA,-182.787,NA,NA,NA,NA,NA
