id,x0,x1,x2,fitness-3.5,fitness-3,fitness-2,fitness-2.5,fitness-4
54,0.949912,2.30096,-4.66532,-57.404,NA,NA,NA,NA
201,1.8636,2.30096,-4.66532,-43.284,NA,NA,NA,NA
235,1.8636,2.30096,-4.66532,NA,-26.693,NA,NA,NA
259,1.8636,2.30096,-4.66532,NA,NA,-18.503,NA,NA
291,1.8636,2.30096,-4.66532,NA,NA,NA,-15.356,NA
298,1.8636,2.13803,-4.66532,NA,NA,NA,-11.084,NA
324,1.8636,1.59275,-4.66532,NA,NA,NA,-4.645,NA
362,1.8636,1.59275,-4.44096,NA,NA,NA,-1.138,NA
458,1.79278,1.59275,-4.44096,NA,NA,NA,-0.818,NA
497,1.79278,1.59275,-4.33363,NA,NA,NA,-0.214,NA
573,1.79278,1.59275,-4.33363,NA,NA,NA,-0.148,NA
651,1.79278,1.59275,-4.32305,NA,NA,NA,-0.133,NA
724,1.73187,1.59275,-4.32305,NA,NA,NA,-0.116,NA
893,1.73187,1.59275,-4.32305,NA,NA,NA,-0.038,NA
946,1.77176,1.59275,-4.32305,NA,NA,NA,-0.021,NA
997,1.75671,1.59275,-4.32305,NA,NA,NA,-0.014,NA
1075,1.75671,1.59275,-4.32305,NA,NA,NA,-0.012,NA
1274,1.75671,1.59275,-4.31834,NA,NA,NA,-0.008,NA
1314,1.75706,1.59275,-4.31834,NA,NA,NA,-0.008,NA
1622,1.75706,1.59275,-4.31834,NA,NA,NA,-0.006,NA
1819,1.75706,1.59275,-4.31778,NA,NA,NA,-0.006,NA
2015,1.75706,1.59275,-4.31778,NA,NA,NA,-0.003,NA
2154,1.75706,1.59275,-4.30657,NA,NA,NA,-0.001,NA
3420,1.75802,1.59275,-4.30657,NA,NA,NA,-0.001,NA
4945,1.75802,1.59346,-4.30657,NA,NA,NA,0,NA
5231,1.75802,1.59346,-4.30974,NA,NA,NA,0,NA
7932,1.75802,1.59346,-4.30974,NA,NA,NA,0,NA
8060,1.75802,1.59346,-4.30974,NA,NA,NA,NA,-45.171
