id,x0,x1,x2,fitness-5,fitness-3.5,fitness-2.5,fitness-1,fitness-2,fitness-1.5,fitness-3,fitness-4,fitness-0.5,fitness-4.5
24,0.508876,2.28717,-3.3018,-170.253,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,-0.283052,2.19579,-3.9762,NA,-117.838,NA,NA,NA,NA,NA,NA,NA,NA
447,1.28093,3.20852,-4.28882,NA,NA,-60.083,NA,NA,NA,NA,NA,NA,NA
775,1.3852,2.64276,-5,NA,NA,NA,-71.494,NA,NA,NA,NA,NA,NA
928,2.40463,2.19452,-5,NA,NA,NA,NA,-35.701,NA,NA,NA,NA,NA
1026,1.2964,2.01801,-4.60611,NA,NA,NA,NA,NA,-29.011,NA,NA,NA,NA
1365,0.899977,1.79481,-5,NA,NA,NA,NA,-43.999,NA,NA,NA,NA,NA
1462,2.34844,2.00535,-5,NA,NA,NA,NA,-27.47,NA,NA,NA,NA,NA
1793,0.987817,1.37919,-5,NA,NA,NA,NA,-45.004,NA,NA,NA,NA,NA
1836,1.06394,1.10252,-4.70699,NA,NA,-39.248,NA,NA,NA,NA,NA,NA,NA
2179,2.25303,1.96416,-5,NA,NA,-21.18,NA,NA,NA,NA,NA,NA,NA
2228,2.59232,1.26989,-5,NA,-57.946,NA,NA,NA,NA,NA,NA,NA,NA
2428,2.06685,1.85699,-4.38954,NA,NA,-6.306,NA,NA,NA,NA,NA,NA,NA
2660,1.81173,1.57252,-5,NA,NA,NA,NA,NA,NA,-16.05,NA,NA,NA
2857,3.05217,2.17915,-5,NA,NA,NA,NA,-55.539,NA,NA,NA,NA,NA
3040,3.10258,1.42436,-4.83032,NA,NA,NA,NA,NA,NA,-53.303,NA,NA,NA
3284,2.96196,2.20519,-4.95941,NA,-64.546,NA,NA,NA,NA,NA,NA,NA,NA
3409,2.54747,1.94242,-5,NA,NA,NA,NA,NA,NA,-34.721,NA,NA,NA
3693,2.5027,1.14316,-5,NA,NA,NA,NA,NA,-66.066,NA,NA,NA,NA
3976,1.49099,1.08486,-5,NA,NA,-33.599,NA,NA,NA,NA,NA,NA,NA
4005,1.7423,2.71525,-5,NA,NA,NA,NA,NA,NA,NA,-70.789,NA,NA
4390,2.02657,0.985051,-4.71099,NA,-41.216,NA,NA,NA,NA,NA,NA,NA,NA
4515,1.57864,1.68379,-5,NA,-35.104,NA,NA,NA,NA,NA,NA,NA,NA
4780,2.24551,2.6785,-4.9484,NA,-60.851,NA,NA,NA,NA,NA,NA,NA,NA
4825,2.58558,1.13597,-4.30053,NA,-43.963,NA,NA,NA,NA,NA,NA,NA,NA
5178,2.24639,1.31642,-4.52178,NA,NA,NA,NA,-14.783,NA,NA,NA,NA,NA
5216,2.10298,1.22458,-4.08197,NA,NA,-11.415,NA,NA,NA,NA,NA,NA,NA
5548,1.83233,2.43656,-4.85891,NA,NA,NA,NA,-26.907,NA,NA,NA,NA,NA
5697,1.78655,2.7909,-4.07212,NA,NA,NA,NA,-35.647,NA,NA,NA,NA,NA
5929,2.17657,2.54211,-4.71649,NA,NA,NA,-60.446,NA,NA,NA,NA,NA,NA
6053,2.00584,1.89758,-4.90869,NA,NA,NA,NA,NA,-33.865,NA,NA,NA,NA
6341,2.53984,2.69301,-5,NA,NA,NA,NA,NA,-65.779,NA,NA,NA,NA
6574,1.35388,2.04993,-5,NA,NA,NA,NA,-33.135,NA,NA,NA,NA,NA
6794,2.46243,2.00229,-5,NA,NA,-26.626,NA,NA,NA,NA,NA,NA,NA
6941,1.97916,1.86901,-5,NA,NA,NA,NA,NA,-43.239,NA,NA,NA,NA
7114,2.50574,1.37807,-4.68048,NA,NA,NA,NA,NA,NA,-22.927,NA,NA,NA
7224,1.01043,1.87942,-5,NA,NA,-31.208,NA,NA,NA,NA,NA,NA,NA
7488,2.11481,1.10929,-4.37551,NA,NA,NA,NA,NA,-45.12,NA,NA,NA,NA
7646,1.72384,1.56364,-4.79292,NA,NA,NA,-50.89,NA,NA,NA,NA,NA,NA
