id,x0,x1,x2,fitness-4.5,fitness-4,fitness-5
162,-3.52916,4.72214,-4.35075,-129.683,NA,NA
220,-3.52916,4.72214,-5,-118.288,NA,NA
247,-1.66238,4.72214,-5,-53.716,NA,NA
281,-1.66238,3.97401,-5,-18.756,NA,NA
311,-1.66238,3.6869,-5,-12.375,NA,NA
326,-1.58874,3.6869,-5,-11.541,NA,NA
370,-1.58874,3.6869,-5,NA,-6.001,NA
428,-1.58874,3.6869,-5,-4.215,NA,NA
467,-1.58874,3.6869,-4.89268,-2.004,NA,NA
498,-1.58874,3.6869,-4.89268,-1.462,NA,NA
520,-1.58874,3.6869,-4.89268,-1.462,NA,NA
533,-1.48922,3.6869,-4.89268,-0.231,NA,NA
619,-1.48922,3.6869,-4.88209,-0.131,NA,NA
675,-1.48922,3.66435,-4.88209,-0.116,NA,NA
762,-1.48922,3.66435,-4.83828,-0.095,NA,NA
1043,-1.48922,3.66435,-4.83828,-0.093,NA,NA
1131,-1.48624,3.66435,-4.83828,-0.088,NA,NA
1282,-1.48589,3.66435,-4.83828,-0.087,NA,NA
1416,-1.48589,3.66435,-4.87227,-0.049,NA,NA
1619,-1.48589,3.66435,-4.85477,-0.021,NA,NA
1649,-1.48589,3.6743,-4.85477,-0.006,NA,NA
1998,-1.47748,3.6743,-4.85477,-0.006,NA,NA
2378,-1.48204,3.6743,-4.85477,-0.003,NA,NA
3388,-1.48108,3.6743,-4.85477,-0.003,NA,NA
4315,-1.48108,3.6743,-4.86239,-0.003,NA,NA
4916,-1.48108,3.6743,-4.86182,-0.002,NA,NA
6192,-1.48108,3.6743,-4.85926,0,NA,NA
7458,-1.48108,3.6743,-4.85926,0,NA,NA
8028,-1.48108,3.6743,-4.85926,NA,NA,-36.849
