id,x0,x1,x2,fitness-4.5,fitness-3.5,fitness-3,fitness-4,fitness-5,fitness-1.5,fitness-2.5,fitness-2
162,-3.52916,4.72214,-4.35075,-129.683,NA,NA,NA,NA,NA,NA,NA
201,-4.17235,4.26859,-4.6297,NA,-177.881,NA,NA,NA,NA,NA,NA
489,-2.60838,5,-4.94232,NA,NA,-136.337,NA,NA,NA,NA,NA
780,-3.55222,4.93546,-4.78451,NA,NA,NA,-133.698,NA,NA,NA,NA
913,-2.03536,5,-5,NA,NA,-109.758,NA,NA,NA,NA,NA
1158,-1.72134,3.9472,-4.88594,-10.461,NA,NA,NA,NA,NA,NA,NA
1338,-0.247357,3.51819,-5,NA,NA,NA,NA,-199.121,NA,NA,NA
1538,0.696019,3.95111,-4.11354,NA,NA,NA,NA,-330.027,NA,NA,NA
1646,-0.765978,3.34523,-3.54258,NA,NA,NA,NA,-224.956,NA,NA,NA
1921,-1.1656,3.31732,-3.12331,NA,NA,NA,NA,-233.322,NA,NA,NA
2194,-2.13022,5,-4.30102,-83.413,NA,NA,NA,NA,NA,NA,NA
2285,-3.00473,5,-4.27601,NA,NA,-148.226,NA,NA,NA,NA,NA
2526,-2.52354,4.58295,-4.90269,NA,-99.714,NA,NA,NA,NA,NA,NA
2605,-1.8971,5,-4.82872,NA,NA,NA,NA,-80.386,NA,NA,NA
2996,-2.95955,5,-5,-99.821,NA,NA,NA,NA,NA,NA,NA
3040,-2.52773,4.2741,-5,NA,NA,-95.492,NA,NA,NA,NA,NA
3308,-2.1935,4.98535,-5,NA,-88.026,NA,NA,NA,NA,NA,NA
3415,-0.930027,5,-5,NA,-141.858,NA,NA,NA,NA,NA,NA
3694,-2.25068,3.82023,-5,NA,NA,NA,NA,-60.673,NA,NA,NA
3990,-3.03449,3.67738,-4.68215,-75.973,NA,NA,NA,NA,NA,NA,NA
4077,-3.34112,4.55383,-4.6439,NA,NA,NA,NA,-108.188,NA,NA,NA
4293,-1.43273,4.66817,-3.93675,-106.838,NA,NA,NA,NA,NA,NA,NA
4578,-2.6001,5,-5,NA,NA,NA,NA,-85.365,NA,NA,NA
4721,-1.98415,3.13675,-5,NA,NA,-152.245,NA,NA,NA,NA,NA
4940,-2.35416,5,-4.24539,NA,-116.945,NA,NA,NA,NA,NA,NA
5107,-1.4678,5,-4.54756,NA,NA,-143.617,NA,NA,NA,NA,NA
5367,-0.013743,4.81791,-5,-216.127,NA,NA,NA,NA,NA,NA,NA
5467,-0.861942,5,-5,NA,NA,NA,NA,-111.964,NA,NA,NA
5602,-0.420983,5,-4.84254,NA,NA,NA,NA,-121.055,NA,NA,NA
5903,-1.07716,4.03683,-4.70406,NA,NA,NA,NA,-69.076,NA,NA,NA
6148,-1.0828,4.43642,-5,NA,NA,NA,NA,-69.448,NA,NA,NA
6325,-1.54008,3.11911,-5,NA,NA,NA,-69.418,NA,NA,NA,NA
6583,-2.14598,4.05852,-5,NA,NA,NA,-52.31,NA,NA,NA,NA
6773,-1.70218,4.13029,-4.99713,NA,NA,NA,-38.271,NA,NA,NA,NA
6904,-2.59905,4.27343,-4.96418,NA,NA,NA,-63.473,NA,NA,NA,NA
7178,-4.15139,5,-5,NA,NA,NA,NA,-193.152,NA,NA,NA
7286,-3.51929,5,-4.04597,-146.914,NA,NA,NA,NA,NA,NA,NA
7515,-3.44949,5,-5,NA,NA,NA,NA,-129.728,NA,NA,NA
7794,-2.95153,4.23474,-4.98113,-84.247,NA,NA,NA,NA,NA,NA,NA
7957,-1.90528,3.97047,-4.82837,NA,NA,NA,NA,-32.785,NA,NA,NA
8153,-0.948324,4.37411,-5,NA,NA,NA,-87.47,NA,NA,NA,NA
8274,-1.53943,5,-5,NA,NA,NA,NA,-81.071,NA,NA,NA
8523,-0.727164,5,-5,NA,NA,NA,NA,-132.398,NA,NA,NA
8717,-0.286432,4.50257,-5,NA,NA,NA,NA,-153.652,NA,NA,NA
8830,-1.66763,3.96282,-4.4239,NA,NA,NA,NA,-44.304,NA,NA,NA
9085,-2.34537,3.06406,-3.74053,NA,NA,NA,NA,-135.357,NA,NA,NA
9302,-2.60347,3.56992,-4.9509,NA,NA,NA,NA,-68.562,NA,NA,NA
9482,-1.60967,3.4677,-4.7526,NA,NA,NA,NA,-38.418,NA,NA,NA
9739,-1.99956,3.18905,-5,NA,NA,NA,NA,-69.514,NA,NA,NA
9856,-2.04719,5,-5,NA,NA,NA,-71.347,NA,NA,NA,NA
10058,-3.22734,5,-4.47271,NA,NA,NA,-118.776,NA,NA,NA,NA
10361,-3.02521,3.07073,-4.30941,NA,NA,NA,NA,-96.978,NA,NA,NA
10576,-2.22382,2.61355,-4.71045,NA,NA,NA,NA,-99.329,NA,NA,NA
10674,-2.4476,3.57047,-4.82045,NA,NA,NA,NA,-60.16,NA,NA,NA
10964,-1.62864,3.91656,-5,NA,NA,NA,NA,-32.44,NA,NA,NA
11090,-2.42322,3.53022,-5,NA,NA,NA,NA,-57.948,NA,NA,NA
11240,-2.39268,4.75517,-5,-63.79,NA,NA,NA,NA,NA,NA,NA
11414,-1.37659,4.02812,-3.71702,NA,NA,NA,NA,-103.365,NA,NA,NA
11662,-1.52791,1.81692,-3.93583,NA,NA,NA,NA,-249.925,NA,NA,NA
11842,-1.90129,1.29709,-3.89753,NA,NA,NA,NA,-279.187,NA,NA,NA
12080,-3.00457,3.22338,-3.63936,NA,NA,NA,-133.804,NA,NA,NA,NA
12350,-3.02472,3.00254,-3.39315,NA,-169.929,NA,NA,NA,NA,NA,NA
12526,-2.51275,2.70063,-1.99735,NA,-420.909,NA,NA,NA,NA,NA,NA
12753,-1.37731,3.6006,-2.60166,NA,NA,NA,NA,-219.712,NA,NA,NA
12974,-3.87553,3.76491,-3.21959,NA,NA,NA,NA,-205.486,NA,NA,NA
13106,-2.55551,3.65467,-5,NA,NA,NA,NA,-60.011,NA,NA,NA
13235,-2.24716,3.30927,-5,NA,NA,NA,NA,-53.281,NA,NA,NA
13504,-1.07187,3.10351,-4.87623,NA,NA,NA,NA,-122.721,NA,NA,NA
13691,-1.78789,3.99135,-5,-30.76,NA,NA,NA,NA,NA,NA,NA
13847,-1.84853,4.79491,-5,-63.184,NA,NA,NA,NA,NA,NA,NA
14182,-1.30611,5,-5,NA,NA,NA,-84.124,NA,NA,NA,NA
14343,-1.27098,5,-5,-84.719,NA,NA,NA,NA,NA,NA,NA
14581,0.432377,5,-5,NA,NA,NA,NA,-273.977,NA,NA,NA
14680,0.00429769,4.63086,-5,-202.83,NA,NA,NA,NA,NA,NA,NA
14826,-1.59297,5,-5,-77.835,NA,NA,NA,NA,NA,NA,NA
15127,-3.20844,5,-5,NA,NA,NA,NA,-114.54,NA,NA,NA
15382,-3.14527,3.86862,-5,NA,NA,NA,NA,-84.187,NA,NA,NA
15594,-2.23715,4.34555,-5,NA,NA,NA,NA,-52.016,NA,NA,NA
15676,-3.18431,3.73905,-5,-85.933,NA,NA,NA,NA,NA,NA,NA
15978,-2.29819,4.07003,-5,NA,NA,NA,NA,-52.048,NA,NA,NA
16097,-1.54126,3.7631,-5,NA,NA,NA,NA,-42.362,NA,NA,NA
16400,-1.61245,4.8458,-4.3677,-79.659,NA,NA,NA,NA,NA,NA,NA
16482,-1.79774,5,-4.94517,NA,NA,NA,-81.293,NA,NA,NA,NA
16742,-0.93787,5,-5,NA,-166.741,NA,NA,NA,NA,NA,NA
16941,-1.79527,5,-4.70928,NA,-97.624,NA,NA,NA,NA,NA,NA
17085,-2.17603,5,-4.54712,NA,NA,NA,-87.52,NA,NA,NA,NA
17385,-0.829012,4.66242,-4.3137,NA,NA,NA,NA,-148.277,NA,NA,NA
17519,-0.785136,3.87521,-2.74239,NA,NA,NA,NA,-169.982,NA,NA,NA
17762,-2.3441,5,-2.18646,-264.633,NA,NA,NA,NA,NA,NA,NA
17987,-2.10107,5,-2.69739,NA,NA,NA,NA,-194.98,NA,NA,NA
18014,-2.56126,2.90874,-3.81435,NA,NA,NA,-139.631,NA,NA,NA,NA
18271,-3.13441,2.79014,-5,NA,NA,NA,-123.863,NA,NA,NA,NA
18431,-2.7462,3.10229,-5,NA,NA,NA,NA,-82.627,NA,NA,NA
18685,-1.46908,4.96946,-5,NA,NA,NA,NA,-84.164,NA,NA,NA
18911,-1.91414,4.75215,-5,NA,NA,NA,NA,-60.625,NA,NA,NA
19141,-1.23211,5,-5,NA,NA,NA,NA,-91.031,NA,NA,NA
19309,-1.84071,4.90854,-5,NA,NA,NA,NA,-73.304,NA,NA,NA
19486,-1.17862,5,-5,NA,NA,NA,NA,-88.627,NA,NA,NA
19760,-0.900841,4.89486,-5,NA,NA,NA,NA,-103.472,NA,NA,NA
19871,-1.22913,5,-4.46506,NA,NA,NA,NA,-96.649,NA,NA,NA
20058,-1.13686,4.44145,-4.43322,NA,NA,NA,NA,-89.73,NA,NA,NA
20223,-1.33799,3.97822,-5,-19.179,NA,NA,NA,NA,NA,NA,NA
20401,-0.985325,4.5937,-3.80506,NA,-190.056,NA,NA,NA,NA,NA,NA
20770,-0.776303,4.09773,-4.06761,NA,NA,NA,-140.501,NA,NA,NA,NA
