id,x0,x1,x2,fitness-3.5,fitness-4,fitness-4.5,fitness-5,fitness-3
110,-4.59702,3.81169,-4.38964,-227.921,NA,NA,NA,NA
354,-3.20348,4.70834,-4.73583,NA,-104.836,NA,NA,NA
456,-2.64705,4.12703,-5,NA,NA,-54.478,NA,NA
794,-2.98561,5,-5,NA,-102.005,NA,NA,NA
802,-1.86001,4.47552,-5,NA,-64.606,NA,NA,NA
1178,-1.89389,3.62075,-5,NA,NA,-20.086,NA,NA
1365,-2.29032,3.39756,-5,NA,NA,-57.259,NA,NA
1462,-0.841857,3.6081,-5,NA,NA,-77.03,NA,NA
1793,-2.20248,2.98194,-5,NA,NA,-74.725,NA,NA
1838,-1.81238,4.51727,-5,NA,NA,NA,-59.428,NA
2198,-2.02638,4.92346,-4.93286,NA,NA,NA,-73.309,NA
2303,-1.79777,5,-4.68727,NA,NA,NA,-76.001,NA
2505,-2.22028,5,-4.84235,NA,NA,NA,-76.096,NA
2722,-1.28464,3.76772,-5,NA,NA,NA,-35.07,NA
2850,-2.92743,4.7513,-5,NA,NA,NA,-96.155,NA
3076,-2.9698,4.65281,-5,NA,NA,NA,-94.925,NA
3365,-1.16852,4.29119,-4.5464,NA,NA,NA,-68.957,NA
3500,-2.03274,5,-4.48036,NA,NA,NA,-77.567,NA
3747,-2.36376,4.61982,-5,NA,NA,NA,-74.026,NA
3989,-1.45774,5,-4.75281,NA,NA,NA,-90.986,NA
4175,-2.36065,4.624,-4.82548,NA,NA,NA,-78.101,NA
4368,-2.33598,4.00123,-5,NA,NA,-43.069,NA,NA
4402,-2.7568,2.68988,-5,NA,NA,-105.128,NA,NA
4785,-2.73519,3.62473,-5,NA,NA,-68.01,NA,NA
4968,-2.52837,3.62896,-5,NA,NA,-56.8,NA,NA
5188,-1.86289,3.8066,-4.81369,NA,NA,NA,-37.2,NA
5393,-2.04868,3.86875,-4.43167,NA,NA,NA,-69.09,NA
5534,-1.16951,4.15101,-3.7552,NA,-118.655,NA,NA,NA
5633,-1.80775,5,-4.20399,NA,NA,NA,-93.169,NA
5978,-2.84741,4.06882,-4.89267,NA,NA,NA,-71.443,NA
6126,-1.47071,4.90882,-5,NA,NA,NA,-77.361,NA
6376,-1.70935,4.61129,-4.93666,NA,NA,NA,-76.109,NA
