id,x0,x1,x2,fitness-4.5
162,-3.52916,4.72214,-4.35075,-129.683
232,-3.52916,4.1402,-4.35075,-110.201
238,-2.33797,4.1402,-4.35075,-52.106
272,-1.75097,4.1402,-4.35075,-39.908
290,-1.75097,4.1402,-5,-32.512
305,-1.75097,3.56573,-5,-19.355
343,-1.51025,3.56573,-5,-13.276
384,-1.51025,3.56573,-4.99242,-13.037
397,-1.51025,3.56573,-4.99242,-5.916
425,-1.50936,3.56573,-4.99242,-5.909
462,-1.50936,3.56573,-4.8085,-3.932
474,-1.50936,3.56573,-4.8085,-2.232
490,-1.50936,3.56573,-4.88446,-1.957
523,-1.50936,3.6428,-4.88446,-0.485
579,-1.50936,3.70044,-4.88446,-0.458
633,-1.50936,3.70044,-4.87839,-0.416
787,-1.50936,3.70044,-4.86298,-0.359
846,-1.50936,3.70044,-4.86298,-0.28
883,-1.50936,3.70044,-4.86298,-0.236
1009,-1.48827,3.70044,-4.86298,-0.131
1167,-1.48827,3.68376,-4.86298,-0.028
1227,-1.48827,3.67165,-4.86298,-0.013
1943,-1.48827,3.67513,-4.86298,-0.013
1970,-1.48827,3.67513,-4.86298,-0.011
2083,-1.48827,3.67513,-4.86296,-0.011
2366,-1.48827,3.673,-4.86296,-0.011
2435,-1.48827,3.67417,-4.86296,-0.011
2725,-1.48827,3.67417,-4.85609,-0.009
3268,-1.48827,3.67417,-4.85717,-0.008
3488,-1.48119,3.67417,-4.85717,0
3919,-1.48119,3.67417,-4.85942,0
7628,-1.48119,3.67417,-4.85942,0
7751,-1.48119,3.67417,-4.85872,0
8248,-1.57273,3.67417,-4.85872,-1.033
