id,x0,x1,x2,fitness-4.5,fitness-5,fitness-4,fitness-3.5
162,-3.52916,4.72214,-4.35075,-129.683,NA,NA,NA
298,-3.26752,5,-5,-111.756,NA,NA,NA
548,-2.84949,4.4625,-4.75782,NA,-76.059,NA,NA
665,-2.38143,3.61236,-5,NA,-59.59,NA,NA
1000,-1.46521,3.91991,-5,NA,-37.457,NA,NA
1003,-1.2497,4.10954,-5,NA,-59.144,NA,NA
1370,-1.12603,3.98225,-4.66527,-39.859,NA,NA,NA
1473,-1.32487,4.43736,-4.69048,NA,NA,-54.516,NA
1619,-1.43212,3.93219,-4.95239,NA,-34.124,NA,NA
1959,-1.41264,3.54129,-5,NA,-55.53,NA,NA
2165,-1.69505,4.07895,-4.55634,NA,NA,-41.109,NA
2237,-1.22027,4.02663,-4.8884,-30.068,NA,NA,NA
2407,-1.98886,3.6683,-5,NA,-33.374,NA,NA
2771,-2.00447,4.17106,-4.44246,NA,-45.349,NA,NA
2974,-1.83658,3.5037,-4.38408,-41.48,NA,NA,NA
3059,-2.39738,3.8095,-5,NA,NA,-52.171,NA
3363,-2.39035,3.86893,-4.92296,NA,NA,-46.033,NA
3475,-2.16703,4.09292,-5,-40.169,NA,NA,NA
3656,-2.36089,3.8873,-5,-36.56,NA,NA,NA
3939,-1.53299,3.30705,-5,NA,-48.305,NA,NA
4081,-1.99141,3.78226,-5,NA,-34.07,NA,NA
4327,-2.16297,3.48786,-5,NA,-55.525,NA,NA
4474,-2.16945,3.67137,-5,-42.207,NA,NA,NA
4757,-2.4306,2.98645,-4.59519,-83.284,NA,NA,NA
4903,-2.26616,3.88671,-4.7564,NA,-64.022,NA,NA
5076,-1.61308,4.15834,-5,NA,NA,NA,-54.181
5329,-1.4968,4.29705,-4.56485,-43.318,NA,NA,NA
5566,-2.277,4.55647,-5,-54.288,NA,NA,NA
5667,-1.73566,4.2676,-4.38491,-38.518,NA,NA,NA
5970,-1.16222,3.83266,-5,NA,NA,-34.88,NA
6083,-2.08478,4.1558,-5,-38.258,NA,NA,NA
6283,-1.77815,4.54189,-5,-48.231,NA,NA,NA
6517,-1.61091,4.46455,-4.81548,-48.082,NA,NA,NA
6640,-1.3775,4.17785,-5,NA,-58.97,NA,NA
6973,-1.71186,4.25978,-5,NA,-37.22,NA,NA
7009,-2.32702,4.41158,-5,NA,-56.091,NA,NA
7222,-1.32162,4.11697,-5,NA,-61.083,NA,NA
7550,-1.81312,4.5974,-5,-54.111,NA,NA,NA
7620,-1.48437,3.96499,-4.38781,-29.951,NA,NA,NA
7857,-2.77438,3.5502,-4.89653,NA,-73.727,NA,NA
8133,-1.4284,3.83428,-5,NA,-31.756,NA,NA
8365,-2.1893,3.71083,-5,NA,-53.027,NA,NA
8423,-1.83947,3.28264,-5,-35.075,NA,NA,NA
8737,-1.92598,3.87675,-4.90524,-27.984,NA,NA,NA
8802,-1.98183,3.95791,-5,NA,-36.088,NA,NA
9059,-2.05442,3.85118,-5,-36.646,NA,NA,NA
9269,-2.1046,3.7591,-5,-37.463,NA,NA,NA
9457,-1.80358,3.38055,-5,NA,-40.248,NA,NA
9697,-1.82291,3.60532,-5,NA,-44.934,NA,NA
9875,-1.98313,3.87237,-4.69793,NA,-36.38,NA,NA
10053,-2.67684,3.66215,-5,NA,-60.914,NA,NA
10226,-1.72225,3.47301,-5,NA,-36.463,NA,NA
10533,-1.74916,4.34423,-5,NA,-43.238,NA,NA
10614,-1.90409,3.99968,-5,NA,NA,-29.047,NA
11000,-1.54518,4.02324,-5,-17.268,NA,NA,NA
11008,-1.39039,3.55445,-4.64864,NA,-56.236,NA,NA
11389,-1.77092,3.59793,-4.4357,NA,-54.669,NA,NA
11459,-1.3846,3.97319,-5,NA,-41.122,NA,NA
11731,-1.56492,3.33266,-5,NA,-51.315,NA,NA
11809,-1.7471,3.62179,-5,NA,NA,-13.72,NA
12059,-1.23574,4.60621,-5,NA,-69.551,NA,NA
12245,-1.30983,3.72306,-5,-17.197,NA,NA,NA
12411,-1.44445,3.85008,-5,NA,-32.985,NA,NA
12725,-1.42983,4.09459,-5,NA,-44.286,NA,NA
12863,-1.19832,3.33615,-5,NA,NA,-41.832,NA
13154,-2.3846,3.45596,-4.78025,NA,-48.927,NA,NA
13381,-1.41606,3.7517,-5,NA,-27.074,NA,NA
13425,-1.41459,3.76286,-4.75792,NA,-28.132,NA,NA
13709,-1.14289,4.18498,-5,NA,-52.339,NA,NA
13947,-1.3738,3.54937,-5,NA,NA,-12.602,NA
14136,-1.20402,3.72758,-5,NA,NA,-21.688,NA
14384,-1.76955,3.65072,-4.97133,NA,NA,-11.86,NA
14530,-1.5873,3.287,-4.61828,NA,-59.943,NA,NA
14681,-1.44906,3.73999,-5,-18.102,NA,NA,NA
14889,-1.18193,3.66965,-5,NA,-62.822,NA,NA
15174,-2.04125,2.98203,-5,NA,-58.505,NA,NA
15228,-1.73484,3.21171,-4.64345,NA,-60.653,NA,NA
15524,-1.48825,4.0097,-4.72752,NA,-45.079,NA,NA
15757,-1.63418,4.23918,-5,NA,-39.263,NA,NA
15945,-2.12642,4.19226,-5,NA,-56.084,NA,NA
16196,-2.1897,3.34942,-4.57137,NA,-64.839,NA,NA
16329,-1.85397,3.6929,-5,NA,-43.753,NA,NA
16492,-1.49635,3.91334,-4.78408,NA,NA,-14.384,NA
16657,-2.21126,4.33626,-4.24138,-59.448,NA,NA,NA
16885,-1.97069,3.50879,-4.73567,-23.398,NA,NA,NA
17046,-1.51297,3.99487,-5,NA,NA,-31.666,NA
17226,-2.15564,3.44545,-5,NA,-57.75,NA,NA
17529,-1.77056,4.25173,-5,NA,-40.31,NA,NA
17649,-2.31713,4.29554,-5,NA,-47.285,NA,NA
17891,-2.50683,4.12197,-5,NA,-61.958,NA,NA
18107,-2.58634,3.77757,-5,NA,-52.857,NA,NA
18326,-1.17277,3.76446,-4.91601,-17.417,NA,NA,NA
18475,-1.83559,4.49356,-5,NA,-57.523,NA,NA
18780,-2.05547,3.93873,-4.81378,-38.84,NA,NA,NA
18950,-2.12524,3.74725,-4.91285,NA,NA,-47.307,NA
19200,-2.00344,3.82873,-5,NA,NA,-32.26,NA
19393,-1.82827,4.30538,-5,-40.558,NA,NA,NA
19520,-2.26011,4.05115,-4.48674,NA,-59.028,NA,NA
19715,-1.3071,4.20722,-4.388,NA,-50.672,NA,NA
19859,-1.69934,3.73778,-4.5531,NA,-44.49,NA,NA
20009,-1.71669,4.04876,-5,NA,-43.639,NA,NA
20306,-2.42401,3.79503,-5,NA,NA,-47.163,NA
20468,-1.91737,4.05321,-5,NA,NA,-48.809,NA
20710,-2.04216,3.74054,-4.43306,NA,NA,-35.673,NA
20898,-1.55507,3.47928,-5,NA,NA,-22.821,NA
21039,-2.05702,4.12013,-4.46269,NA,-50.022,NA,NA
21202,-1.78488,3.63862,-4.3547,NA,-53.101,NA,NA
21406,-1.80934,3.48982,-4.54384,-29.082,NA,NA,NA
21722,-1.65032,3.59937,-5,NA,-35.771,NA,NA
21987,-1.67443,3.52749,-5,NA,-39.06,NA,NA
22092,-2.033,3.77716,-5,NA,-35.161,NA,NA
22269,-2.5002,3.47211,-4.46781,NA,-69.046,NA,NA
22593,-2.16385,3.45877,-5,NA,-56.451,NA,NA
22682,-1.53368,3.8291,-5,NA,NA,-6.887,NA
22994,-1.6486,3.76818,-5,NA,NA,-12.334,NA
23124,-1.87014,4.27028,-5,-42.769,NA,NA,NA
23358,-1.23675,4.36249,-5,NA,-67.443,NA,NA
23532,-2.05856,4.71064,-5,NA,-56.357,NA,NA
23656,-1.55782,3.95414,-5,-24.751,NA,NA,NA
23967,-1.93501,4.07274,-5,-29.836,NA,NA,NA
24068,-1.20688,3.93524,-4.73622,NA,NA,-31.473,NA
24211,-1.63703,3.40391,-4.51044,-23.823,NA,NA,NA
24509,-1.29417,3.54787,-5,NA,NA,-11.347,NA
24628,-1.99913,3.54029,-5,NA,NA,-28.281,NA
24943,-1.82606,4.26729,-4.57801,NA,-51.913,NA,NA
25026,-1.23045,3.6706,-5,NA,-48.975,NA,NA
25397,-1.53027,3.45319,-5,NA,NA,-36.959,NA
25514,-1.58693,3.42693,-4.84928,NA,-39.169,NA,NA
25693,-2.02793,3.87307,-4.76807,NA,-32.041,NA,NA
25845,-1.83096,3.22823,-5,-39.981,NA,NA,NA
26079,-2.04534,3.43815,-5,NA,-51.757,NA,NA
26241,-1.8952,3.854,-4.72041,NA,-32.854,NA,NA
26478,-1.92836,4.16859,-5,NA,-54.717,NA,NA
26756,-1.34147,3.59334,-5,-7.514,NA,NA,NA
26898,-1.24866,3.46938,-5,-18.508,NA,NA,NA
27053,-1.91656,3.44974,-5,-37.621,NA,NA,NA
27259,-1.77487,4.14096,-5,-32.352,NA,NA,NA
27514,-1.65553,4.07978,-5,NA,-41.977,NA,NA
27773,-1.72467,3.65321,-4.79138,NA,NA,-7.159,NA
27890,-1.97145,3.69548,-5,-30.354,NA,NA,NA
28174,-2.01175,4.22087,-5,NA,-49.324,NA,NA
28356,-2.10307,3.94306,-5,NA,-43.944,NA,NA
28557,-1.88866,4.17759,-5,NA,NA,-32.053,NA
28647,-1.80306,4.33161,-5,NA,NA,-44.969,NA
28926,-1.28996,4.06305,-5,NA,-48.945,NA,NA
29171,-1.94727,3.22529,-5,-38.134,NA,NA,NA
29286,-1.45466,3.70992,-5,-19.467,NA,NA,NA
29443,-1.91494,4.33028,-4.4294,NA,-52.069,NA,NA
29706,-1.32425,3.81421,-5,NA,NA,-20.511,NA
29842,-1.69949,3.13019,-5,-42.559,NA,NA,NA
30151,-2.17179,4.04029,-4.67196,NA,NA,-47.862,NA
30351,-2.03271,3.53025,-5,-28.666,NA,NA,NA
30425,-1.76336,4.16192,-5,NA,-39.665,NA,NA
30771,-1.93912,4.06407,-4.68654,NA,-49.518,NA,NA
30893,-1.36144,3.41265,-5,-10.426,NA,NA,NA
31083,-0.777709,3.84266,-5,NA,-62.585,NA,NA
31383,-1.71025,3.41114,-5,NA,-34.793,NA,NA
31559,-1.45712,3.92455,-5,-17.768,NA,NA,NA
31769,-1.66781,4.11363,-5,NA,-39.904,NA,NA
31888,-2.00538,3.13717,-5,NA,-60.926,NA,NA
32097,-1.34902,3.97418,-4.61161,NA,-51.65,NA,NA
32282,-2.11414,3.92998,-5,NA,NA,-39.222,NA
32569,-1.48822,3.54438,-4.65239,NA,-47.852,NA,NA
32632,-1.39971,3.58896,-5,NA,-49.137,NA,NA
32931,-1.62968,3.64263,-5,NA,-46.283,NA,NA
33098,-1.60416,4.11975,-5,-32.509,NA,NA,NA
33364,-1.74771,3.03976,-5,-44.104,NA,NA,NA
33512,-1.88982,3.20469,-5,-43.042,NA,NA,NA
33699,-1.30156,2.89225,-4.89126,NA,-68.512,NA,NA
33898,-1.30157,4.20497,-5,NA,NA,-32.526,NA
