id,x0,x1,x2,fitness-4,fitness-2.5,fitness-1.5,fitness-2,fitness-3,fitness-5,fitness-3.5,fitness-4.5,fitness-0.5,fitness0,fitness2,fitness3.5,fitness2.5,fitness3,fitness1.5,fitness1,fitness0.5,fitness-1,fitness4.5,fitness5,fitness4
166,-4.30492,4.06893,4.51638,-0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,-3.84401,3.08966,4.28528,NA,40.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,-3.14645,2.8172,3.68174,NA,NA,207.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,-2.85051,2.44831,3.09665,NA,NA,64.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
962,-3.79322,3.60613,3.76157,NA,NA,81.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070,-4.65297,3.09226,4.04921,NA,NA,NA,13.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1205,-4.74036,2.40908,2.94043,NA,NA,-15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1452,-5,3.1741,2.93698,NA,NA,NA,NA,36.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1619,-4.5438,2.71309,1.90022,9.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,-5,2.75429,2.02019,NA,NA,NA,NA,NA,-9.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2137,-4.13379,2.12487,1.42038,NA,NA,NA,NA,NA,NA,14.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2269,-4.88402,1.83361,2.94849,NA,NA,NA,NA,-3.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2414,-5,1.09147,1.9498,NA,NA,NA,2.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2744,-5,1.71367,0.349563,NA,NA,NA,NA,56.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2889,-5,2.10338,0.147385,-4.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3075,-3.81119,1.09383,1.0108,NA,NA,NA,NA,NA,NA,NA,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3247,-3.99184,1.14378,1.80072,16.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3454,-4.52639,1.11884,2.62383,NA,7.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3725,-5,1.99094,1.37652,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3839,-5,3.52227,2.69935,NA,-1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4015,-4.52171,3.99314,1.66378,NA,NA,NA,-1.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4397,-2.87474,5,1.50201,NA,NA,NA,NA,NA,NA,NA,NA,330.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4416,-2.38005,2.81297,0.222918,NA,NA,168.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4734,-4.09211,0.117858,0.439262,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4930,-5,0.108997,1.44096,NA,NA,NA,NA,NA,NA,NA,NA,9.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5051,-5,-0.362153,-0.402996,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5379,-5,-2.6459,-0.881912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5432,-3.08225,-2.74665,-3.28057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5776,-3.46036,-1.3533,-3.13932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.429,NA,NA,NA,NA,NA,NA,NA,NA
5932,-4.03578,-1.75545,-2.18801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.35,NA,NA,NA,NA,NA,NA,NA
6193,-2.90225,-3.08957,-1.23416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.782,NA,NA,NA,NA,NA,NA,NA
6220,-4.01096,-3.19889,0.598595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.707,NA,NA,NA,NA,NA,NA,NA
6463,-5,-3.69606,0.69132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.01,NA,NA,NA,NA,NA,NA
6773,-4.5562,-3.62428,0.694192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6940,-4.6483,-4.61775,0.438168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.761,NA,NA,NA,NA,NA
7084,-5,-5,1.4456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7294,-4.20717,-4.73361,-1.0658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.088,NA,NA,NA,NA,NA,NA
7596,-4.92329,-3.49748,-1.27997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7657,-4.3722,-4.66632,-0.77822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.892,NA,NA,NA,NA
7962,-5,-5,-2.19226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8183,-4.42817,-5,-1.21988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8399,-4.129,-5,0.315635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.96,NA,NA,NA,NA,NA
