id,x0,x1,x2,fitness5,fitness3.5
189,4.77822,0.257277,-1.22926,3106.94,NA
225,4.77822,0.257277,-1.43663,5769.381,NA
282,4.78853,0.257277,-1.43663,5882.276,NA
309,4.78853,0.257277,-1.43663,6553.265,NA
326,4.78853,-0.974642,-1.43663,18927.755,NA
336,4.86216,-0.974642,-1.43663,20097.198,NA
387,4.86216,-0.974642,-1.43663,20283.348,NA
456,4.86216,-0.750253,-1.43663,29963.932,NA
522,4.86216,-0.784004,-1.43663,30770.727,NA
563,4.86216,-0.788234,-1.43663,30814.44,NA
651,4.86216,-0.788234,-1.42605,30864.882,NA
707,4.86216,-0.810791,-1.42605,30878.069,NA
1075,4.86216,-0.810791,-1.42605,30884.162,NA
1192,4.86216,-0.792849,-1.42605,30903.92,NA
1397,4.85971,-0.792849,-1.42605,30909.368,NA
1819,4.85971,-0.792849,-1.42549,30909.645,NA
2185,4.85971,-0.803815,-1.42549,30925.587,NA
2565,4.85644,-0.803815,-1.42549,30925.634,NA
3420,4.8574,-0.803815,-1.42549,30926.476,NA
4447,4.8574,-0.79742,-1.42549,30927.867,NA
4948,4.8574,-0.79742,-1.42492,30927.901,NA
5213,4.85871,-0.79742,-1.42492,30927.902,NA
7232,4.85871,-0.801388,-1.42492,30930.565,NA
7490,4.85871,-0.801388,-1.42492,30933.181,NA
8060,4.85871,-0.801388,-1.42492,NA,-2743.382
