id,x0,x1,x2,fitness-0.5,fitness-1
2,-1.54717,3.89597,-1.22553,1703.274,NA
208,-1.54717,3.89597,-1.4329,3266.378,NA
235,-1.54717,5,-1.4329,13446.979,NA
264,-1.54717,5,-1.4329,17582.345,NA
299,-1.54717,5,-1.4329,NA,19174.02
333,-1.54717,4.75852,-1.4329,NA,22566.565
376,-1.54717,4.75852,-1.42533,NA,22583.536
402,-1.36992,4.75852,-1.42533,NA,26251.311
517,-1.36992,4.83558,-1.42533,NA,29547.826
663,-1.47507,4.83558,-1.42533,NA,29791.091
703,-1.42064,4.83558,-1.42533,NA,30719.89
900,-1.42064,4.84377,-1.42533,NA,30834.887
964,-1.42525,4.84377,-1.42533,NA,30842.647
1181,-1.42525,4.86792,-1.42533,NA,30883.397
1221,-1.42525,4.85581,-1.42533,NA,30919.098
1937,-1.42525,4.85929,-1.42533,NA,30920.458
2077,-1.42525,4.85929,-1.4253,NA,30920.462
2134,-1.42525,4.85929,-1.4253,NA,30932.837
2360,-1.42525,4.85716,-1.4253,NA,30933.114
2429,-1.42525,4.85832,-1.4253,NA,30933.398
7622,-1.42525,4.85832,-1.4253,NA,30933.741
7939,-1.42525,4.85832,-1.4253,NA,30933.741
8243,-1.30011,4.85832,-1.4253,NA,24902.237
