id,x0,x1,x2,fitness5,fitness3,fitness4.5,fitness3.5,fitness4
189,4.77822,0.257277,-1.22926,3106.94,NA,NA,NA,NA
262,5,0.821531,-2.20092,964.237,NA,NA,NA,NA
552,5,0.235842,-1.54308,2971.217,NA,NA,NA,NA
617,5,-0.770944,-0.302273,9350.997,NA,NA,NA,NA
983,4.09858,-1.18802,-0.128366,1280.493,NA,NA,NA,NA
1071,4.92932,-2.01493,-0.126268,5680.201,NA,NA,NA,NA
1267,5,-0.955059,-1.45157,12535.005,NA,NA,NA,NA
1447,5,-1.53812,-1.45455,NA,3746.149,NA,NA,NA
1750,5,-0.888348,-0.671953,NA,NA,9196.678,NA,NA
1999,5,-0.812316,-1.22477,8995.672,NA,NA,NA,NA
2067,5,-0.525331,-1.46103,5388.396,NA,NA,NA,NA
2286,5,-0.945209,-1.36361,12577.958,NA,NA,NA,NA
2543,4.93959,-1.00804,-1.66783,NA,NA,4037.307,NA,NA
2606,4.98691,-0.610182,-1.43895,11350.689,NA,NA,NA,NA
2953,5,-0.797878,-1.27983,12855.215,NA,NA,NA,NA
3158,5,-0.31781,-0.823489,8747.865,NA,NA,NA,NA
3332,4.82448,-0.16366,-1.99837,6333.36,NA,NA,NA,NA
3578,5,-0.750784,-1.69419,6672.36,NA,NA,NA,NA
3778,5,-1.48918,-1.37513,NA,NA,6484.748,NA,NA
3923,4.67276,-1.45098,-0.943669,NA,NA,NA,3830.001,NA
4057,5,-0.35754,-1.54062,NA,NA,NA,NA,1743.075
4242,5,-0.300047,-0.895202,NA,NA,6344.907,NA,NA
4535,5,-1.33494,-1.01546,9482.959,NA,NA,NA,NA
4778,4.96432,-1.42406,-2.00559,8470.782,NA,NA,NA,NA
4859,4.26471,-1.61916,-1.40684,5844.172,NA,NA,NA,NA
5121,4.65289,-1.38571,-1.00314,6890.182,NA,NA,NA,NA
5278,4.71222,-3.02748,-1.40591,4318.331,NA,NA,NA,NA
5591,4.42996,-1.41412,-1.28745,NA,NA,1525.423,NA,NA
5665,5,-1.28167,-0.546106,NA,NA,4420.597,NA,NA
5902,5,-1.05885,-1.23705,2993.6,NA,NA,NA,NA
6115,5,-3.04149,-1.28491,3189.402,NA,NA,NA,NA
6345,5,-1.44628,-0.644019,15283.074,NA,NA,NA,NA
6570,5,-1.9815,-1.28452,5518.064,NA,NA,NA,NA
6675,5,-0.820631,-1.34525,15930.759,NA,NA,NA,NA
6898,5,-0.809433,-1.34385,15944.108,NA,NA,NA,NA
7117,5,-0.266948,-0.853508,10237.505,NA,NA,NA,NA
7318,4.85954,-1.21567,-2.13474,3454.285,NA,NA,NA,NA
7548,5,-0.675075,-1.25774,9421.728,NA,NA,NA,NA
7692,4.19433,-1.96956,-0.748757,4452.793,NA,NA,NA,NA
7809,3.86713,-0.816577,-1.44527,NA,NA,5502.449,NA,NA
8161,4.77971,-0.825031,-0.375444,7034.945,NA,NA,NA,NA
8283,3.37424,-1.09626,-0.75069,741.878,NA,NA,NA,NA
8455,4.23502,-1.88176,-1.93645,1719.069,NA,NA,NA,NA
8705,5,-0.306036,-0.834952,12043.177,NA,NA,NA,NA
8951,5,-0.679321,-0.405354,3158.027,NA,NA,NA,NA
9160,5,-1.22695,-0.809578,10021.116,NA,NA,NA,NA
9242,5,-1.6293,-0.552322,3832.413,NA,NA,NA,NA
9429,4.87035,-1.87632,-1.64678,3275.742,NA,NA,NA,NA
9737,5,-1.98599,-1.44324,7310.934,NA,NA,NA,NA
9881,5,-1.6378,-0.677844,7622.279,NA,NA,NA,NA
10093,5,-1.28742,-0.895605,NA,NA,2975.788,NA,NA
10220,5,-0.91784,-1.46655,14299.909,NA,NA,NA,NA
10583,4.8145,-0.865467,-1.63817,11303.667,NA,NA,NA,NA
10620,5,-0.222274,-2.15534,3160.82,NA,NA,NA,NA
10933,4.92546,-0.710317,-2.00694,NA,NA,4941.013,NA,NA
11179,5,-0.816307,-1.49417,17165.122,NA,NA,NA,NA
11360,5,-1.21424,-0.629574,5608.09,NA,NA,NA,NA
