id,x0,x1,x2,fitness5,fitness4,fitness3,fitness0.5,fitness2,fitness1,fitness-0.5,fitness-2,fitness-1,fitness4.5,fitness3.5
34,0.191577,3.31819,4.14756,322.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,3.75658,4.21686,2.72738,486.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576,4.89242,3.24663,3.85151,1685.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
680,3.83881,4.38471,3.95355,151.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
866,3.12952,5,4.84699,2683.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,4.16027,5,5,4323.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1314,4.66352,4.31852,5,4249.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,3.72449,5,5,NA,1623.579,NA,NA,NA,NA,NA,NA,NA,NA,NA
1786,5,4.96369,5,NA,NA,3519.858,NA,NA,NA,NA,NA,NA,NA,NA
1943,4.28342,5,4.68639,NA,1693.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,4.9137,4.28377,5,NA,NA,1914.05,NA,NA,NA,NA,NA,NA,NA,NA
2382,4.30339,4.91947,5,NA,NA,NA,1323.79,NA,NA,NA,NA,NA,NA,NA
2526,3.27181,5,5,NA,NA,NA,NA,283.218,NA,NA,NA,NA,NA,NA
2760,3.15946,5,5,NA,NA,NA,NA,NA,943.108,NA,NA,NA,NA,NA
2828,3.19582,4.31619,5,NA,NA,NA,NA,NA,NA,2482.919,NA,NA,NA,NA
3012,4.81198,5,5,NA,NA,NA,NA,NA,NA,NA,6310.967,NA,NA,NA
3363,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2461.437,NA,NA
3419,5,4.54182,4.72574,NA,NA,NA,NA,NA,NA,NA,622.016,NA,NA,NA
3604,5,5,5,NA,NA,NA,NA,NA,NA,NA,481.247,NA,NA,NA
3923,5,5,4.94715,NA,NA,NA,NA,NA,NA,NA,NA,3775.646,NA,NA
4145,5,4.96802,4.67886,NA,NA,NA,NA,NA,NA,1017.404,NA,NA,NA,NA
4255,5,4.25413,5,NA,NA,NA,NA,NA,2114.559,NA,NA,NA,NA,NA
4488,5,3.79587,5,NA,NA,NA,NA,702.092,NA,NA,NA,NA,NA,NA
4798,5,4.3785,5,NA,NA,1198.845,NA,NA,NA,NA,NA,NA,NA,NA
4838,4.87853,1.78751,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220.188,NA
5027,5,0.229224,4.76972,3081.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5368,4.64763,-0.948139,5,6978.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5416,4.95495,0.23453,4.59205,1307.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5636,4.68635,-0.874098,4.75057,12668.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5958,4.6079,-2.06615,4.97951,NA,NA,NA,NA,NA,NA,NA,NA,NA,2113.83,NA
6025,5,-1.86777,5,3514.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6238,5,-2.21705,4.99111,2132.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6424,5,-1.11515,4.96381,642.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6788,4.69557,0.258941,5,3248.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6920,5,0.395409,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3636.141,NA
7008,5,-0.912043,5,13900.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7305,5,-0.718858,5,12060.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7485,5,-0.601832,4.63042,4795.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7703,5,-0.948898,3.90401,2205.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7908,5,-1.3932,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7307.303,NA
8066,5,-1.93372,5,NA,873.761,NA,NA,NA,NA,NA,NA,NA,NA,NA
8304,5,-1.9404,4.89997,6629.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8487,4.78431,-1.86646,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3946.387,NA
8722,4.08644,-2.54086,5,1139.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8860,4.50395,-1.58128,5,310.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9187,4.94635,-1.69143,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2802.851,NA
9245,4.91251,-0.831757,4.78836,27457.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9530,5,-2.09164,5,4874.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9787,5,-2.91089,5,2742.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9962,5,-2.01226,5,5550.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10159,5,-0.816176,4.99768,13155.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10243,5,-1.68883,4.18778,2088.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10538,4.091,-1.46831,5,3532.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10618,5,-2.39975,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475.982,NA
