id,x0,x1,x2,fitness-1,fitness0,fitness1,fitness0.5,fitness2.5,fitness4.5,fitness4,fitness5,fitness3,fitness2,fitness-2,fitness-0.5,fitness-1.5,fitness-2.5,fitness-3.5,fitness-3,fitness-4.5,fitness-4,fitness1.5,fitness3.5,fitness-5
149,2.7015,3.37262,4.2403,301.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,3.23149,2.86465,4.69223,NA,443.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,3.43482,2.78741,3.75153,NA,NA,70.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633,4.47029,2.78477,4.20622,NA,NA,NA,94.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,4.66095,3.65085,3.61048,NA,NA,13.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150,4.80045,5,4.42263,NA,NA,NA,NA,713.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1366,5,5,5,NA,NA,NA,NA,NA,4900.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,5,5,4.02522,NA,NA,NA,NA,NA,NA,345.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1717,4.13448,4.88783,4.62684,NA,NA,NA,NA,NA,NA,NA,3017.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,4.69548,5,4.17788,NA,NA,NA,NA,NA,NA,NA,4374.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2114,5,4.66048,4.78723,NA,NA,NA,NA,NA,NA,2586.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2335,5,4.15814,4.80894,NA,NA,NA,NA,1276.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2489,5,4.16518,4.86654,NA,NA,NA,NA,NA,NA,NA,NA,1367.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2704,5,4.22189,5,NA,NA,NA,NA,NA,NA,NA,NA,836.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850,3.35721,5,4.33432,NA,NA,NA,NA,518.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3076,3.31485,4.90151,4.28419,NA,NA,NA,NA,NA,NA,NA,NA,NA,621.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3365,5,4.53989,4.73779,NA,NA,NA,NA,386.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
