id,x0,x1,x2,fitness7.5,fitness7,fitness8,fitness6,fitness8.5,fitness6.5,fitness9,fitness5,fitness4.5,fitness4,fitness3.5,fitness9.5,fitness10,fitness5.5,fitness2.5,fitness10.5,fitness2
37,8.55104,9.27446,6.81288,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,8.15545,9.75915,7.68488,NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,8.94386,9.70975,8.25948,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,8.01082,8.91653,8.55231,0.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,7.74479,8.13402,7.70019,NA,NA,NA,0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1142,7.4654,7.94772,6.31271,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1221,6.78283,7.45775,4.00852,NA,NA,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1555,7.34224,6.74968,4.14077,NA,NA,NA,NA,0.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1623,7.18927,6.7075,3.82232,NA,NA,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,7.67742,7.51091,5.30788,NA,0.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2197,7.34391,6.83503,6.6146,NA,NA,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2212,6.62705,7.63063,7.12672,NA,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2464,5.03187,8.24388,7.70675,NA,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2686,3.35651,8.48638,8.16836,NA,NA,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2816,4.22795,7.48544,7.5615,NA,NA,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3011,4.34482,7.73773,7.82525,NA,NA,NA,0.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3367,4.00595,7.42033,7.42252,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3555,4.32614,8.16127,7.34064,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3769,4.10706,6.94666,7.38694,NA,NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3806,4.2672,6.86258,7.37101,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,3.60104,7.00982,6.52544,NA,NA,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4390,3.88531,5.27962,6.81445,NA,NA,NA,NA,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4442,6.97256,4.75524,6.87655,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4646,6.35269,2.53808,8.487,NA,NA,NA,NA,0.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4899,7.3232,2.04981,8.4228,NA,NA,NA,NA,NA,NA,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5131,8.40861,3.99002,7.73242,NA,NA,NA,NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5208,8.13763,6.2239,9.21057,NA,NA,NA,NA,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5404,7.93253,5.76071,9.73815,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5766,8.0978,7.38849,8.7147,NA,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5967,8.27017,7.0494,8.1145,NA,NA,NA,NA,NA,NA,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6171,8.10803,7.72608,8.33778,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6336,8.22699,8.04703,7.80097,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6489,8.17883,7.92288,8.67468,NA,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6773,7.87697,8.3684,8.34744,NA,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6904,7.61214,8.56582,7.78232,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7096,7.51349,8.13035,7.45096,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7209,7.56251,6.0811,7.94606,NA,NA,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7576,7.87293,5.08924,7.14568,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7653,8.09,4.35101,7.12198,NA,NA,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7873,7.78586,5.26116,7.46195,NA,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8113,7.28609,3.97501,7.45468,NA,NA,NA,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
