id,x0,x1,x2,fitness8,fitness7.5,fitness6.5,fitness7,fitness8.5,fitness9.5,fitness9,fitness6,fitness4.5
160,5.95514,7.46949,6.91524,0.344,NA,NA,NA,NA,NA,NA,NA,NA
380,6.39968,7.02422,7.43338,0.555,NA,NA,NA,NA,NA,NA,NA,NA
579,7.04894,8.12139,8.202,NA,0.826,NA,NA,NA,NA,NA,NA,NA
729,7.65098,8.60524,8.24766,NA,0.783,NA,NA,NA,NA,NA,NA,NA
941,8.29673,9.12251,7.75737,NA,NA,0.344,NA,NA,NA,NA,NA,NA
1119,8.21865,8.76274,7.92616,0.741,NA,NA,NA,NA,NA,NA,NA,NA
1298,8.3343,8.7895,7.99225,NA,0.701,NA,NA,NA,NA,NA,NA,NA
1575,8.74442,7.97916,7.48133,NA,0.785,NA,NA,NA,NA,NA,NA,NA
1759,7.75448,8.40096,7.21198,0.83,NA,NA,NA,NA,NA,NA,NA,NA
1866,7.77697,8.298,7.32696,NA,0.869,NA,NA,NA,NA,NA,NA,NA
2064,7.55999,7.58198,7.51056,NA,0.976,NA,NA,NA,NA,NA,NA,NA
2214,7.09289,7.96175,8.64737,0.756,NA,NA,NA,NA,NA,NA,NA,NA
2564,7.36721,8.10703,7.57343,NA,NA,NA,0.85,NA,NA,NA,NA,NA
2667,8.04342,7.89372,7.7366,NA,0.941,NA,NA,NA,NA,NA,NA,NA
2978,8.28675,8.2725,7.58654,NA,0.873,NA,NA,NA,NA,NA,NA,NA
3053,7.52384,9.00501,7.5335,0.731,NA,NA,NA,NA,NA,NA,NA,NA
3315,8.29021,8.21893,6.66376,0.629,NA,NA,NA,NA,NA,NA,NA,NA
3572,7.34595,9.0163,7.55805,NA,NA,NA,NA,0.626,NA,NA,NA,NA
3712,7.72352,7.82748,7.24091,0.935,NA,NA,NA,NA,NA,NA,NA,NA
3938,8.09862,8.09092,7.51197,NA,NA,NA,0.85,NA,NA,NA,NA,NA
4115,6.97404,8.34611,7.12668,NA,0.729,NA,NA,NA,NA,NA,NA,NA
4238,8.23156,7.81877,7.53235,0.93,NA,NA,NA,NA,NA,NA,NA,NA
4579,7.8211,8.32914,7.23637,NA,NA,NA,0.827,NA,NA,NA,NA,NA
4653,7.65311,7.84668,7.71389,0.989,NA,NA,NA,NA,NA,NA,NA,NA
4801,7.87767,7.92511,7.93897,NA,0.941,NA,NA,NA,NA,NA,NA,NA
5008,6.93404,7.66152,7.48189,NA,NA,NA,0.767,NA,NA,NA,NA,NA
5252,7.314,8.09446,8.49317,NA,NA,NA,0.751,NA,NA,NA,NA,NA
5425,9.22992,7.46397,8.10004,NA,0.642,NA,NA,NA,NA,NA,NA,NA
5704,7.65734,6.27583,8.29921,NA,0.552,NA,NA,NA,NA,NA,NA,NA
5963,7.65328,6.6759,8.04017,0.754,NA,NA,NA,NA,NA,NA,NA,NA
6179,7.87756,6.97523,6.86981,NA,0.732,NA,NA,NA,NA,NA,NA,NA
6349,7.74907,7.05439,8.27235,NA,NA,NA,NA,0.751,NA,NA,NA,NA
6582,8.00345,6.74714,8.55124,NA,NA,NA,NA,0.584,NA,NA,NA,NA
6766,7.47126,6.48916,8.59282,NA,NA,NA,NA,0.434,NA,NA,NA,NA
6965,7.44503,8.26951,7.63631,NA,NA,NA,NA,0.809,NA,NA,NA,NA
7157,7.11538,6.62344,6.75504,0.494,NA,NA,NA,NA,NA,NA,NA,NA
7312,6.93323,6.93685,6.98676,NA,0.636,NA,NA,NA,NA,NA,NA,NA
7495,7.55203,7.82947,7.54415,0.969,NA,NA,NA,NA,NA,NA,NA,NA
7655,5.99015,7.17163,7.59108,NA,0.479,NA,NA,NA,NA,NA,NA,NA
7892,7.65101,6.90341,8.22542,NA,NA,NA,0.732,NA,NA,NA,NA,NA
8026,7.90305,7.1596,8.82152,0.727,NA,NA,NA,NA,NA,NA,NA,NA
8286,6.93247,7.89384,8.14098,NA,NA,NA,0.774,NA,NA,NA,NA,NA
8525,7.70791,7.87283,6.69523,NA,0.785,NA,NA,NA,NA,NA,NA,NA
8712,8.5093,8.10015,6.16296,NA,NA,NA,0.355,NA,NA,NA,NA,NA
8891,8.15344,7.30466,7.14918,NA,NA,NA,0.671,NA,NA,NA,NA,NA
9185,7.44959,8.59581,8.17427,0.802,NA,NA,NA,NA,NA,NA,NA,NA
9313,7.60154,7.96032,7.74952,NA,0.967,NA,NA,NA,NA,NA,NA,NA
9406,8.25946,7.31289,8.86632,NA,0.689,NA,NA,NA,NA,NA,NA,NA
9683,7.77718,7.24457,7.58883,0.926,NA,NA,NA,NA,NA,NA,NA,NA
9924,7.43641,6.66771,7.33843,0.728,NA,NA,NA,NA,NA,NA,NA,NA
10122,7.12113,8.19024,8.81672,NA,0.687,NA,NA,NA,NA,NA,NA,NA
10371,7.66617,8.1091,8.04841,NA,NA,NA,0.86,NA,NA,NA,NA,NA
10535,8.03428,7.65521,7.84225,NA,NA,NA,0.816,NA,NA,NA,NA,NA
10619,8.22541,8.35487,8.25817,NA,0.813,NA,NA,NA,NA,NA,NA,NA
10933,7.76853,8.8114,8.11764,NA,0.766,NA,NA,NA,NA,NA,NA,NA
11039,7.37102,8.18705,8.43961,NA,0.823,NA,NA,NA,NA,NA,NA,NA
11385,8.23687,8.4899,7.6107,NA,0.805,NA,NA,NA,NA,NA,NA,NA
11474,7.65015,6.80725,4.58397,NA,NA,NA,0.589,NA,NA,NA,NA,NA
11699,8.02716,7.52117,5.24401,0.525,NA,NA,NA,NA,NA,NA,NA,NA
11972,7.72349,7.75338,6.79882,NA,NA,NA,0.729,NA,NA,NA,NA,NA
12178,8.20136,7.71035,7.68675,NA,0.953,NA,NA,NA,NA,NA,NA,NA
12271,7.8001,7.4984,8.2139,NA,0.936,NA,NA,NA,NA,NA,NA,NA
12430,6.8616,7.29959,8.58496,0.681,NA,NA,NA,NA,NA,NA,NA,NA
12656,6.56773,7.78177,7.92422,NA,NA,NA,0.615,NA,NA,NA,NA,NA
12882,7.13771,7.52732,8.10699,NA,0.885,NA,NA,NA,NA,NA,NA,NA
13009,7.19983,8.30094,8.7173,NA,0.69,NA,NA,NA,NA,NA,NA,NA
13203,7.82141,7.51738,8.12395,NA,NA,NA,NA,0.862,NA,NA,NA,NA
13433,7.36858,7.69334,7.54918,0.946,NA,NA,NA,NA,NA,NA,NA,NA
13705,8.20443,8.24732,7.03084,NA,0.768,NA,NA,NA,NA,NA,NA,NA
13972,7.51127,7.23939,7.87285,NA,NA,NA,0.861,NA,NA,NA,NA,NA
14121,7.50841,7.3212,7.80866,0.909,NA,NA,NA,NA,NA,NA,NA,NA
14237,8.64871,7.59145,7.22023,NA,0.796,NA,NA,NA,NA,NA,NA,NA
14453,8.44026,8.14388,8.58133,0.732,NA,NA,NA,NA,NA,NA,NA,NA
14737,7.51752,7.5363,8.51632,0.835,NA,NA,NA,NA,NA,NA,NA,NA
14972,7.80648,8.02396,7.92063,0.92,NA,NA,NA,NA,NA,NA,NA,NA
15109,7.82644,8.08707,7.7251,NA,NA,NA,0.865,NA,NA,NA,NA,NA
15273,7.59623,7.21645,6.47062,NA,NA,NA,0.569,NA,NA,NA,NA,NA
15494,7.67242,8.06773,6.9414,NA,0.816,NA,NA,NA,NA,NA,NA,NA
15626,8.63685,8.13284,7.77376,NA,0.816,NA,NA,NA,NA,NA,NA,NA
15930,7.95157,7.73654,8.29785,NA,NA,NA,NA,0.773,NA,NA,NA,NA
16008,8.02131,7.02195,6.88196,NA,NA,NA,NA,0.647,NA,NA,NA,NA
16205,7.29955,7.37343,7.21061,NA,NA,NA,0.8,NA,NA,NA,NA,NA
16519,7.03311,7.37217,7.64978,NA,0.875,NA,NA,NA,NA,NA,NA,NA
16708,4.1961,7.86023,7.55391,NA,0.985,NA,NA,NA,NA,NA,NA,NA
16901,4.34329,7.86974,7.07164,NA,0.865,NA,NA,NA,NA,NA,NA,NA
17171,7.35957,8.00913,7.8405,NA,NA,NA,0.858,NA,NA,NA,NA,NA
17298,7.85302,8.65226,7.2786,NA,NA,NA,0.639,NA,NA,NA,NA,NA
17453,7.83378,8.67884,7.48937,NA,NA,NA,0.772,NA,NA,NA,NA,NA
17761,8.20081,8.36483,7.36444,0.847,NA,NA,NA,NA,NA,NA,NA,NA
17930,7.37386,7.14454,7.62085,0.9,NA,NA,NA,NA,NA,NA,NA,NA
18168,8.77836,7.6377,7.55428,NA,NA,NA,NA,0.741,NA,NA,NA,NA
18274,8.29433,7.53015,8.08275,NA,0.901,NA,NA,NA,NA,NA,NA,NA
18412,8.94606,7.52136,7.57417,0.732,NA,NA,NA,NA,NA,NA,NA,NA
18731,7.94426,6.87393,7.34098,NA,NA,0.622,NA,NA,NA,NA,NA,NA
18821,8.07618,6.99648,7.48561,NA,0.81,NA,NA,NA,NA,NA,NA,NA
19148,7.67671,7.07314,8.03363,NA,NA,NA,NA,0.795,NA,NA,NA,NA
19230,7.18355,7.18097,8.12293,0.814,NA,NA,NA,NA,NA,NA,NA,NA
19525,7.77141,7.79089,7.40113,NA,0.977,NA,NA,NA,NA,NA,NA,NA
19681,7.43755,7.39907,8.50807,NA,NA,NA,NA,0.736,NA,NA,NA,NA
19913,7.52516,7.73203,8.22634,NA,NA,NA,NA,NA,0.607,NA,NA,NA
20036,8.18297,8.09469,7.75797,0.881,NA,NA,NA,NA,NA,NA,NA,NA
20314,7.41684,8.36462,8.14666,NA,0.86,NA,NA,NA,NA,NA,NA,NA
20539,7.1306,7.62438,6.6471,NA,NA,NA,0.642,NA,NA,NA,NA,NA
20791,7.27278,7.30728,7.90534,NA,0.914,NA,NA,NA,NA,NA,NA,NA
20978,7.20312,6.99847,7.22408,NA,NA,NA,NA,0.73,NA,NA,NA,NA
21030,7.31876,7.24922,6.42882,NA,0.583,NA,NA,NA,NA,NA,NA,NA
21209,8.28113,8.32328,8.63308,NA,NA,NA,0.651,NA,NA,NA,NA,NA
21519,7.59261,7.67955,9.11133,0.718,NA,NA,NA,NA,NA,NA,NA,NA
21741,7.83233,8.45585,8.46731,NA,0.779,NA,NA,NA,NA,NA,NA,NA
21865,7.68435,8.18497,7.81214,0.941,NA,NA,NA,NA,NA,NA,NA,NA
22191,7.29417,7.39625,7.63198,0.936,NA,NA,NA,NA,NA,NA,NA,NA
22237,8.24315,7.56696,7.49365,NA,NA,NA,NA,0.841,NA,NA,NA,NA
22486,8.46302,8.09643,7.76258,NA,0.864,NA,NA,NA,NA,NA,NA,NA
22726,7.31643,7.70311,8.04192,NA,NA,NA,0.77,NA,NA,NA,NA,NA
22957,7.33116,7.85464,8.4834,NA,NA,NA,0.756,NA,NA,NA,NA,NA
23131,7.62511,7.77857,8.63638,NA,NA,NA,0.689,NA,NA,NA,NA,NA
23228,8.11834,8.95396,7.72163,0.727,NA,NA,NA,NA,NA,NA,NA,NA
23508,8.63768,7.3016,7.36298,NA,0.752,NA,NA,NA,NA,NA,NA,NA
23646,8.41775,7.70312,7.87036,NA,0.871,NA,NA,NA,NA,NA,NA,NA
23857,6.96483,7.40313,6.87464,NA,NA,NA,0.666,NA,NA,NA,NA,NA
24045,7.58214,7.96634,7.85783,0.949,NA,NA,NA,NA,NA,NA,NA,NA
24358,7.52217,8.80643,7.63903,NA,0.795,NA,NA,NA,NA,NA,NA,NA
24597,8.72379,7.24858,7.78666,NA,NA,NA,NA,0.703,NA,NA,NA,NA
24619,7.25007,8.04245,8.66445,NA,0.78,NA,NA,NA,NA,NA,NA,NA
24828,8.17189,7.64783,7.32854,NA,NA,NA,NA,0.812,NA,NA,NA,NA
25180,8.86325,7.63847,7.03971,NA,0.672,NA,NA,NA,NA,NA,NA,NA
25243,7.51603,7.949,8.77473,0.793,NA,NA,NA,NA,NA,NA,NA,NA
25504,8.55581,9.00437,8.79581,NA,NA,NA,NA,0.384,NA,NA,NA,NA
25647,6.78517,7.48868,8.45714,0.706,NA,NA,NA,NA,NA,NA,NA,NA
25861,8.13084,8.37834,7.1349,0.803,NA,NA,NA,NA,NA,NA,NA,NA
26143,7.49864,8.31309,7.47397,NA,NA,NA,NA,0.822,NA,NA,NA,NA
26263,7.52992,7.92075,7.88332,0.969,NA,NA,NA,NA,NA,NA,NA,NA
26469,7.22016,8.27626,6.92019,NA,NA,NA,NA,NA,NA,0.535,NA,NA
26722,8.05855,8.55327,6.92696,NA,NA,NA,NA,0.567,NA,NA,NA,NA
26834,7.7311,7.41004,7.78787,0.97,NA,NA,NA,NA,NA,NA,NA,NA
27142,6.70029,7.29449,7.47282,NA,0.744,NA,NA,NA,NA,NA,NA,NA
27233,7.4924,8.41037,7.49272,0.87,NA,NA,NA,NA,NA,NA,NA,NA
27439,7.81493,8.7296,7.30998,NA,0.778,NA,NA,NA,NA,NA,NA,NA
27648,8.46225,8.89996,7.60753,0.665,NA,NA,NA,NA,NA,NA,NA,NA
27956,7.72069,7.49997,8.15528,NA,NA,NA,NA,0.866,NA,NA,NA,NA
28184,8.3835,7.79648,8.69305,NA,0.754,NA,NA,NA,NA,NA,NA,NA
28276,7.70219,7.77987,7.46598,NA,0.986,NA,NA,NA,NA,NA,NA,NA
28570,7.07337,6.79609,7.82402,NA,0.731,NA,NA,NA,NA,NA,NA,NA
28718,8.1253,7.12032,7.70622,NA,NA,NA,0.836,NA,NA,NA,NA,NA
28865,7.72043,7.39642,8.09302,NA,0.944,NA,NA,NA,NA,NA,NA,NA
29163,8.15941,7.36405,8.55138,NA,NA,NA,0.738,NA,NA,NA,NA,NA
29350,8.36456,7.49181,6.91115,NA,0.762,NA,NA,NA,NA,NA,NA,NA
29467,9.27529,7.51334,7.666,NA,0.643,NA,NA,NA,NA,NA,NA,NA
29777,8.22933,8.73188,7.22992,NA,0.728,NA,NA,NA,NA,NA,NA,NA
29957,7.37623,7.4103,8.02972,NA,NA,NA,NA,0.817,NA,NA,NA,NA
30049,7.51263,7.84314,7.31021,0.934,NA,NA,NA,NA,NA,NA,NA,NA
30282,7.01954,7.73925,7.55367,NA,0.893,NA,NA,NA,NA,NA,NA,NA
30533,7.60451,8.62434,7.98525,NA,NA,NA,0.758,NA,NA,NA,NA,NA
30774,8.11643,7.98119,7.78267,NA,NA,NA,0.865,NA,NA,NA,NA,NA
30848,7.97155,7.46902,7.27543,0.914,NA,NA,NA,NA,NA,NA,NA,NA
31023,8.3194,8.64294,8.46332,NA,0.679,NA,NA,NA,NA,NA,NA,NA
31344,7.06459,8.07848,8.3722,NA,0.798,NA,NA,NA,NA,NA,NA,NA
31505,8.12563,7.66088,7.83953,NA,NA,NA,NA,0.871,NA,NA,NA,NA
31656,7.82068,6.65301,8.29997,0.663,NA,NA,NA,NA,NA,NA,NA,NA
31830,7.82101,7.18387,8.33592,NA,0.846,NA,NA,NA,NA,NA,NA,NA
32068,7.35095,8.73183,7.47196,NA,NA,NA,NA,0.711,NA,NA,NA,NA
32373,7.55527,7.62358,7.34507,NA,NA,NA,0.848,NA,NA,NA,NA,NA
32460,7.48008,9.19317,7.25378,NA,NA,NA,NA,0.574,NA,NA,NA,NA
32683,7.87373,8.97229,8.17428,NA,0.714,NA,NA,NA,NA,NA,NA,NA
32882,6.79697,8.16578,8.31758,0.69,NA,NA,NA,NA,NA,NA,NA,NA
33179,8.11753,8.08832,8.26351,0.879,NA,NA,NA,NA,NA,NA,NA,NA
33333,7.6419,7.41935,8.11582,NA,NA,NA,NA,0.816,NA,NA,NA,NA
33461,7.29418,6.67222,7.37763,0.671,NA,NA,NA,NA,NA,NA,NA,NA
33741,7.34855,7.71283,6.5295,NA,NA,NA,NA,0.575,NA,NA,NA,NA
33907,7.108,7.71231,6.00947,NA,0.474,NA,NA,NA,NA,NA,NA,NA
34015,7.63133,7.14205,6.86142,NA,NA,NA,0.68,NA,NA,NA,NA,NA
34313,7.26809,7.98279,7.80652,NA,0.939,NA,NA,NA,NA,NA,NA,NA
34550,8.3125,7.62848,8.60727,0.778,NA,NA,NA,NA,NA,NA,NA,NA
34602,7.63759,7.27029,8.39709,NA,0.832,NA,NA,NA,NA,NA,NA,NA
34889,6.52251,7.7152,7.98044,NA,NA,0.451,NA,NA,NA,NA,NA,NA
35067,6.82502,8.10969,7.69789,NA,NA,NA,NA,0.747,NA,NA,NA,NA
35289,8.84428,7.33271,7.91863,NA,NA,NA,NA,0.63,NA,NA,NA,NA
35441,7.53294,7.87666,7.96987,NA,NA,NA,NA,NA,NA,0.739,NA,NA
35697,7.22626,7.35459,7.55583,NA,NA,NA,NA,0.763,NA,NA,NA,NA
35898,8.0126,8.00486,7.60974,NA,NA,NA,NA,NA,NA,0.771,NA,NA
36059,8.12301,8.2892,7.63884,NA,NA,NA,NA,0.838,NA,NA,NA,NA
36211,8.31741,8.08377,7.27583,NA,NA,NA,0.788,NA,NA,NA,NA,NA
36419,8.37872,7.75064,7.17628,0.839,NA,NA,NA,NA,NA,NA,NA,NA
36661,8.05155,8.02016,8.45126,0.856,NA,NA,NA,NA,NA,NA,NA,NA
36867,8.03923,7.06259,7.77062,NA,NA,NA,0.838,NA,NA,NA,NA,NA
37172,7.78342,8.26535,7.48265,NA,0.928,NA,NA,NA,NA,NA,NA,NA
37300,7.41932,7.98104,6.88595,NA,NA,0.629,NA,NA,NA,NA,NA,NA
37527,7.98948,7.71202,7.35165,NA,NA,NA,0.867,NA,NA,NA,NA,NA
37638,8.77133,7.30085,7.4769,NA,0.771,NA,NA,NA,NA,NA,NA,NA
37961,7.5231,7.33794,8.24021,NA,0.898,NA,NA,NA,NA,NA,NA,NA
38195,7.44601,7.70965,8.37188,NA,0.904,NA,NA,NA,NA,NA,NA,NA
38233,7.97979,7.15695,8.51461,NA,NA,NA,NA,0.727,NA,NA,NA,NA
38541,6.70618,7.28083,7.79879,0.747,NA,NA,NA,NA,NA,NA,NA,NA
38768,7.682,6.7801,7.26223,NA,0.778,NA,NA,NA,NA,NA,NA,NA
38930,7.39455,6.55091,7.74861,NA,NA,NA,NA,0.652,NA,NA,NA,NA
39018,7.07263,6.85329,7.98567,0.708,NA,NA,NA,NA,NA,NA,NA,NA
39207,7.36682,7.77114,8.21406,NA,NA,NA,NA,0.862,NA,NA,NA,NA
39558,7.59179,7.72846,6.90748,0.853,NA,NA,NA,NA,NA,NA,NA,NA
39754,7.74123,6.71643,7.90105,0.789,NA,NA,NA,NA,NA,NA,NA,NA
39836,9.19835,7.72342,7.09973,NA,0.597,NA,NA,NA,NA,NA,NA,NA
40018,7.95218,6.96352,7.3412,NA,0.841,NA,NA,NA,NA,NA,NA,NA
40325,8.46025,8.17494,7.80744,NA,0.841,NA,NA,NA,NA,NA,NA,NA
40568,7.18685,7.97792,7.64492,0.897,NA,NA,NA,NA,NA,NA,NA,NA
40768,7.37465,8.62234,7.51498,NA,NA,NA,NA,0.751,NA,NA,NA,NA
40849,6.97135,8.2183,7.72029,NA,NA,NA,0.706,NA,NA,NA,NA,NA
