id,x0,x1,x2,fitness8,fitness7.5,fitness8.5,fitness7,fitness6.5,fitness9,fitness9.5
160,5.95514,7.46949,6.91524,0.344,NA,NA,NA,NA,NA,NA
216,7.49113,8.02655,7.47999,NA,0.918,NA,NA,NA,NA,NA
560,8.47084,7.24999,7.60945,NA,0.833,NA,NA,NA,NA,NA
702,8.27144,7.958,7.59533,0.901,NA,NA,NA,NA,NA,NA
873,7.78246,7.72338,8.37893,NA,NA,0.86,NA,NA,NA,NA
1091,8.03905,7.18491,8.1565,NA,0.878,NA,NA,NA,NA,NA
1373,7.27971,7.9696,8.12958,NA,0.904,NA,NA,NA,NA,NA
1405,8.1506,7.97185,7.33225,0.911,NA,NA,NA,NA,NA,NA
1709,7.86127,7.61565,7.92141,0.963,NA,NA,NA,NA,NA,NA
1975,7.26663,7.13299,7.95197,NA,0.868,NA,NA,NA,NA,NA
2050,7.72832,6.91938,7.29747,NA,0.83,NA,NA,NA,NA,NA
2349,8.42586,7.69388,7.57897,NA,NA,0.847,NA,NA,NA,NA
2441,8.45702,7.90058,7.40164,NA,NA,0.811,NA,NA,NA,NA
2655,8.22019,7.63942,8.34942,NA,0.846,NA,NA,NA,NA,NA
2911,7.6313,7.87474,8.30523,NA,0.919,NA,NA,NA,NA,NA
3136,8.0138,7.71542,7.91937,0.959,NA,NA,NA,NA,NA,NA
3276,8.20693,8.04391,8.36687,0.825,NA,NA,NA,NA,NA,NA
3549,7.81821,7.59254,7.83134,0.982,NA,NA,NA,NA,NA,NA
3650,8.45187,8.01083,7.46257,NA,NA,NA,0.721,NA,NA,NA
3869,8.45955,7.60152,8.03467,NA,NA,NA,NA,0.669,NA,NA
4187,7.82201,8.40599,7.01597,NA,NA,NA,0.733,NA,NA,NA
4394,7.61008,7.99288,7.89676,NA,0.973,NA,NA,NA,NA,NA
4474,7.6036,8.17639,7.56768,0.945,NA,NA,NA,NA,NA,NA
4757,7.34245,7.49146,7.97249,0.941,NA,NA,NA,NA,NA,NA
4990,7.82475,7.71716,7.79793,NA,0.987,NA,NA,NA,NA,NA
5183,7.14437,7.48804,7.72394,NA,0.921,NA,NA,NA,NA,NA
5355,7.75747,8.46494,7.7496,NA,NA,NA,0.78,NA,NA,NA
5510,7.73214,7.97917,7.81677,0.977,NA,NA,NA,NA,NA,NA
5778,7.65924,7.80797,8.32647,0.902,NA,NA,NA,NA,NA,NA
5848,8.27447,7.45627,7.97317,0.91,NA,NA,NA,NA,NA,NA
6070,7.43972,8.32322,8.17548,NA,0.871,NA,NA,NA,NA,NA
6219,7.38753,8.14168,7.99966,NA,NA,0.818,NA,NA,NA,NA
6509,7.90383,8.19891,7.87889,0.931,NA,NA,NA,NA,NA,NA
6772,8.12414,7.70963,7.08857,0.877,NA,NA,NA,NA,NA,NA
6970,6.84381,7.87405,7.20181,0.756,NA,NA,NA,NA,NA,NA
7185,8.19829,7.21893,8.46778,NA,0.797,NA,NA,NA,NA,NA
7241,7.38528,7.66248,7.92106,NA,NA,0.811,NA,NA,NA,NA
7409,8.00101,7.73265,6.81931,0.817,NA,NA,NA,NA,NA,NA
7755,8.28483,7.60378,7.70847,NA,NA,0.773,NA,NA,NA,NA
7841,7.2931,7.34388,8.44413,0.796,NA,NA,NA,NA,NA,NA
8178,7.69499,7.12299,7.98766,NA,NA,0.85,NA,NA,NA,NA
8331,7.33717,7.16775,7.91435,0.845,NA,NA,NA,NA,NA,NA
8402,7.17436,7.88238,7.11511,NA,NA,NA,NA,NA,0.633,NA
8698,7.97556,7.64368,8.19098,NA,NA,NA,0.759,NA,NA,NA
8888,7.50724,7.18763,8.26846,NA,NA,NA,0.774,NA,NA,NA
9064,8.37997,7.51611,7.77639,NA,NA,0.818,NA,NA,NA,NA
9301,7.50397,7.78505,8.60216,0.816,NA,NA,NA,NA,NA,NA
9535,7.58892,7.93859,6.68848,0.749,NA,NA,NA,NA,NA,NA
9708,8.48566,7.63606,7.83374,NA,0.881,NA,NA,NA,NA,NA
9916,8.25292,7.41156,7.64081,0.905,NA,NA,NA,NA,NA,NA
10111,7.42254,7.75738,7.81636,NA,0.98,NA,NA,NA,NA,NA
10201,7.76898,7.3472,8.08448,NA,0.92,NA,NA,NA,NA,NA
10402,8.05972,7.96719,7.47569,NA,0.944,NA,NA,NA,NA,NA
10605,7.4201,8.40462,7.6309,NA,0.874,NA,NA,NA,NA,NA
10945,7.26093,8.07506,7.69858,0.922,NA,NA,NA,NA,NA,NA
11138,7.69193,7.28538,7.05111,0.866,NA,NA,NA,NA,NA,NA
11225,7.30966,7.85208,8.30375,0.891,NA,NA,NA,NA,NA,NA
11502,8.14625,8.04045,8.18745,NA,0.865,NA,NA,NA,NA,NA
11780,7.70161,7.84349,7.76736,0.992,NA,NA,NA,NA,NA,NA
11876,7.81842,8.1718,7.4877,NA,0.927,NA,NA,NA,NA,NA
12135,7.56061,8.47585,7.63158,NA,NA,NA,0.755,NA,NA,NA
12265,7.64429,7.87292,8.15484,0.954,NA,NA,NA,NA,NA,NA
12453,7.88635,7.24148,7.42929,0.927,NA,NA,NA,NA,NA,NA
12709,8.36766,8.11231,7.78531,NA,NA,NA,0.833,NA,NA,NA
12929,8.00968,6.99456,7.12359,0.795,NA,NA,NA,NA,NA,NA
13132,7.25,7.69386,7.44758,NA,NA,NA,0.894,NA,NA,NA
13370,7.2942,7.41375,7.40677,NA,NA,NA,NA,0.727,NA,NA
13536,8.27173,7.83119,7.44326,NA,0.903,NA,NA,NA,NA,NA
13764,7.69257,6.85965,8.05406,0.824,NA,NA,NA,NA,NA,NA
13813,8.17405,7.64606,8.34888,NA,0.876,NA,NA,NA,NA,NA
14047,8.2089,7.82618,8.51662,NA,NA,NA,NA,NA,0.645,NA
14387,7.55206,7.76762,8.38338,NA,0.89,NA,NA,NA,NA,NA
14434,8.08587,7.92014,7.31268,NA,0.921,NA,NA,NA,NA,NA
14637,7.41711,7.70664,8.02373,NA,0.935,NA,NA,NA,NA,NA
14986,7.51868,7.11745,7.76927,NA,0.888,NA,NA,NA,NA,NA
15099,8.09648,7.07274,8.37718,NA,NA,0.729,NA,NA,NA,NA
15313,7.63422,8.13573,7.94847,NA,0.927,NA,NA,NA,NA,NA
15548,8.08721,7.96193,7.9396,NA,0.947,NA,NA,NA,NA,NA
15638,7.57261,7.81957,7.43228,0.972,NA,NA,NA,NA,NA,NA
15882,7.3088,8.11074,7.15257,0.836,NA,NA,NA,NA,NA,NA
16196,7.24551,7.26789,7.5812,0.879,NA,NA,NA,NA,NA,NA
16309,7.42824,7.67388,7.60927,NA,0.98,NA,NA,NA,NA,NA
16403,7.30254,7.67619,8.78215,NA,0.75,NA,NA,NA,NA,NA
16653,7.25739,8.01059,7.54544,NA,0.932,NA,NA,NA,NA,NA
16818,8.28998,7.56722,7.52651,0.89,NA,NA,NA,NA,NA,NA
17028,7.75983,7.27293,8.1001,0.928,NA,NA,NA,NA,NA,NA
17210,7.2398,7.51553,7.2834,NA,0.891,NA,NA,NA,NA,NA
17497,6.87778,8.33995,7.95851,NA,NA,0.638,NA,NA,NA,NA
17780,7.16788,7.68822,8.30294,0.869,NA,NA,NA,NA,NA,NA
17968,7.43259,6.80131,8.18147,NA,NA,NA,0.708,NA,NA,NA
18141,8.39752,7.21317,7.31683,NA,0.808,NA,NA,NA,NA,NA
18280,7.60184,7.30916,8.00796,0.91,NA,NA,NA,NA,NA,NA
18459,8.14233,7.71465,7.497,0.952,NA,NA,NA,NA,NA,NA
18632,7.26299,7.78766,7.62794,0.907,NA,NA,NA,NA,NA,NA
18970,7.81602,7.26376,7.74567,NA,NA,0.866,NA,NA,NA,NA
19093,6.87209,7.99332,8.10831,NA,0.805,NA,NA,NA,NA,NA
19325,7.42117,6.94745,7.75048,NA,NA,NA,NA,NA,0.619,NA
19588,7.73021,7.14026,8.72301,NA,NA,0.678,NA,NA,NA,NA
19649,8.28823,7.16916,7.58044,0.838,NA,NA,NA,NA,NA,NA
19999,7.64838,7.07,7.77127,NA,0.871,NA,NA,NA,NA,NA
20178,8.47098,7.77885,7.22908,0.837,NA,NA,NA,NA,NA,NA
20208,7.35669,7.8248,7.91546,0.957,NA,NA,NA,NA,NA,NA
20463,7.84735,7.21672,7.29888,NA,0.908,NA,NA,NA,NA,NA
20710,7.72256,6.90405,7.86582,NA,0.835,NA,NA,NA,NA,NA
20974,8.35635,7.17347,8.32665,0.748,NA,NA,NA,NA,NA,NA
21041,6.96947,7.43862,7.36684,0.806,NA,NA,NA,NA,NA,NA
21266,7.19054,7.92054,7.39107,NA,NA,NA,0.859,NA,NA,NA
21452,7.58864,7.80747,7.55409,NA,NA,NA,0.928,NA,NA,NA
21707,7.85997,7.88876,7.93607,NA,NA,0.895,NA,NA,NA,NA
21834,8.03604,7.4501,7.20881,NA,NA,0.844,NA,NA,NA,NA
22075,8.37797,7.3544,8.09045,0.836,NA,NA,NA,NA,NA,NA
22269,7.91077,7.04935,8.62265,0.755,NA,NA,NA,NA,NA,NA
22470,6.93654,8.1077,7.94698,0.788,NA,NA,NA,NA,NA,NA
22634,7.62297,7.31457,8.02498,NA,0.932,NA,NA,NA,NA,NA
22940,7.95366,7.61401,8.26878,0.924,NA,NA,NA,NA,NA,NA
23129,8.61794,7.91002,7.77569,NA,0.85,NA,NA,NA,NA,NA
23239,7.80777,7.54006,7.95407,NA,0.969,NA,NA,NA,NA,NA
23544,8.04902,7.42326,7.36056,NA,0.934,NA,NA,NA,NA,NA
23635,6.89613,8.08917,7.80895,0.828,NA,NA,NA,NA,NA,NA
23864,7.84629,7.30264,7.09115,0.878,NA,NA,NA,NA,NA,NA
24033,7.85781,8.23364,8.10654,NA,0.906,NA,NA,NA,NA,NA
24313,8.10911,8.46812,7.33615,NA,NA,NA,0.77,NA,NA,NA
24556,7.06543,8.48559,7.72432,NA,0.804,NA,NA,NA,NA,NA
24681,7.21432,7.28126,7.10272,0.823,NA,NA,NA,NA,NA,NA
24965,7.74051,7.97337,7.38197,NA,NA,NA,NA,NA,0.68,NA
25173,7.64522,7.95161,7.67985,0.961,NA,NA,NA,NA,NA,NA
25282,7.77622,8.05511,8.06455,NA,NA,NA,0.838,NA,NA,NA
25405,7.83719,7.16213,7.52834,NA,0.895,NA,NA,NA,NA,NA
25687,6.90335,8.06257,6.61038,NA,0.597,NA,NA,NA,NA,NA
25833,7.9783,7.30674,7.77099,0.935,NA,NA,NA,NA,NA,NA
26142,8.40711,7.28368,8.12777,NA,0.828,NA,NA,NA,NA,NA
26204,8.00781,8.60179,7.49865,0.833,NA,NA,NA,NA,NA,NA
26559,7.34326,8.30119,8.21735,0.854,NA,NA,NA,NA,NA,NA
26733,7.16232,7.36662,7.7692,NA,0.869,NA,NA,NA,NA,NA
26937,7.20198,7.36646,7.52413,0.883,NA,NA,NA,NA,NA,NA
27127,7.70546,7.45244,8.38564,0.891,NA,NA,NA,NA,NA,NA
27384,7.80681,7.1977,7.60042,0.923,NA,NA,NA,NA,NA,NA
27408,7.82038,7.72275,8.47961,NA,NA,0.808,NA,NA,NA,NA
27690,8.40065,7.35301,7.71547,NA,0.885,NA,NA,NA,NA,NA
27975,6.89778,7.74347,7.52663,NA,0.851,NA,NA,NA,NA,NA
28199,7.24328,7.30125,7.43166,0.856,NA,NA,NA,NA,NA,NA
28278,7.25596,7.64392,6.79667,NA,0.78,NA,NA,NA,NA,NA
28576,7.03618,7.61237,8.05849,NA,NA,0.813,NA,NA,NA,NA
28651,7.09457,7.48233,7.65273,NA,NA,0.806,NA,NA,NA,NA
28853,7.1275,7.87064,7.07987,0.832,NA,NA,NA,NA,NA,NA
29144,8.16176,8.06519,6.79942,NA,NA,NA,0.69,NA,NA,NA
29228,8.50308,8.18187,6.86566,NA,0.695,NA,NA,NA,NA,NA
29439,8.36043,7.10561,7.21108,NA,NA,NA,0.696,NA,NA,NA
29783,7.54163,7.39045,8.11361,0.908,NA,NA,NA,NA,NA,NA
29902,7.63262,7.45031,7.86849,0.976,NA,NA,NA,NA,NA,NA
30016,7.95913,6.87039,8.51651,0.718,NA,NA,NA,NA,NA,NA
30280,8.04594,7.50604,8.00495,NA,0.941,NA,NA,NA,NA,NA
30434,7.37216,7.4771,7.6716,NA,NA,NA,0.895,NA,NA,NA
30729,7.23789,7.43459,7.75448,NA,NA,NA,0.864,NA,NA,NA
30986,8.2256,7.54202,7.36426,NA,0.915,NA,NA,NA,NA,NA
31015,8.09878,8.03862,7.02591,0.815,NA,NA,NA,NA,NA,NA
31397,8.2248,8.0524,6.93228,0.761,NA,NA,NA,NA,NA,NA
31505,8.56691,8.0944,6.93201,NA,0.693,NA,NA,NA,NA,NA
31735,8.39306,8.29995,7.24815,NA,0.765,NA,NA,NA,NA,NA
31895,7.15623,8.24336,8.33347,NA,NA,0.666,NA,NA,NA,NA
32089,7.83255,7.78825,8.17225,NA,0.952,NA,NA,NA,NA,NA
32204,7.89962,8.44441,8.20278,NA,NA,NA,0.793,NA,NA,NA
32564,7.92909,7.12091,8.09331,NA,0.871,NA,NA,NA,NA,NA
32686,8.11292,6.78728,7.68185,0.759,NA,NA,NA,NA,NA,NA
32948,7.62062,7.19183,7.38456,NA,NA,0.845,NA,NA,NA,NA
33151,8.33114,7.94679,7.28356,0.874,NA,NA,NA,NA,NA,NA
33371,8.24027,7.67644,8.34503,NA,NA,NA,0.797,NA,NA,NA
33559,8.02663,8.26106,7.35325,0.89,NA,NA,NA,NA,NA,NA
33660,7.19995,8.18533,7.41195,NA,NA,NA,0.778,NA,NA,NA
33804,8.40607,8.05494,7.20361,NA,NA,0.723,NA,NA,NA,NA
34131,7.83196,8.43592,8.50743,NA,NA,0.729,NA,NA,NA,NA
34233,7.87944,7.93328,8.08546,NA,NA,0.857,NA,NA,NA,NA
34413,8.27536,7.17313,8.78742,0.636,NA,NA,NA,NA,NA,NA
34648,8.34534,7.02697,8.00317,NA,NA,0.649,NA,NA,NA,NA
34837,8.03011,7.56713,7.81433,NA,0.959,NA,NA,NA,NA,NA
35087,7.71679,7.51096,8.42423,NA,0.899,NA,NA,NA,NA,NA
35224,7.79461,7.4621,8.22271,NA,0.934,NA,NA,NA,NA,NA
35595,7.66293,7.18949,7.47467,NA,NA,NA,0.882,NA,NA,NA
35721,7.72493,7.83408,8.38659,NA,0.912,NA,NA,NA,NA,NA
35935,8.10334,7.61657,7.45934,NA,NA,NA,0.902,NA,NA,NA
36155,8.36443,7.60391,7.89276,NA,NA,NA,0.846,NA,NA,NA
36272,7.67219,7.5907,7.75012,NA,NA,NA,0.891,NA,NA,NA
36505,8.05069,7.98601,8.79124,0.749,NA,NA,NA,NA,NA,NA
36617,7.14747,8.37391,7.73251,0.845,NA,NA,NA,NA,NA,NA
36925,7.07942,8.02759,7.30852,NA,0.86,NA,NA,NA,NA,NA
37092,7.19398,8.30584,7.77911,0.86,NA,NA,NA,NA,NA,NA
37272,8.45204,7.51138,7.97834,0.874,NA,NA,NA,NA,NA,NA
37531,8.32954,7.99176,7.65166,NA,0.904,NA,NA,NA,NA,NA
37746,7.69317,7.30458,8.41014,0.837,NA,NA,NA,NA,NA,NA
37879,7.79782,7.35077,8.34386,0.895,NA,NA,NA,NA,NA,NA
38127,7.86171,7.18689,6.99132,0.801,NA,NA,NA,NA,NA,NA
38333,8.19949,7.55301,7.68753,NA,NA,0.873,NA,NA,NA,NA
38550,7.36144,7.78781,8.01713,NA,NA,0.861,NA,NA,NA,NA
38788,8.42893,7.46289,8.15159,0.85,NA,NA,NA,NA,NA,NA
38888,7.62019,7.36362,7.87496,NA,NA,NA,0.881,NA,NA,NA
39117,7.77892,8.51211,7.87801,NA,0.862,NA,NA,NA,NA,NA
39306,7.67318,7.50164,7.1498,0.922,NA,NA,NA,NA,NA,NA
39428,8.40534,7.94051,7.50353,NA,0.891,NA,NA,NA,NA,NA
39717,8.89599,7.74473,7.33039,NA,NA,NA,0.692,NA,NA,NA
39981,8.68241,7.75394,7.62898,NA,0.84,NA,NA,NA,NA,NA
40023,7.49083,8.05733,7.58589,NA,0.956,NA,NA,NA,NA,NA
40400,7.83103,7.9876,7.53942,NA,NA,0.849,NA,NA,NA,NA
40485,7.07538,8.07577,7.09559,NA,NA,0.732,NA,NA,NA,NA
40780,7.89881,7.20857,7.15265,0.87,NA,NA,NA,NA,NA,NA
40851,8.06002,7.59913,8.70627,0.77,NA,NA,NA,NA,NA,NA
41143,8.53403,8.21035,8.03976,0.79,NA,NA,NA,NA,NA,NA
41360,7.46959,7.89786,8.14902,0.915,NA,NA,NA,NA,NA,NA
41488,7.88043,7.8799,8.87298,0.749,NA,NA,NA,NA,NA,NA
41654,7.83038,8.11812,8.36751,0.852,NA,NA,NA,NA,NA,NA
41846,7.99276,7.03938,7.36844,NA,0.823,NA,NA,NA,NA,NA
42034,7.49248,7.61534,8.05382,0.955,NA,NA,NA,NA,NA,NA
42359,8.10253,7.43828,7.83086,NA,NA,0.864,NA,NA,NA,NA
42429,8.08384,7.33363,7.76048,NA,NA,0.88,NA,NA,NA,NA
42739,7.48213,7.99889,8.2482,NA,0.916,NA,NA,NA,NA,NA
42869,7.71103,7.24423,8.46809,NA,NA,NA,0.776,NA,NA,NA
43029,7.4626,8.06483,7.45036,NA,NA,NA,NA,0.684,NA,NA
43242,7.22309,8.02202,7.68379,NA,NA,NA,0.849,NA,NA,NA
43559,8.4432,7.63663,8.45826,NA,NA,NA,0.756,NA,NA,NA
43796,7.69944,8.06112,8.06877,NA,0.949,NA,NA,NA,NA,NA
43869,8.32247,8.04888,8.00934,NA,NA,0.798,NA,NA,NA,NA
44167,7.86109,6.96615,7.07379,0.779,NA,NA,NA,NA,NA,NA
44280,7.55355,7.88921,7.35269,0.961,NA,NA,NA,NA,NA,NA
44542,7.50895,7.44282,7.17787,0.913,NA,NA,NA,NA,NA,NA
44725,7.3495,7.95367,7.91909,0.937,NA,NA,NA,NA,NA,NA
44805,7.90935,7.50298,8.2266,0.919,NA,NA,NA,NA,NA,NA
45061,6.93992,7.69315,7.4154,0.856,NA,NA,NA,NA,NA,NA
45306,7.43165,8.6799,7.75374,NA,NA,NA,0.774,NA,NA,NA
45434,8.58266,7.48309,7.78298,NA,NA,0.722,NA,NA,NA,NA
45616,8.58281,7.69825,7.51115,NA,NA,0.778,NA,NA,NA,NA
45947,8.38559,8.4194,7.81993,0.804,NA,NA,NA,NA,NA,NA
46100,7.54265,7.41662,7.86632,NA,0.944,NA,NA,NA,NA,NA
46327,7.47795,7.92184,8.61694,0.812,NA,NA,NA,NA,NA,NA
46471,7.88362,7.12391,8.30193,0.849,NA,NA,NA,NA,NA,NA
46621,8.33502,7.45912,7.50393,0.904,NA,NA,NA,NA,NA,NA
46838,7.81809,8.24549,7.87553,NA,NA,NA,0.891,NA,NA,NA
47123,7.45446,7.96285,7.34921,NA,0.917,NA,NA,NA,NA,NA
47304,7.41244,7.03857,7.61034,0.882,NA,NA,NA,NA,NA,NA
47520,7.45149,7.52245,7.77474,NA,0.976,NA,NA,NA,NA,NA
47705,8.13953,7.54662,7.50459,NA,0.945,NA,NA,NA,NA,NA
47883,8.30911,7.22623,7.79638,NA,NA,NA,0.833,NA,NA,NA
48188,8.07623,6.97135,7.81681,NA,0.85,NA,NA,NA,NA,NA
48250,7.53338,8.25888,8.31015,NA,NA,0.797,NA,NA,NA,NA
48591,7.36124,7.41469,8.30929,NA,0.887,NA,NA,NA,NA,NA
48783,7.32832,8.08481,6.94765,NA,0.818,NA,NA,NA,NA,NA
48857,7.97956,7.67977,7.86193,NA,0.978,NA,NA,NA,NA,NA
49103,8.37324,8.07479,6.91881,NA,NA,0.704,NA,NA,NA,NA
49277,8.02753,7.37592,7.40483,NA,0.903,NA,NA,NA,NA,NA
49473,8.73267,7.45787,8.03193,NA,0.794,NA,NA,NA,NA,NA
49680,7.59381,7.80469,7.09674,NA,0.903,NA,NA,NA,NA,NA
49806,7.21061,7.33478,8.06261,NA,NA,0.833,NA,NA,NA,NA
50058,7.64769,7.53357,8.05607,0.933,NA,NA,NA,NA,NA,NA
50351,7.7676,7.96616,7.3267,NA,NA,0.811,NA,NA,NA,NA
50412,7.9794,7.478,7.65519,NA,0.945,NA,NA,NA,NA,NA
50608,7.48873,8.08649,7.51822,0.946,NA,NA,NA,NA,NA,NA
50974,8.21341,7.81172,7.88451,NA,0.932,NA,NA,NA,NA,NA
51178,7.8517,8.21789,7.4759,NA,0.921,NA,NA,NA,NA,NA
51246,7.57734,8.00072,7.37978,0.936,NA,NA,NA,NA,NA,NA
51453,8.21958,7.89914,8.25595,0.87,NA,NA,NA,NA,NA,NA
51613,7.56795,8.41619,7.87165,NA,0.876,NA,NA,NA,NA,NA
51810,7.74229,7.41665,7.41603,NA,NA,NA,0.896,NA,NA,NA
52126,7.60707,7.21619,7.97213,0.892,NA,NA,NA,NA,NA,NA
52369,7.72441,7.78907,8.18296,0.942,NA,NA,NA,NA,NA,NA
52500,7.81567,7.54964,7.3016,NA,0.922,NA,NA,NA,NA,NA
52652,7.8366,6.64118,7.51052,NA,0.745,NA,NA,NA,NA,NA
52952,7.78357,7.36092,7.89043,0.947,NA,NA,NA,NA,NA,NA
53045,7.60169,7.4861,7.58394,NA,0.978,NA,NA,NA,NA,NA
53302,7.71961,7.66903,7.24649,NA,0.953,NA,NA,NA,NA,NA
53472,7.87204,7.55807,6.86742,NA,0.83,NA,NA,NA,NA,NA
