id,x0,x1,x2,fitness-4,fitness-2.5,fitness-3,fitness-1.5,fitness-3.5,fitness-1,fitness-2,fitness-4.5,fitness-5,fitness-0.5
144,0.399911,2.70725,-1.01545,-478.365,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,3.09102,1.85879,-2.90215,NA,-111.25,NA,NA,NA,NA,NA,NA,NA,NA
471,2.9823,2.129,-2.99209,NA,NA,-121.344,NA,NA,NA,NA,NA,NA,NA
654,1.55227,2.6178,-4.70552,NA,NA,-36.46,NA,NA,NA,NA,NA,NA,NA
879,1.86542,1.91292,-5,NA,NA,NA,-39.966,NA,NA,NA,NA,NA,NA
1110,1.3889,1.31196,-4.48713,NA,-10.614,NA,NA,NA,NA,NA,NA,NA,NA
1201,1.35662,0.489187,-3.9834,NA,-84.675,NA,NA,NA,NA,NA,NA,NA,NA
1425,2.09353,0.710125,-4.44217,NA,-45.306,NA,NA,NA,NA,NA,NA,NA,NA
1673,2.75692,1.45544,-3.31897,NA,NA,-61.719,NA,NA,NA,NA,NA,NA,NA
1975,1.51109,2.01854,-2.99448,NA,NA,NA,NA,-71.662,NA,NA,NA,NA,NA
2186,1.42599,2.44594,-3.90129,NA,-25.431,NA,NA,NA,NA,NA,NA,NA,NA
2310,2.0334,3.20333,-4.46314,NA,-56.035,NA,NA,NA,NA,NA,NA,NA,NA
2404,1.36274,3.2766,-4.2084,NA,-63.739,NA,NA,NA,NA,NA,NA,NA,NA
2669,3.30454,1.64752,-5,NA,-63.222,NA,NA,NA,NA,NA,NA,NA,NA
2888,2.04312,2.29119,-5,NA,-24.853,NA,NA,NA,NA,NA,NA,NA,NA
3046,2.30552,2.48598,-5,NA,NA,-36.07,NA,NA,NA,NA,NA,NA,NA
3375,2.30468,1.36179,-4.80423,NA,-19.092,NA,NA,NA,NA,NA,NA,NA,NA
3529,2.08805,1.43304,-5,NA,NA,-24.509,NA,NA,NA,NA,NA,NA,NA
3637,2.04681,1.66991,-5,NA,-16.207,NA,NA,NA,NA,NA,NA,NA,NA
3954,1.53425,2.03044,-5,NA,-18.602,NA,NA,NA,NA,NA,NA,NA,NA
