id,x0,x1,x2,fitness-4.5,fitness-2,fitness-2.5,fitness-3.5,fitness-1.5,fitness-3,fitness-4,fitness-1,fitness-0.5,fitness0
60,3.45719,1.87843,-4.86865,-134.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,2.65761,2.49232,-5,NA,-45.832,NA,NA,NA,NA,NA,NA,NA,NA
425,1.50203,1.70861,-3.83808,NA,-18.933,NA,NA,NA,NA,NA,NA,NA,NA
601,2.42852,1.68488,-4.79363,NA,-25.378,NA,NA,NA,NA,NA,NA,NA,NA
983,1.89497,1.78099,-5,NA,NA,-14.794,NA,NA,NA,NA,NA,NA,NA
1185,1.94014,1.65539,-5,NA,-21.458,NA,NA,NA,NA,NA,NA,NA,NA
1291,2.22006,2.4674,-4.04254,NA,NA,-24.78,NA,NA,NA,NA,NA,NA,NA
1557,1.19618,1.93628,-4.29332,NA,-15.361,NA,NA,NA,NA,NA,NA,NA,NA
1779,2.179,2.14745,-4.92755,NA,-22.774,NA,NA,NA,NA,NA,NA,NA,NA
1946,1.38135,1.19913,-5,NA,NA,-30.195,NA,NA,NA,NA,NA,NA,NA
2058,1.05616,2.26679,-3.69508,NA,NA,-36.241,NA,NA,NA,NA,NA,NA,NA
2332,2.04476,1.09957,-4.38699,NA,NA,-15.042,NA,NA,NA,NA,NA,NA,NA
2481,1.52454,1.87032,-4.11224,NA,NA,-5.349,NA,NA,NA,NA,NA,NA,NA
2621,2.17082,0.770857,-4.41346,NA,NA,NA,-50.48,NA,NA,NA,NA,NA,NA
2983,2.05511,1.02475,-4.53846,NA,NA,-18.731,NA,NA,NA,NA,NA,NA,NA
3195,1.40516,1.61147,-4.30242,NA,NA,-4.749,NA,NA,NA,NA,NA,NA,NA
3201,1.90528,2.02096,-4.76547,NA,NA,NA,NA,-30.659,NA,NA,NA,NA,NA
3478,1.83704,1.90156,-5,NA,NA,NA,NA,NA,-19.784,NA,NA,NA,NA
3619,2.75399,2.56652,-5,NA,NA,-51.485,NA,NA,NA,NA,NA,NA,NA
3982,2.05962,2.50031,-4.25157,NA,-32.117,NA,NA,NA,NA,NA,NA,NA,NA
4057,2.01676,2.19034,-4.44298,NA,NA,-12.058,NA,NA,NA,NA,NA,NA,NA
4369,2.07665,1.46881,-3.96904,NA,-10.096,NA,NA,NA,NA,NA,NA,NA,NA
4473,1.17188,2.04658,-3.88932,NA,-31.027,NA,NA,NA,NA,NA,NA,NA,NA
4617,1.51682,2.21059,-5,NA,NA,-22.212,NA,NA,NA,NA,NA,NA,NA
4964,1.70657,1.86684,-4.06379,NA,NA,-5.695,NA,NA,NA,NA,NA,NA,NA
5130,2.1402,1.19802,-4.09424,NA,NA,NA,NA,NA,-24.804,NA,NA,NA,NA
5232,1.33852,0.805594,-4.22273,NA,NA,-44.646,NA,NA,NA,NA,NA,NA,NA
5516,1.44102,1.52424,-4.97284,NA,-25.907,NA,NA,NA,NA,NA,NA,NA,NA
5675,1.34949,1.8797,-4.17138,NA,-13.101,NA,NA,NA,NA,NA,NA,NA,NA
5830,1.49614,1.73647,-5,NA,-25.99,NA,NA,NA,NA,NA,NA,NA,NA
6200,2.30382,2.55227,-4.50906,NA,NA,-28.336,NA,NA,NA,NA,NA,NA,NA
6303,1.94932,2.40306,-5,NA,NA,NA,NA,-52.016,NA,NA,NA,NA,NA
6482,0.944725,1.57345,-4.68506,NA,-34.745,NA,NA,NA,NA,NA,NA,NA,NA
6743,1.45718,2.07521,-3.93139,NA,NA,-14.996,NA,NA,NA,NA,NA,NA,NA
6971,1.61328,1.73374,-5,NA,NA,-15.474,NA,NA,NA,NA,NA,NA,NA
7136,2.11762,2.01408,-4.01951,NA,NA,-11.509,NA,NA,NA,NA,NA,NA,NA
7294,2.36007,2.20878,-4.74979,NA,NA,-21.615,NA,NA,NA,NA,NA,NA,NA
7547,1.89015,2.46638,-5,NA,NA,NA,NA,NA,-33.841,NA,NA,NA,NA
7728,1.54288,1.82632,-4.62984,NA,-13.879,NA,NA,NA,NA,NA,NA,NA,NA
7990,1.94213,1.3459,-3.53272,NA,-36.155,NA,NA,NA,NA,NA,NA,NA,NA
8071,2.03507,1.59109,-4.90021,NA,-22.174,NA,NA,NA,NA,NA,NA,NA,NA
