id,x0,x1,x2,fitness-1,fitness-2.5,fitness-1.5,fitness-3.5,fitness-3,fitness-2,fitness-0.5,fitness-4,fitness-5,fitness-4.5,fitness0,fitness0.5
105,-2.3636,4.71815,4.34882,-102.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,-1.66482,4.9042,4.18195,NA,-29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510,-0.977408,5,4.8497,NA,NA,-81.226,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,-1.72572,3.933,5,-114.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
830,-0.956849,4.06088,5,-138.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1122,-2.86541,3.10733,5,-189.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1356,-3.10074,2.47126,5,NA,NA,NA,-226.746,NA,NA,NA,NA,NA,NA,NA,NA
1546,-2.48054,3.41409,3.4096,NA,NA,NA,NA,-65.77,NA,NA,NA,NA,NA,NA,NA
1657,-1.99265,3.62645,2.85352,NA,-38.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,-1.33708,4.24949,2.05861,NA,NA,NA,NA,NA,-72.1,NA,NA,NA,NA,NA,NA
2118,-0.67977,4.68898,1.89049,NA,NA,-148.715,NA,NA,NA,NA,NA,NA,NA,NA,NA
2278,-1.0754,4.6204,2.75354,NA,NA,NA,NA,NA,NA,-149.554,NA,NA,NA,NA,NA
2468,-1.45575,4.91275,1.50817,NA,NA,NA,NA,NA,-108.495,NA,NA,NA,NA,NA,NA
2638,-1.22822,5,1.9974,NA,-71.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2817,-1.6253,4.69396,2.81168,NA,-15.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3140,-2.37935,4.71798,3.91407,NA,NA,-58.557,NA,NA,NA,NA,NA,NA,NA,NA,NA
3294,-2.10612,5,4.0998,NA,-34.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3459,-1.76123,4.91872,4.89927,NA,NA,NA,NA,NA,-65.452,NA,NA,NA,NA,NA,NA
3707,-0.527901,5,5,-136.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3880,-0.435309,5,2.78976,-124.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4049,-3.31384,5,3.24569,NA,-79.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4350,-2.61909,5,3.80232,NA,NA,NA,NA,NA,-48.558,NA,NA,NA,NA,NA,NA
4489,-4.02848,4.46651,2.52808,NA,NA,NA,NA,NA,-167.904,NA,NA,NA,NA,NA,NA
4604,-4.12317,5,2.71135,NA,NA,NA,NA,NA,NA,NA,-221.365,NA,NA,NA,NA
4823,-3.4338,4.90821,3.61334,NA,NA,NA,NA,NA,-97.083,NA,NA,NA,NA,NA,NA
5024,-3.78009,4.60162,2.86905,NA,NA,NA,NA,-126.894,NA,NA,NA,NA,NA,NA,NA
