id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-4.5,fitness-5,fitness-4,fitness-3
177,-2.41472,3.0022,-4.7486,-119.364,NA,NA,NA,NA,NA
372,-1.22157,2.69521,-5,NA,-315.445,NA,NA,NA,NA
594,-1.2527,3.66295,-4.99968,-97.756,NA,NA,NA,NA,NA
716,-1.02085,4.37831,-4.1491,NA,NA,-82.133,NA,NA,NA
924,-1.33935,4.37643,-4.26247,NA,NA,NA,-59.908,NA,NA
1138,-2.24597,5,-4.96779,NA,NA,-79.846,NA,NA,NA
1302,-2.87625,3.4609,-5,NA,NA,NA,-72.162,NA,NA
1492,-2.8281,3.71879,-5,NA,NA,-66.726,NA,NA,NA
1606,-2.56243,3.79866,-5,NA,NA,NA,NA,-59.949,NA
1893,-1.78681,3.41705,-4.85522,NA,NA,NA,-35.589,NA,NA
2077,-2.48029,3.70838,-4.70607,NA,NA,-54.63,NA,NA,NA
2292,-2.64228,3.17013,-4.88647,NA,NA,NA,-82.188,NA,NA
2462,-1.91358,3.24195,-5,NA,NA,NA,NA,-43.936,NA
2782,-1.9313,3.18275,-4.28653,NA,NA,NA,-72.32,NA,NA
2889,-1.96566,2.89741,-5,NA,NA,NA,-62.909,NA,NA
3091,-2.67959,3.66396,-5,NA,NA,NA,-61.39,NA,NA
3304,-2.31154,3.64159,-5,NA,NA,NA,-59.714,NA,NA
3498,-2.4996,3.41648,-4.69203,NA,NA,NA,-69.943,NA,NA
3773,-1.9697,3.43384,-4.36872,NA,NA,NA,-42.833,NA,NA
3973,-1.7987,3.10669,-5,NA,NA,-46.476,NA,NA,NA
4025,-1.37915,3.9787,-4.84595,NA,NA,NA,NA,-38.27,NA
4254,-1.52935,4.09707,-4.59851,-64.666,NA,NA,NA,NA,NA
4502,-2.30351,4.07086,-5,-63.921,NA,NA,NA,NA,NA
4606,-2.01389,4.34387,-5,NA,NA,-34.731,NA,NA,NA
4915,-2.24029,3.81358,-4.05126,NA,NA,-69.853,NA,NA,NA
5150,-1.93623,3.6834,-4.83527,NA,NA,NA,-36.841,NA,NA
5287,-2.01854,3.55787,-5,NA,NA,NA,NA,-30.07,NA
5501,-1.78925,4.87029,-5,NA,NA,NA,-74.692,NA,NA
5699,-1.69389,3.54625,-5,NA,NA,NA,-40.199,NA,NA
5813,-1.76452,4.23631,-5,NA,NA,-38.893,NA,NA,NA
6002,-1.71604,5,-5,NA,NA,NA,-72.174,NA,NA
6271,-2.27806,5,-5,NA,NA,NA,-76.555,NA,NA
6474,-1.58112,3.99914,-5,NA,NA,NA,-45.533,NA,NA
6675,-2.30228,4.59765,-5,NA,NA,-52.41,NA,NA,NA
6810,-1.60734,4.43659,-5,NA,NA,NA,-54.229,NA,NA
7156,-2.25084,4.17318,-4.55349,NA,NA,NA,-56.141,NA,NA
7365,-1.82679,3.7874,-5,NA,NA,-14.197,NA,NA,NA
7422,-2.3244,4.05797,-5,NA,NA,NA,-53.448,NA,NA
7713,-2.41765,5,-5,NA,NA,NA,-80.793,NA,NA
7844,-2.13886,4.10914,-5,NA,NA,NA,-52.508,NA,NA
8148,-1.23349,4.17486,-5,NA,NA,-39.843,NA,NA,NA
8240,-1.52661,4.02031,-5,NA,NA,NA,-45.048,NA,NA
8519,-1.63363,3.83776,-4.9165,NA,NA,NA,-55.124,NA,NA
8763,-2.36319,4.48198,-5,NA,NA,NA,-63.258,NA,NA
8803,-1.28011,4.49626,-5,NA,NA,NA,-68.047,NA,NA
9138,-1.41025,3.57793,-5,NA,NA,-16.939,NA,NA,NA
9277,-1.3218,4.7611,-4.49945,NA,NA,-76.35,NA,NA,NA
9583,-1.08631,4.05408,-5,NA,NA,-47.384,NA,NA,NA
9686,-0.936704,3.64427,-4.62183,NA,NA,-65.911,NA,NA,NA
9951,-1.94596,3.52728,-5,NA,NA,NA,-38.821,NA,NA
10173,-2.47567,4.53512,-5,NA,NA,NA,-67.844,NA,NA
10277,-0.963152,4.19726,-5,NA,NA,NA,-66.169,NA,NA
10512,-2.12899,5,-4.26124,-102.014,NA,NA,NA,NA,NA
10689,-1.80664,3.92817,-4.42869,NA,NA,NA,-47.062,NA,NA
10981,-2.35733,3.40586,-5,NA,NA,NA,-49.37,NA,NA
11110,-2.67539,4.00324,-5,NA,NA,NA,-63.416,NA,NA
11251,-1.46226,4.00532,-5,NA,NA,NA,-42.727,NA,NA
11504,-1.81473,4.80459,-4.28419,NA,NA,NA,-73.209,NA,NA
11711,-2.00212,4.19726,-5,NA,NA,NA,-52.61,NA,NA
