id,x0,x1,x2,fitness-4,fitness-5,fitness-3.5,fitness-4.5,fitness-3,fitness-2,fitness-1.5,fitness-2.5,fitness-1
94,-3.68365,4.56829,-3.26032,-191.228,NA,NA,NA,NA,NA,NA,NA,NA
323,-5,4.83889,-4.64904,NA,-289.224,NA,NA,NA,NA,NA,NA,NA
580,-4.22581,5,-5,NA,-200.805,NA,NA,NA,NA,NA,NA,NA
763,-5,4.03189,-5,NA,-265.388,NA,NA,NA,NA,NA,NA,NA
944,-3.66162,4.04097,-5,NA,-120.984,NA,NA,NA,NA,NA,NA,NA
1113,-3.23838,4.75806,-5,NA,-104.302,NA,NA,NA,NA,NA,NA,NA
1231,-1.98964,4.94443,-5,NA,NA,-94.44,NA,NA,NA,NA,NA,NA
1490,-2.77968,4.45852,-5,NA,-76.11,NA,NA,NA,NA,NA,NA,NA
1651,-2.8986,4.17618,-4.88504,NA,-67.981,NA,NA,NA,NA,NA,NA,NA
1821,-2.22433,4.76123,-5,NA,-73.904,NA,NA,NA,NA,NA,NA,NA
2082,-2.1457,5,-5,NA,-75.788,NA,NA,NA,NA,NA,NA,NA
2306,-2.36127,4.47584,-4.01361,NA,-82.269,NA,NA,NA,NA,NA,NA,NA
2507,-2.16687,4.19816,-4.56158,NA,NA,NA,-47.822,NA,NA,NA,NA,NA
2742,-1.29209,4.35668,-3.6374,NA,NA,NA,-101.996,NA,NA,NA,NA,NA
2932,-2.09922,5,-3.18305,NA,-139.331,NA,NA,NA,NA,NA,NA,NA
3059,-1.50484,4.21018,-3.93345,NA,-93.678,NA,NA,NA,NA,NA,NA,NA
3343,-1.66127,3.84741,-4.78781,NA,-57.92,NA,NA,NA,NA,NA,NA,NA
3475,-2.18149,4.61815,-4.51306,NA,-63.874,NA,NA,NA,NA,NA,NA,NA
3765,-1.26401,5,-4.34004,NA,-93.645,NA,NA,NA,NA,NA,NA,NA
3839,-0.726202,3.69008,-3.92124,NA,-122.538,NA,NA,NA,NA,NA,NA,NA
4170,-1.44776,3.2804,-4.94761,NA,-79.638,NA,NA,NA,NA,NA,NA,NA
4223,-1.63639,3.39284,-3.86832,NA,NA,NA,NA,-259.035,NA,NA,NA,NA
4479,-2.16569,2.98728,-3.94122,NA,-107.101,NA,NA,NA,NA,NA,NA,NA
4677,-2.17659,3.22766,-3.87674,NA,-98.609,NA,NA,NA,NA,NA,NA,NA
4899,-3.50863,3.40753,-3.85962,NA,-128.99,NA,NA,NA,NA,NA,NA,NA
5149,-3.32953,2.37107,-4.66209,NA,-155.094,NA,NA,NA,NA,NA,NA,NA
5249,-3.19671,3.63252,-4.92619,NA,-88.436,NA,NA,NA,NA,NA,NA,NA
5589,-2.4524,5,-5,NA,-82.778,NA,NA,NA,NA,NA,NA,NA
5645,-3.56413,4.14411,-4.98469,NA,-111.33,NA,NA,NA,NA,NA,NA,NA
5972,-3.64994,4.26037,-5,NA,NA,NA,-118.529,NA,NA,NA,NA,NA
6113,-3.49413,4.77773,-4.03851,NA,NA,NA,-135.189,NA,NA,NA,NA,NA
6218,-2.60363,5,-3.96372,NA,-109.437,NA,NA,NA,NA,NA,NA,NA
6453,-1.9586,3.39788,-4.52748,NA,-52.85,NA,NA,NA,NA,NA,NA,NA
6713,-1.8505,4.82402,-4.39369,NA,-76.148,NA,NA,NA,NA,NA,NA,NA
6963,-2.40795,5,-4.51208,NA,NA,-104.942,NA,NA,NA,NA,NA,NA
7096,-2.68846,4.03434,-4.36605,NA,NA,NA,-68.438,NA,NA,NA,NA,NA
7251,-2.51278,3.53674,-4.11916,NA,NA,NA,-77.422,NA,NA,NA,NA,NA
7453,-1.38297,3.35613,-3.93146,NA,-117.546,NA,NA,NA,NA,NA,NA,NA
7669,-2.35628,4.60565,-3.24939,NA,NA,-129.125,NA,NA,NA,NA,NA,NA
7980,-4.01889,4.74151,-4.49866,-165.837,NA,NA,NA,NA,NA,NA,NA,NA
8071,-4.12249,5,-5,NA,-190.369,NA,NA,NA,NA,NA,NA,NA
8248,-3.52596,3.94689,-5,NA,-109.422,NA,NA,NA,NA,NA,NA,NA
8552,-2.80586,3.65205,-4.83858,-70.344,NA,NA,NA,NA,NA,NA,NA,NA
8786,-2.28463,4.39025,-4.93602,NA,NA,NA,-61.927,NA,NA,NA,NA,NA
8918,-2.36573,4.1395,-4.8237,NA,NA,-70.367,NA,NA,NA,NA,NA,NA
9033,-2.92186,3.82031,-5,NA,NA,-104.211,NA,NA,NA,NA,NA,NA
9251,-2.27323,3.39311,-5,NA,NA,NA,NA,NA,-228.821,NA,NA,NA
9457,-2.59211,3.44381,-5,-98.562,NA,NA,NA,NA,NA,NA,NA,NA
9671,-1.67663,4.4357,-5,NA,-49.319,NA,NA,NA,NA,NA,NA,NA
9826,-0.439673,5,-5,NA,-127.126,NA,NA,NA,NA,NA,NA,NA
10131,0.16994,4.68329,-4.81692,NA,-305.612,NA,NA,NA,NA,NA,NA,NA
10308,-1.92988,4.1713,-5,NA,NA,NA,-28.507,NA,NA,NA,NA,NA
10513,-3.29522,5,-4.61324,NA,-124.152,NA,NA,NA,NA,NA,NA,NA
10765,-2.19985,5,-5,NA,-74.812,NA,NA,NA,NA,NA,NA,NA
10844,-2.04195,5,-5,NA,-81.735,NA,NA,NA,NA,NA,NA,NA
11081,-2.66849,5,-5,-92.195,NA,NA,NA,NA,NA,NA,NA,NA
11320,-3.13189,5,-5,NA,-112.561,NA,NA,NA,NA,NA,NA,NA
11588,-2.06734,5,-4.59874,NA,-76.865,NA,NA,NA,NA,NA,NA,NA
11641,-1.37031,5,-5,NA,NA,NA,-74.266,NA,NA,NA,NA,NA
11825,-2.20041,3.87011,-5,NA,NA,NA,-35.582,NA,NA,NA,NA,NA
12136,-2.58522,5,-4.0852,NA,NA,NA,-99.923,NA,NA,NA,NA,NA
12307,-2.79902,3.61949,-3.69691,NA,NA,NA,NA,-187.388,NA,NA,NA,NA
12532,-3.46803,3.82523,-2.57807,NA,NA,-259.102,NA,NA,NA,NA,NA,NA
12617,-3.14784,4.13428,-2.66597,NA,NA,-246.357,NA,NA,NA,NA,NA,NA
12877,-3.50042,5,-3.39142,-182.525,NA,NA,NA,NA,NA,NA,NA,NA
13197,-2.8436,5,-3.45965,NA,NA,-161.911,NA,NA,NA,NA,NA,NA
13298,-1.79135,5,-3.76136,NA,NA,-138.372,NA,NA,NA,NA,NA,NA
13562,-2.45706,5,-3.81583,NA,NA,NA,-107.192,NA,NA,NA,NA,NA
13627,-1.29836,5,-5,NA,-93.424,NA,NA,NA,NA,NA,NA,NA
13802,-1.56848,4.91223,-5,NA,-76.975,NA,NA,NA,NA,NA,NA,NA
14063,-2.26935,3.46634,-4.7321,NA,-48.199,NA,NA,NA,NA,NA,NA,NA
14239,-2.96198,2.19871,-5,NA,-154.887,NA,NA,NA,NA,NA,NA,NA
14408,-3.40943,3.06291,-5,NA,-113.057,NA,NA,NA,NA,NA,NA,NA
14625,-3.38787,3.73283,-4.85599,NA,NA,NA,-100.517,NA,NA,NA,NA,NA
14978,-2.72945,4.0062,-5,NA,-66.336,NA,NA,NA,NA,NA,NA,NA
15037,-3.47611,2.18092,-5,NA,-170.771,NA,NA,NA,NA,NA,NA,NA
