id,x0,x1,x2,fitness-4,fitness-2,fitness-1,fitness-0.5,fitness0,fitness-2.5,fitness-3.5,fitness-3,fitness-1.5,fitness0.5,fitness2,fitness1.5,fitness3,fitness5,fitness4.5,fitness3.5,fitness1,fitness2.5,fitness-4.5,fitness-5,fitness4
144,0.399911,2.70725,-1.01545,111.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,1.45354,3.8047,-0.779945,279.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,1.52401,3.03656,-1.57761,NA,20.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704,0.450155,4.95711,-0.830429,NA,NA,6387.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
865,-0.538208,5,-1.79099,NA,NA,612.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1164,-0.0481006,5,-3.39042,NA,NA,1402.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1365,0.671349,5,-3.08189,NA,NA,NA,511.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1425,1.40826,5,-3.54065,NA,NA,NA,NA,212.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1606,2.41068,5,-3.99896,NA,NA,779.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,2.10464,5,-3.99863,NA,NA,NA,NA,NA,-27.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2062,4.49945,3.0327,-5,NA,NA,NA,NA,NA,-0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,5,4.69727,-5,NA,NA,NA,NA,NA,NA,656.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2424,4.23684,4.9643,-5,NA,NA,NA,NA,NA,NA,NA,356.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2694,2.93405,5,-5,NA,NA,NA,NA,NA,NA,NA,NA,343.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2845,3.05833,5,-4.88875,NA,NA,NA,NA,NA,-30.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3187,3.50834,4.51528,-3.47177,NA,NA,NA,NA,NA,NA,NA,-0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3221,4.26243,5,-2.78971,NA,NA,737.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3572,2.80855,5,-0.537792,NA,NA,NA,NA,901.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3783,3.22008,5,-0.142398,NA,NA,NA,NA,NA,NA,NA,NA,2549.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3892,4.29372,5,-0.3977,NA,NA,NA,NA,NA,NA,NA,NA,494.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
