id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3
126,-1.0308,4.96227,3.89517,1535.614,NA,NA,NA,NA
295,0.395291,4.788,5,NA,3977.086,NA,NA,NA
461,0.342064,5,5,NA,3457.848,NA,NA,NA
683,1.2972,5,5,NA,2605.925,NA,NA,NA
880,1.48488,5,5,NA,1290.314,NA,NA,NA
1102,0.21988,5,5,NA,2380.931,NA,NA,NA
1264,-0.62391,4.31687,4.7686,4004.102,NA,NA,NA,NA
1523,-0.106699,4.92784,5,5027.618,NA,NA,NA,NA
1800,-0.768323,5,5,NA,16409.611,NA,NA,NA
1816,-0.693942,5,5,NA,11381.599,NA,NA,NA
2010,-1.09095,5,4.96026,NA,2263.906,NA,NA,NA
2399,-1.41926,5,5,NA,NA,6725.584,NA,NA
2422,-0.23038,4.09479,5,NA,2431.467,NA,NA,NA
2785,-0.622697,5,5,NA,8650.806,NA,NA,NA
2809,-0.291031,4.7611,4.23325,NA,4805.366,NA,NA,NA
3060,-0.628975,4.93693,5,8559.96,NA,NA,NA,NA
3395,-1.04015,5,5,3852.936,NA,NA,NA,NA
3534,-0.599204,5,5,NA,8223.583,NA,NA,NA
3729,-0.800205,5,4.80624,18274.175,NA,NA,NA,NA
3934,-0.899201,4.86734,5,NA,19528.918,NA,NA,NA
4021,-1.99269,5,5,NA,5531.489,NA,NA,NA
4342,-0.685984,5,4.61765,NA,6209.968,NA,NA,NA
4508,-0.709655,5,5,NA,14484.043,NA,NA,NA
4743,-0.608658,4.75671,5,NA,9372.01,NA,NA,NA
4978,-1.56271,4.23883,5,NA,5657.601,NA,NA,NA
5025,-1.56993,4.38274,5,NA,5825.548,NA,NA,NA
5256,-0.747659,4.8422,5,NA,16791.353,NA,NA,NA
5427,-1.55412,5,5,NA,NA,5558.393,NA,NA
5697,-0.772954,5,5,NA,12942.929,NA,NA,NA
5853,-0.742436,5,4.85172,NA,16719.738,NA,NA,NA
6125,-1.03616,5,5,NA,5277.464,NA,NA,NA
6342,-0.895058,5,5,5705.694,NA,NA,NA,NA
6444,-0.554338,4.69686,5,NA,4973.922,NA,NA,NA
6771,-1.9919,5,5,NA,5529.055,NA,NA,NA
6927,-0.99639,5,5,NA,7484.796,NA,NA,NA
7021,-1.44899,5,5,4536.109,NA,NA,NA,NA
7300,-0.953146,5,4.34492,NA,NA,3455.009,NA,NA
7594,-0.88848,5,4.28246,NA,NA,4389,NA,NA
7689,-0.905366,5,5,NA,14908.998,NA,NA,NA
7831,-0.806134,5,5,NA,13052.782,NA,NA,NA
8036,-1.20413,4.35936,5,NA,2713.103,NA,NA,NA
8327,-0.982434,5,5,NA,8198.311,NA,NA,NA
8420,-2.13349,5,5,NA,4107.952,NA,NA,NA
8765,-0.931364,4.92977,5,NA,13043.831,NA,NA,NA
8989,-2.02442,5,4.98373,NA,5912.436,NA,NA,NA
9135,-0.959828,5,4.71348,NA,9428.198,NA,NA,NA
9244,-1.50576,4.91822,5,6903.414,NA,NA,NA,NA
9539,-0.608028,5,4.57535,NA,NA,887.124,NA,NA
9749,-0.226787,4.72268,5,3689.811,NA,NA,NA,NA
9966,-1.4672,4.76323,4.84967,NA,NA,NA,6717.23,NA
10198,-0.732241,5,4.71796,NA,NA,4700.982,NA,NA
10202,-0.875347,5,5,NA,NA,4524.917,NA,NA
10593,-0.857482,4.57735,5,NA,4299.593,NA,NA,NA
10758,-0.612043,3.85027,5,NA,2609.081,NA,NA,NA
10953,-0.793454,5,4.82118,NA,17106.437,NA,NA,NA
11169,-1.51516,5,4.72486,5129.072,NA,NA,NA,NA
11271,-1.05296,5,5,NA,5710.372,NA,NA,NA
11503,-1.50719,5,4.38937,NA,5147.465,NA,NA,NA
11705,-0.645436,4.1397,4.66069,NA,NA,1148.894,NA,NA
11833,-1.48068,4.9492,5,NA,NA,6870.884,NA,NA
12048,-0.859786,4.64379,4.64051,NA,5875.852,NA,NA,NA
12325,-0.663487,4.63752,5,NA,9068.643,NA,NA,NA
12510,-0.113015,5,4.42995,NA,2447.776,NA,NA,NA
12680,-0.680514,5,4.80426,NA,14083.391,NA,NA,NA
12835,-0.699655,5,5,NA,11551.341,NA,NA,NA
13072,-0.857167,5,4.55309,NA,2678.544,NA,NA,NA
13373,-0.623852,5,5,NA,8702.933,NA,NA,NA
13464,-0.80178,4.8529,5,6005.859,NA,NA,NA,NA
13715,0.397403,5,5,NA,4123.204,NA,NA,NA
13837,0.265918,4.8697,5,NA,4092.459,NA,NA,NA
14076,-0.755659,4.82079,3.85779,4456.383,NA,NA,NA,NA
14209,-0.884997,5,5,NA,11955.47,NA,NA,NA
14550,-0.977925,5,4.90273,NA,10943.643,NA,NA,NA
14624,-0.738386,5,5,NA,12475.817,NA,NA,NA
14870,-0.855411,5,5,NA,12588.703,NA,NA,NA
15086,-0.619761,5,5,NA,8517.324,NA,NA,NA
15324,-0.686391,5,4.8005,NA,14258.002,NA,NA,NA
15441,-0.780571,5,3.75866,NA,4809.491,NA,NA,NA
15635,-1.05738,4.86712,5,NA,6494.158,NA,NA,NA
15832,-0.223315,5,4.8013,NA,NA,6100.947,NA,NA
16161,-0.585436,5,5,NA,6864.449,NA,NA,NA
16367,-0.654004,5,5,NA,9979.95,NA,NA,NA
16532,0.235257,5,4.80333,NA,4519.691,NA,NA,NA
16757,-0.586739,5,5,NA,6929.931,NA,NA,NA
16903,-0.624383,5,4.64925,NA,6295.444,NA,NA,NA
17003,-0.791236,5,4.85722,NA,17390.072,NA,NA,NA
17266,-0.73265,4.92976,5,NA,20496.454,NA,NA,NA
17434,-0.663196,5,4.83974,NA,13718.62,NA,NA,NA
17719,-0.755771,4.78707,5,NA,15968.958,NA,NA,NA
17915,-0.664865,5,5,NA,12040.486,NA,NA,NA
18013,-0.867046,4.98577,5,NA,13138.314,NA,NA,NA
18251,-1.50313,4.83354,4.76999,8274.971,NA,NA,NA,NA
18541,-0.917321,5,4.90707,13981.952,NA,NA,NA,NA
18623,-0.740992,4.87234,5,NA,22142.547,NA,NA,NA
18910,-1.1835,4.78943,4.38292,NA,2340.213,NA,NA,NA
19068,-1.91653,5,4.86943,NA,6239.434,NA,NA,NA
19366,-2.14595,5,4.7843,NA,4780.787,NA,NA,NA
19589,-2.21355,4.61614,5,NA,1179.849,NA,NA,NA
19619,-0.699864,4.94535,5,NA,13930.09,NA,NA,NA
19875,-0.866736,4.79307,5,NA,15655.36,NA,NA,NA
20077,-0.657521,4.81419,4.74905,NA,15108.299,NA,NA,NA
20351,-0.797924,5,4.66625,NA,10516.588,NA,NA,NA
20411,-0.988508,5,5,NA,7892.2,NA,NA,NA
20608,0.224198,5,5,NA,2460.16,NA,NA,NA
20884,-0.752067,5,5,NA,12702.644,NA,NA,NA
21103,-2.19645,4.72153,5,NA,2727.078,NA,NA,NA
21356,-1.97712,4.99058,5,NA,5687.129,NA,NA,NA
21529,-0.856562,4.95633,5,NA,14723.312,NA,NA,NA
