id,x0,x1,x2,fitness-3.5,fitness-4.5,fitness-5,fitness-2.5,fitness-3,fitness-1,fitness-1.5,fitness-0.5,fitness-2,fitness-4,fitness0.5,fitness0,fitness1.5,fitness1,fitness3,fitness2.5,fitness2,fitness3.5,fitness4,fitness5,fitness4.5
47,-2.19131,-3.20467,-2.34721,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,-3.30845,-2.75606,-2.91851,NA,-0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,-3.3994,-1.08397,-1.51046,NA,NA,-184.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,-3.6167,0.246371,-1.00452,NA,12.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
944,-2.27832,0.255453,-1.3775,NA,NA,49.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,-1.85509,0.972542,-3.84435,NA,NA,42.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1323,-1.29086,1.89076,-3.49812,NA,NA,174.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1444,-0.549867,2.5314,-3.53125,NA,NA,15.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1693,0.577125,1.9242,-3.54369,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,0.767279,0.756393,-4.08145,NA,NA,-83.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2057,0.707294,0.0399314,-2.68145,NA,NA,38.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
