id,x0,x1,x2,fitness8.5,fitness8,fitness7.5,fitness7,fitness9,fitness6.5,fitness10,fitness9.5,fitness6,fitness5,fitness5.5,fitness10.5,fitness4.5,fitness4,fitness3.5
170,7.76768,5.33354,7.56049,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,8.9048,3.93592,7.02889,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,9.50856,3.9433,7.18412,NA,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,9.67375,4.36028,7.24493,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,9.08117,3.42905,7.1739,NA,NA,NA,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1175,8.29542,2.81219,8.09201,NA,NA,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1315,7.79552,4.73119,7.23122,NA,NA,NA,0.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,7.21179,4.67992,7.24025,NA,NA,NA,NA,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1612,8.01121,6.37434,6.84983,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,7.78776,7.15468,7.18635,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2070,7.39796,6.86304,7.49708,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2302,8.29538,7.71799,8.16059,NA,NA,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2404,7.62472,7.79125,8.41533,NA,NA,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2787,8.32951,7.78905,7.96378,NA,NA,NA,NA,NA,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA
2936,7.28524,7.39484,7.67163,NA,NA,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
