id,x0,x1,x2,fitness4,fitness4.5,fitness7,fitness7.5,fitness8,fitness9,fitness8.5,fitness6.5
66,7.45622,8.56864,7.19524,0.769,NA,NA,NA,NA,NA,NA,NA
206,8.12877,7.83738,6.82554,0.799,NA,NA,NA,NA,NA,NA,NA
435,7.90512,7.8892,7.43362,0.929,NA,NA,NA,NA,NA,NA,NA
778,7.49978,7.85927,7.23588,NA,0.792,NA,NA,NA,NA,NA,NA
842,8.16067,7.45137,8.44411,0.766,NA,NA,NA,NA,NA,NA,NA
1119,7.40822,7.60711,7.98678,NA,0.935,NA,NA,NA,NA,NA,NA
1320,7.76497,6.95879,7.65729,NA,NA,0.782,NA,NA,NA,NA,NA
1474,7.69491,8.51585,7.61785,NA,NA,NA,0.842,NA,NA,NA,NA
1685,7.16954,8.45341,7.12999,NA,NA,NA,NA,0.731,NA,NA,NA
1947,8.3377,7.96795,7.29866,NA,NA,0.793,NA,NA,NA,NA,NA
2069,7.68088,8.61155,8.61844,NA,NA,NA,0.72,NA,NA,NA,NA
2286,7.77716,8.35625,8.18088,NA,NA,NA,NA,0.843,NA,NA,NA
2479,7.38157,8.03474,8.96895,NA,NA,NA,0.709,NA,NA,NA,NA
2722,7.99693,7.93825,8.20023,NA,NA,NA,NA,NA,0.737,NA,NA
2893,8.18725,7.53015,7.64248,NA,NA,NA,NA,NA,0.761,NA,NA
3042,8.38531,7.82815,8.07879,NA,NA,NA,NA,0.845,NA,NA,NA
3319,8.21219,8.14734,7.80415,NA,NA,NA,0.91,NA,NA,NA,NA
3421,7.76434,8.00127,8.37716,NA,NA,0.733,NA,NA,NA,NA,NA
3618,7.82288,7.9761,7.94179,NA,NA,NA,0.962,NA,NA,NA,NA
3895,7.39407,7.65166,7.84592,NA,NA,NA,NA,0.938,NA,NA,NA
4067,7.55362,8.18225,8.09663,NA,NA,NA,NA,0.888,NA,NA,NA
4233,7.02474,7.81674,7.43639,NA,NA,NA,NA,0.872,NA,NA,NA
