id,x0,x1,x2,fitness-2.5,fitness-1,fitness-0.5,fitness-2,fitness-1.5,fitness-3,fitness0,fitness-4.5,fitness-5,fitness-3.5,fitness-4
72,-0.0338632,2.29793,-3.21947,-118.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,-0.805944,3.24349,-3.89916,NA,-289.876,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,0.212052,2.94535,-4.51429,NA,-130.666,NA,NA,NA,NA,NA,NA,NA,NA,NA
763,1.27892,2.90555,-5,NA,NA,-122.737,NA,NA,NA,NA,NA,NA,NA,NA
867,1.11547,2.19925,-4.86097,NA,NA,NA,-34.232,NA,NA,NA,NA,NA,NA,NA
1105,1.41687,2.37399,-4.62769,NA,NA,NA,-28.846,NA,NA,NA,NA,NA,NA,NA
1341,2.04424,2.47108,-4.67908,-23.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1438,1.05947,2.10293,-5,NA,-66.266,NA,NA,NA,NA,NA,NA,NA,NA,NA
1767,1.89439,1.70827,-4.34519,NA,NA,NA,NA,-17.71,NA,NA,NA,NA,NA,NA
1887,2.79335,2.30982,-4.1337,NA,NA,NA,NA,NA,-43.231,NA,NA,NA,NA,NA
2082,3.86966,2.61657,-4.02489,NA,NA,NA,-127.563,NA,NA,NA,NA,NA,NA,NA
2227,2.22932,2.34525,-4.68755,NA,-71.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2522,2.22921,2.58422,-5,NA,NA,NA,-40.223,NA,NA,NA,NA,NA,NA,NA
2714,2.60311,2.27262,-4.02655,-30.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2995,4.37982,1.31299,-5,NA,NA,NA,-155.218,NA,NA,NA,NA,NA,NA,NA
3044,3.28114,1.71166,-5,NA,NA,NA,NA,-78.702,NA,NA,NA,NA,NA,NA
3283,2.07174,1.71869,-5,NA,NA,-109.691,NA,NA,NA,NA,NA,NA,NA,NA
3453,1.46083,0.309935,-5,NA,-181.104,NA,NA,NA,NA,NA,NA,NA,NA,NA
3608,2.05982,1.29608,-4.42097,NA,NA,NA,NA,NA,NA,-140.246,NA,NA,NA,NA
3895,1.07261,1.53244,-3.75269,NA,NA,NA,NA,-73.954,NA,NA,NA,NA,NA,NA
4150,0.942409,0.861601,-3.82241,NA,NA,NA,-83.282,NA,NA,NA,NA,NA,NA,NA
4241,1.45144,0.567325,-3.49764,NA,NA,NA,NA,-123.929,NA,NA,NA,NA,NA,NA
4540,2.23492,1.63705,-5,NA,NA,NA,NA,-47.02,NA,NA,NA,NA,NA,NA
4723,2.29698,1.02977,-5,NA,NA,NA,NA,NA,-38.206,NA,NA,NA,NA,NA
4879,2.66647,1.06885,-5,NA,NA,NA,-55.698,NA,NA,NA,NA,NA,NA,NA
5167,2.26938,1.0604,-4.11153,NA,NA,NA,-35.875,NA,NA,NA,NA,NA,NA,NA
5282,2.30884,0.934023,-4.46084,NA,-106.883,NA,NA,NA,NA,NA,NA,NA,NA,NA
5469,0.704392,1.65396,-5,NA,NA,-149.892,NA,NA,NA,NA,NA,NA,NA,NA
5779,0.12349,1.82616,-5,-80.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6000,0.436033,1.37949,-4.68231,NA,NA,NA,NA,NA,NA,NA,-153.139,NA,NA,NA
6194,-0.149244,1.22249,-5,NA,NA,NA,NA,NA,NA,NA,NA,-219.802,NA,NA
6252,-0.142569,1.81648,-5,NA,NA,NA,NA,NA,NA,NA,-191.693,NA,NA,NA
6582,-0.609122,1.94833,-4.6084,NA,NA,NA,NA,NA,NA,NA,NA,-251.998,NA,NA
6724,0.501371,2.45426,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.341,NA
6980,0.848198,2.65709,-4.94861,-52.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7158,1.15925,1.73604,-4.96055,NA,NA,NA,NA,NA,-28.413,NA,NA,NA,NA,NA
7263,2.51437,1.21716,-5,NA,NA,NA,-37.936,NA,NA,NA,NA,NA,NA,NA
7581,3.85517,1.78632,-5,-103.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7655,2.31924,2.25309,-4.06965,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.811,NA
7812,2.43099,1.95388,-3.762,NA,NA,NA,NA,NA,NA,NA,-119.016,NA,NA,NA
8159,1.01776,1.60627,-5,NA,NA,NA,NA,NA,NA,NA,NA,-155.09,NA,NA
8230,1.59678,0.978142,-4.09657,NA,NA,NA,NA,NA,NA,NA,NA,-130.231,NA,NA
8503,1.33109,2.85973,-4.76109,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.353,NA
8632,2.33955,1.54412,-4.28924,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.39,NA
8814,2.51776,0.661212,-4.44957,NA,NA,NA,NA,NA,-62.258,NA,NA,NA,NA,NA
9023,1.64418,1.76563,-5,-15.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9312,1.00482,2.85844,-4.82531,NA,NA,NA,NA,NA,-55.305,NA,NA,NA,NA,NA
9415,1.99929,3.51703,-4.86949,NA,NA,NA,NA,NA,NA,NA,-154.052,NA,NA,NA
9628,2.59739,2.87935,-3.74448,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.874,NA
9853,1.88084,1.95271,-3.20333,NA,NA,NA,NA,NA,-44.058,NA,NA,NA,NA,NA
10031,1.29643,1.95131,-4.09864,NA,NA,NA,-15.313,NA,NA,NA,NA,NA,NA,NA
10201,1.06229,2.1652,-4.53947,-22.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10552,3.47202,3.48206,-4.4241,NA,NA,NA,-135.895,NA,NA,NA,NA,NA,NA,NA
10711,4.04098,3.0934,-4.80959,NA,NA,NA,NA,NA,-159.967,NA,NA,NA,NA,NA
10853,5,2.89452,-5,NA,NA,NA,NA,-273.096,NA,NA,NA,NA,NA,NA
11122,5,2.91348,-4.16235,NA,NA,NA,-257.891,NA,NA,NA,NA,NA,NA,NA
11255,4.44675,4.30116,-5,NA,NA,NA,-306.465,NA,NA,NA,NA,NA,NA,NA
11420,3.57049,4.1943,-5,NA,NA,NA,NA,NA,-214.146,NA,NA,NA,NA,NA
11747,1.5227,3.01096,-5,NA,NA,NA,NA,NA,-55.697,NA,NA,NA,NA,NA
11877,2.14242,3.15112,-5,NA,NA,NA,-72.167,NA,NA,NA,NA,NA,NA,NA
