id,x0,x1,x2,fitness-2.5,fitness-4,fitness-3,fitness-3.5,fitness-2,fitness-1.5,fitness-4.5,fitness-1,fitness-0.5,fitness-5
72,-0.0338632,2.29793,-3.21947,-118.249,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,0.450404,3.15769,-3.83864,NA,-139.317,NA,NA,NA,NA,NA,NA,NA,NA
534,0.702764,2.10143,-3.9555,NA,NA,-45.746,NA,NA,NA,NA,NA,NA,NA
798,1.78532,2.38466,-4.73402,NA,NA,NA,-45.128,NA,NA,NA,NA,NA,NA
994,2.18739,2.70011,-4.20168,-31.861,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,2.59002,2.31693,-4.16571,NA,NA,NA,-46.826,NA,NA,NA,NA,NA,NA
1348,2.10029,2.27639,-3.62209,NA,-67.217,NA,NA,NA,NA,NA,NA,NA,NA
1465,2.88182,2.04543,-3.87572,NA,NA,-43.002,NA,NA,NA,NA,NA,NA,NA
1707,2.82703,1.86076,-3.53346,NA,NA,NA,NA,-52.26,NA,NA,NA,NA,NA
1938,2.69294,2.03235,-3.52053,-44.647,NA,NA,NA,NA,NA,NA,NA,NA,NA
2099,2.51973,2.31982,-3.47714,-45.889,NA,NA,NA,NA,NA,NA,NA,NA,NA
2371,2.42649,1.51122,-4.75523,-19.186,NA,NA,NA,NA,NA,NA,NA,NA,NA
2524,2.84812,1.49425,-4.37318,NA,NA,NA,-51.692,NA,NA,NA,NA,NA,NA
2709,2.67761,2.46886,-3.42769,-59.958,NA,NA,NA,NA,NA,NA,NA,NA,NA
2849,2.97155,2.45561,-4.47286,NA,NA,NA,NA,-57.319,NA,NA,NA,NA,NA
3131,1.59916,1.6607,-5,NA,NA,NA,NA,NA,-45.724,NA,NA,NA,NA
3276,2.15922,2.12737,-4.30273,NA,NA,NA,NA,NA,-27.79,NA,NA,NA,NA
3595,1.94146,2.08738,-2.70362,NA,NA,NA,NA,NA,-104.375,NA,NA,NA,NA
3737,1.84794,1.32195,-2.75851,-75.251,NA,NA,NA,NA,NA,NA,NA,NA,NA
3944,2.96674,0.682873,-3.33345,NA,NA,NA,NA,-103.913,NA,NA,NA,NA,NA
4076,2.53226,0.877829,-5,-51.693,NA,NA,NA,NA,NA,NA,NA,NA,NA
4241,2.89317,1.43604,-4.73089,-37.366,NA,NA,NA,NA,NA,NA,NA,NA,NA
4456,3.12838,1.81711,-5,NA,NA,-55.496,NA,NA,NA,NA,NA,NA,NA
4681,2.29497,1.80081,-4.79024,-14.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
4929,1.73273,1.90265,-5,NA,NA,-21.156,NA,NA,NA,NA,NA,NA,NA
5184,2.89923,2.3636,-5,NA,-83.32,NA,NA,NA,NA,NA,NA,NA,NA
5245,2.45513,1.66129,-3.95252,-18.024,NA,NA,NA,NA,NA,NA,NA,NA,NA
5547,2.52179,2.02124,-4.41045,NA,NA,NA,NA,NA,NA,-103.087,NA,NA,NA
5773,1.80939,2.97485,-3.87947,NA,NA,NA,-75.844,NA,NA,NA,NA,NA,NA
5989,2.68041,1.97265,-5,-33.933,NA,NA,NA,NA,NA,NA,NA,NA,NA
6043,1.52224,2.81245,-5,NA,NA,NA,NA,NA,NA,NA,-99.509,NA,NA
6240,1.50997,2.09647,-5,NA,NA,-23.144,NA,NA,NA,NA,NA,NA,NA
6510,1.8271,2.59061,-3.95094,-26.558,NA,NA,NA,NA,NA,NA,NA,NA,NA
6759,1.71505,2.23528,-5,NA,NA,-22.858,NA,NA,NA,NA,NA,NA,NA
