id,x0,x1,x2,fitness-2.5,fitness-2,fitness-3,fitness-3.5,fitness-4,fitness-1.5
108,0.285693,0.0825198,-4.79454,-274.708,NA,NA,NA,NA,NA
245,1.45557,0.5227,-5,-90.501,NA,NA,NA,NA,NA
436,2.14845,2.03414,-5,-20.655,NA,NA,NA,NA,NA
628,1.8043,1.76214,-5,NA,-18.159,NA,NA,NA,NA
806,1.70248,1.79445,-5,NA,-27.884,NA,NA,NA,NA
1113,1.46817,1.60611,-5,NA,NA,-23.578,NA,NA,NA
1208,2.11854,1.43878,-4.8903,NA,NA,-24.181,NA,NA,NA
1504,2.76014,1.70669,-5,NA,NA,-41.419,NA,NA,NA
1790,1.74299,2.41358,-4.28461,NA,-22.298,NA,NA,NA,NA
1908,1.49261,2.6123,-4.68563,NA,-31.402,NA,NA,NA,NA
2170,1.29557,1.96765,-4.37554,NA,-14.194,NA,NA,NA,NA
2326,1.84505,1.78498,-4.23141,NA,NA,-13.619,NA,NA,NA
2516,2.47403,1.82124,-4.66158,NA,-21.025,NA,NA,NA,NA
2719,2.6269,2.43976,-5,-42.518,NA,NA,NA,NA,NA
2969,1.56046,1.74361,-4.7244,NA,NA,NA,-25.077,NA,NA
3130,1.78129,1.83565,-5,NA,NA,NA,NA,-50.02,NA
3313,2.23037,1.95739,-5,NA,NA,-25.414,NA,NA,NA
3523,1.95419,2.15924,-4.19321,-9.926,NA,NA,NA,NA,NA
3771,0.876429,1.62088,-5,NA,NA,-39.535,NA,NA,NA
3994,1.3101,2.48077,-4.39645,-23.919,NA,NA,NA,NA,NA
4177,1.96163,1.69729,-4.41024,NA,NA,-5.296,NA,NA,NA
4377,1.8466,1.8018,-3.62486,NA,NA,-23.218,NA,NA,NA
4457,1.94677,2.40487,-4.93306,-25.621,NA,NA,NA,NA,NA
4614,1.83548,1.14085,-5,NA,NA,-26.397,NA,NA,NA
4822,1.99884,1.64316,-5,-16.297,NA,NA,NA,NA,NA
5159,1.78393,2.01834,-5,NA,-22.215,NA,NA,NA,NA
5248,1.5303,2.04676,-5,NA,-24.441,NA,NA,NA,NA
5418,1.98932,2.19992,-3.58046,NA,-28.656,NA,NA,NA,NA
5675,2.30104,1.93586,-4.48329,-12.697,NA,NA,NA,NA,NA
5877,1.90106,1.61018,-4.55901,-3.038,NA,NA,NA,NA,NA
6177,2.43227,2.43529,-4.61084,NA,-31.619,NA,NA,NA,NA
6241,1.55197,1.72495,-3.71575,NA,NA,-22.302,NA,NA,NA
6596,1.12095,1.90755,-5,-27.415,NA,NA,NA,NA,NA
6688,2.40716,1.8674,-4.62751,-15.829,NA,NA,NA,NA,NA
6963,1.51907,1.60184,-4.64823,NA,-8.566,NA,NA,NA,NA
7021,1.78406,1.8487,-3.90289,NA,-10.69,NA,NA,NA,NA
7394,1.82243,1.69449,-4.17322,NA,NA,NA,-30.539,NA,NA
7431,2.91782,1.92384,-4.56038,-35.184,NA,NA,NA,NA,NA
7729,1.84549,2.47363,-4.67362,-21.397,NA,NA,NA,NA,NA
7930,1.28529,1.33398,-4.11051,NA,-17.378,NA,NA,NA,NA
8048,2.71697,1.68903,-4.07687,-26.686,NA,NA,NA,NA,NA
8369,1.75506,2.25316,-4.25015,-11.2,NA,NA,NA,NA,NA
8549,1.75211,1.514,-5,NA,NA,NA,-44.541,NA,NA
8724,1.75819,1.42802,-4.49309,NA,NA,-15.588,NA,NA,NA
8901,2.52001,1.42041,-4.95117,NA,NA,-33.688,NA,NA,NA
9189,2.36635,1.77508,-5,NA,NA,NA,-38.901,NA,NA
9210,2.21142,2.06174,-4.59185,NA,NA,-24.369,NA,NA,NA
9487,2.08676,1.52195,-5,NA,-23.301,NA,NA,NA,NA
9735,2.39019,1.97035,-4.68657,-16.967,NA,NA,NA,NA,NA
9821,1.75095,2.10569,-5,-18.302,NA,NA,NA,NA,NA
10098,1.58981,1.83251,-4.56763,-4.852,NA,NA,NA,NA,NA
10252,1.36938,2.13351,-5,-22.862,NA,NA,NA,NA,NA
10556,1.56315,1.66332,-5,-16.086,NA,NA,NA,NA,NA
10745,2.05732,1.38772,-5,-19.239,NA,NA,NA,NA,NA
10857,2.1984,1.15243,-4.49324,-15.628,NA,NA,NA,NA,NA
11130,0.807263,2.08384,-5,NA,NA,-44.555,NA,NA,NA
11206,1.78051,1.86887,-4.48485,NA,NA,NA,-23.036,NA,NA
11420,2.34886,1.35128,-4.00091,NA,-19.961,NA,NA,NA,NA
11684,1.40612,1.19913,-4.18019,-15.081,NA,NA,NA,NA,NA
11839,2.41726,1.65887,-5,-23.597,NA,NA,NA,NA,NA
12158,2.00239,1.26479,-4.59332,-9.456,NA,NA,NA,NA,NA
12331,1.96526,1.90349,-5,NA,-25.595,NA,NA,NA,NA
12425,1.67389,1.98106,-5,-16.698,NA,NA,NA,NA,NA
12657,2.33919,1.541,-4.66557,NA,-19.418,NA,NA,NA,NA
12834,1.69021,1.37985,-5,NA,NA,NA,-33.152,NA,NA
13044,1.84323,1.45212,-4.38905,-1.66,NA,NA,NA,NA,NA
13348,2.32775,1.49615,-4.69717,NA,-16.62,NA,NA,NA,NA
13487,2.17085,1.29383,-4.43173,NA,-14.906,NA,NA,NA,NA
13754,1.22103,1.98749,-4.27353,NA,NA,-14.857,NA,NA,NA
13810,2.28985,1.26451,-4.452,NA,-19.145,NA,NA,NA,NA
14157,1.31702,1.99107,-3.82847,-17.451,NA,NA,NA,NA,NA
14363,1.84346,1.94874,-5,NA,-19.278,NA,NA,NA,NA
14592,2.19692,2.58845,-5,-36.105,NA,NA,NA,NA,NA
14793,2.29909,1.60531,-4.47691,NA,-12.75,NA,NA,NA,NA
14860,2.16585,1.06278,-4.31395,NA,NA,-19.61,NA,NA,NA
15131,1.74541,1.41124,-4.69057,NA,-13.143,NA,NA,NA,NA
15364,1.52702,1.61018,-4.09969,-3.775,NA,NA,NA,NA,NA
15446,2.03271,2.12933,-4.29745,-10.067,NA,NA,NA,NA,NA
15619,2.20016,1.56914,-4.50513,NA,NA,-19.35,NA,NA,NA
15962,1.81959,1.86922,-4.46431,-4.171,NA,NA,NA,NA,NA
16029,1.6656,0.858161,-3.92415,NA,NA,-36.805,NA,NA,NA
16354,2.23653,0.858348,-4.05071,-37.246,NA,NA,NA,NA,NA
16463,1.51441,2.47924,-5,NA,-32.364,NA,NA,NA,NA
16725,2.61074,1.67924,-5,NA,-32.125,NA,NA,NA,NA
16992,1.6319,2.19562,-5,-21.716,NA,NA,NA,NA,NA
17121,1.73943,2.0854,-4.4806,-8.168,NA,NA,NA,NA,NA
17316,1.49607,2.27509,-5,NA,NA,-31.421,NA,NA,NA
17485,1.78846,1.4442,-4.00838,NA,NA,NA,-22.337,NA,NA
17760,1.60708,1.29914,-4.32845,NA,NA,-12.063,NA,NA,NA
17928,2.19903,1.59294,-4.35878,NA,NA,-11.754,NA,NA,NA
18183,2.61047,2.05889,-4.95369,NA,NA,-32.083,NA,NA,NA
18339,2.79391,1.91415,-4.79072,-32.702,NA,NA,NA,NA,NA
18479,1.31923,1.48344,-4.60496,-12.817,NA,NA,NA,NA,NA
18664,2.25411,1.4886,-5,-20.503,NA,NA,NA,NA,NA
18849,2.40882,1.50181,-4.79274,-18.958,NA,NA,NA,NA,NA
19112,1.66279,1.75554,-5,NA,-20.545,NA,NA,NA,NA
19369,1.25387,2.10741,-5,NA,-31.569,NA,NA,NA,NA
19405,1.72186,1.76257,-4.01731,NA,-14.664,NA,NA,NA,NA
19630,2.02302,1.50563,-5,-18.051,NA,NA,NA,NA,NA
19939,2.17967,0.975217,-4.49728,NA,NA,-31.326,NA,NA,NA
20036,1.72801,1.63757,-4.00369,-5.357,NA,NA,NA,NA,NA
20367,1.41798,1.75898,-4.35026,-6.514,NA,NA,NA,NA,NA
20479,1.46161,1.77572,-4.66802,NA,-16.179,NA,NA,NA,NA
20693,2.60763,2.01639,-4.49428,NA,-26.307,NA,NA,NA,NA
20915,1.61343,2.10551,-4.98658,-18.741,NA,NA,NA,NA,NA
21100,1.51207,2.10856,-5,NA,NA,-22.956,NA,NA,NA
21387,2.37433,2.34351,-4.92298,-30.364,NA,NA,NA,NA,NA
21527,1.92517,1.84314,-5,-15.689,NA,NA,NA,NA,NA
21668,1.76516,1.2878,-4.20905,NA,NA,-12.844,NA,NA,NA
21989,1.71745,1.27673,-4.12052,-7.747,NA,NA,NA,NA,NA
22131,1.56627,2.13887,-3.73961,-18.458,NA,NA,NA,NA,NA
22353,2.10061,1.85319,-3.74588,-14.858,NA,NA,NA,NA,NA
22552,2.36646,2.40949,-4.19524,-24.383,NA,NA,NA,NA,NA
22688,2.65246,2.57264,-5,-47.12,NA,NA,NA,NA,NA
22902,2.64657,2.04618,-4.30001,-25.441,NA,NA,NA,NA,NA
23145,2.57819,2.07196,-4.68988,NA,NA,-29.88,NA,NA,NA
23328,1.35288,2.25834,-5,NA,-31.318,NA,NA,NA,NA
23576,2.0087,1.57562,-5,NA,NA,NA,NA,NA,-43.038
23772,1.88727,1.69691,-4.13017,NA,-8.426,NA,NA,NA,NA
23870,1.4942,1.99261,-5,-19.333,NA,NA,NA,NA,NA
24073,2.8235,1.76436,-4.34181,-29.183,NA,NA,NA,NA,NA
24232,1.82423,1.56421,-4.20402,NA,-11.607,NA,NA,NA,NA
24483,1.68193,1.87199,-5,NA,-18.417,NA,NA,NA,NA
24792,1.68095,1.71529,-5,NA,NA,-22.051,NA,NA,NA
24843,2.27694,1.36891,-5,NA,-32.118,NA,NA,NA,NA
25153,1.91727,1.50201,-4.87444,NA,-16.699,NA,NA,NA,NA
25349,0.875629,1.89683,-5,NA,NA,-38.29,NA,NA,NA
25440,1.80864,1.87027,-4.97553,-15.774,NA,NA,NA,NA,NA
25609,1.54191,1.795,-4.80176,NA,-11.954,NA,NA,NA,NA
25983,2.07587,1.13763,-5,-26.959,NA,NA,NA,NA,NA
26091,2.03516,1.01968,-4.6795,-22.005,NA,NA,NA,NA,NA
26244,1.47801,1.24783,-3.79697,NA,NA,-27.835,NA,NA,NA
26434,1.44345,1.5662,-4.45025,NA,NA,-9.813,NA,NA,NA
26657,2.08442,1.26487,-5,NA,-26.52,NA,NA,NA,NA
26993,1.69392,1.94868,-5,NA,-21.476,NA,NA,NA,NA
27075,2.33892,2.29884,-5,-29.084,NA,NA,NA,NA,NA
27207,1.60809,1.94141,-5,NA,NA,NA,NA,NA,-30.295
27448,1.87147,1.75126,-4.78582,-9.129,NA,NA,NA,NA,NA
27687,1.38176,1.93608,-4.25978,NA,NA,-13.574,NA,NA,NA
27960,1.11928,2.0491,-3.91779,-24.008,NA,NA,NA,NA,NA
28111,1.97051,1.86819,-3.50287,-22.645,NA,NA,NA,NA,NA
28234,1.77484,2.63175,-3.79449,-31.683,NA,NA,NA,NA,NA
28531,2.14058,1.5716,-4.42777,NA,-18.37,NA,NA,NA,NA
28604,1.84556,2.53562,-4.3858,NA,NA,NA,NA,NA,-43.479
28816,1.75384,1.57594,-5,NA,NA,NA,NA,NA,-33.398
29027,2.11028,2.03532,-5,NA,-26.253,NA,NA,NA,NA
29257,1.69663,1.54967,-3.91185,NA,NA,-8.896,NA,NA,NA
29457,1.82856,1.72196,-3.10551,NA,NA,-48.895,NA,NA,NA
29724,2.0232,1.94056,-3.91652,NA,NA,-13.99,NA,NA,NA
29918,1.27298,2.44783,-4.27703,-24.126,NA,NA,NA,NA,NA
30079,1.3582,1.65324,-5,NA,-24.383,NA,NA,NA,NA
30249,1.25969,1.55033,-5,NA,NA,-25.637,NA,NA,NA
30590,1.75665,2.14262,-4.63656,-10.486,NA,NA,NA,NA,NA
30643,1.15673,1.97012,-4.19073,NA,NA,-24.589,NA,NA,NA
30966,1.87621,1.14969,-4.25793,-10.181,NA,NA,NA,NA,NA
31090,1.88211,1.35418,-4.76543,NA,NA,-12.884,NA,NA,NA
31227,1.73109,2.08014,-4.73971,NA,NA,-13.709,NA,NA,NA
31525,1.3294,1.61487,-4.09689,NA,NA,-15.142,NA,NA,NA
31715,2.32928,1.43833,-4.43426,NA,-23.869,NA,NA,NA,NA
31899,2.40244,2.49144,-4.47621,NA,NA,-36.198,NA,NA,NA
32104,1.75025,2.43107,-4.97947,-26.502,NA,NA,NA,NA,NA
32297,1.37207,2.48049,-5,-32.019,NA,NA,NA,NA,NA
32457,1.20211,1.49977,-3.95866,NA,NA,-24.292,NA,NA,NA
32685,1.35465,2.12536,-4.97773,NA,-24.067,NA,NA,NA,NA
32827,1.3886,1.84954,-5,-19.707,NA,NA,NA,NA,NA
33014,1.70045,2.59282,-4.57296,NA,NA,-26.827,NA,NA,NA
33363,2.20564,1.4779,-4.28515,NA,NA,-10.119,NA,NA,NA
33536,2.40844,1.31733,-4.21737,NA,-20.068,NA,NA,NA,NA
33698,1.44654,1.89729,-4.75658,NA,-19.599,NA,NA,NA,NA
33912,1.46491,1.76888,-4.38879,NA,-9.545,NA,NA,NA,NA
34050,1.86666,1.39354,-3.54474,-23.672,NA,NA,NA,NA,NA
34266,1.63596,1.85878,-3.49567,NA,-34.831,NA,NA,NA,NA
34551,1.52876,0.828102,-4.18877,-35.919,NA,NA,NA,NA,NA
34698,2.17242,1.41055,-5,-20.067,NA,NA,NA,NA,NA
34831,1.95761,1.45394,-3.73601,-14.217,NA,NA,NA,NA,NA
35097,2.01402,1.54059,-3.64925,NA,-26.609,NA,NA,NA,NA
35348,1.56227,1.37218,-4.89747,NA,-20.141,NA,NA,NA,NA
35518,2.01,1.96477,-4.77424,NA,NA,NA,NA,NA,-24.388
35604,1.95572,1.78134,-5,-15.59,NA,NA,NA,NA,NA
35977,2.44794,1.50773,-4.59588,NA,NA,-27.551,NA,NA,NA
36085,1.88031,2.13723,-4.86253,-15.171,NA,NA,NA,NA,NA
36333,2.31839,1.31774,-4.09202,NA,NA,NA,-28.531,NA,NA
36585,2.69227,1.86442,-4.19142,NA,NA,-27.309,NA,NA,NA
36616,1.62714,1.46109,-4.16225,-2.786,NA,NA,NA,NA,NA
36933,1.63516,1.80807,-4.21739,NA,NA,-4.529,NA,NA,NA
37075,1.85101,1.42923,-4.12309,-2.928,NA,NA,NA,NA,NA
37248,1.68082,2.17404,-4.21341,NA,NA,-11.13,NA,NA,NA
37500,1.73824,1.79321,-4.56108,NA,-8.854,NA,NA,NA,NA
37727,1.94667,1.42494,-4.4787,-4.438,NA,NA,NA,NA,NA
37814,2.04429,2.4416,-4.38901,NA,NA,NA,-35.735,NA,NA
38045,1.4337,2.01657,-3.274,-38.228,NA,NA,NA,NA,NA
38338,0.975509,2.04426,-4.39035,NA,NA,NA,-34.918,NA,NA
38591,0.81732,1.78924,-3.90735,NA,NA,-40.36,NA,NA,NA
38618,1.74157,2.27341,-3.69464,NA,NA,-26.522,NA,NA,NA
38813,1.13041,2.02568,-5,-27.844,NA,NA,NA,NA,NA
39076,2.05536,1.35393,-4.58625,NA,-9.973,NA,NA,NA,NA
39311,2.2494,1.95291,-3.87447,-15.434,NA,NA,NA,NA,NA
39518,2.62511,2.32313,-4.54927,NA,NA,NA,NA,NA,-44.277
39718,2.42281,1.93797,-4.77991,-18.948,NA,NA,NA,NA,NA
39920,1.60714,1.29008,-5,-21.076,NA,NA,NA,NA,NA
40167,1.99577,1.88848,-4.89676,NA,NA,-15.935,NA,NA,NA
40236,1.44576,1.61349,-4.96655,-18.494,NA,NA,NA,NA,NA
40452,1.39586,1.7465,-5,-18.94,NA,NA,NA,NA,NA
40698,2.32609,1.73474,-4.32715,NA,NA,-15.33,NA,NA,NA
40872,1.79516,1.53869,-4.5586,NA,NA,NA,NA,NA,-19.995
41056,1.73711,2.0396,-4.03192,NA,-16.746,NA,NA,NA,NA
41352,2.0242,1.55857,-4.66068,NA,NA,-20.669,NA,NA,NA
41553,2.50479,1.28853,-4.32037,-21.238,NA,NA,NA,NA,NA
41697,2.43664,1.45875,-4.86895,NA,NA,-26.913,NA,NA,NA
41897,2.03221,2.16999,-4.63554,NA,NA,-14.46,NA,NA,NA
42190,1.83501,2.24041,-4.67051,NA,NA,NA,-28.078,NA,NA
42268,1.19991,2.17189,-4.43085,NA,NA,-23.399,NA,NA,NA
42404,1.77751,1.7588,-4.98869,-14.225,NA,NA,NA,NA,NA
42771,2.23045,1.69465,-4.74019,NA,-18.524,NA,NA,NA,NA
42981,1.88845,1.91098,-4.54352,NA,-6.909,NA,NA,NA,NA
43181,1.76442,2.2554,-4.91594,-19.098,NA,NA,NA,NA,NA
43384,1.94408,1.89874,-4.38805,-3.873,NA,NA,NA,NA,NA
43538,2.02709,1.68793,-4.98557,-15.322,NA,NA,NA,NA,NA
43681,1.93415,1.35863,-5,-18.204,NA,NA,NA,NA,NA
43908,1.51373,1.44782,-3.70884,NA,-32.718,NA,NA,NA,NA
44143,1.34447,1.62494,-4.70572,NA,-23.629,NA,NA,NA,NA
44397,1.40523,1.4458,-5,-21.733,NA,NA,NA,NA,NA
44491,2.11608,1.65081,-3.72645,-14.831,NA,NA,NA,NA,NA
44736,2.35389,1.38954,-4.13795,NA,NA,-23.834,NA,NA,NA
