id,x0,x1,x2,fitness-2,fitness-2.5,fitness-3.5,fitness-3,fitness-1.5,fitness-1,fitness-4
39,2.98507,2.2609,-2.05336,-241.042,NA,NA,NA,NA,NA,NA
253,3.56494,1.51702,-3.3766,-105.114,NA,NA,NA,NA,NA,NA
488,2.56827,1.37832,-3.11579,NA,-62.992,NA,NA,NA,NA,NA
786,2.39358,1.86997,-3.3985,NA,NA,-64.241,NA,NA,NA,NA
968,1.87924,2.76646,-3.73109,NA,NA,NA,-45.286,NA,NA,NA
1014,1.80562,2.65604,-4.86795,NA,NA,NA,-33.624,NA,NA,NA
1378,1.7866,1.13883,-4.76865,-22.821,NA,NA,NA,NA,NA,NA
1428,1.90122,1.50011,-4.44172,-11.858,NA,NA,NA,NA,NA,NA
1610,2.13932,1.2596,-4.15421,NA,-11.312,NA,NA,NA,NA,NA
1886,2.65974,2.42141,-4.41895,NA,NA,NA,-35.653,NA,NA,NA
2102,2.08249,2.03602,-5,-29.997,NA,NA,NA,NA,NA,NA
2328,2.99627,1.36302,-4.88533,NA,-46.196,NA,NA,NA,NA,NA
2407,2.87065,1.86058,-5,NA,NA,NA,-43.623,NA,NA,NA
2617,2.57075,2.00266,-5,NA,-30.561,NA,NA,NA,NA,NA
2819,2.14057,1.59008,-4.76449,-15.953,NA,NA,NA,NA,NA,NA
3130,2.05733,1.4995,-5,NA,-18.125,NA,NA,NA,NA,NA
3208,2.63982,2.08541,-5,NA,NA,NA,-38.306,NA,NA,NA
3589,2.22494,1.92143,-5,NA,-20.042,NA,NA,NA,NA,NA
3775,1.41246,0.992133,-5,NA,NA,NA,-44.97,NA,NA,NA
3944,2.14407,1.66033,-4.55596,NA,NA,NA,-16.764,NA,NA,NA
4139,0.998735,1.37768,-4.76192,-37.499,NA,NA,NA,NA,NA,NA
4222,1.97257,2.26435,-5,NA,-22.449,NA,NA,NA,NA,NA
4496,0.879478,2.51835,-5,NA,NA,NA,NA,-66.971,NA,NA
4709,1.38082,1.92991,-3.91888,-16.655,NA,NA,NA,NA,NA,NA
4815,2.35519,2.66294,-4.69978,-42.008,NA,NA,NA,NA,NA,NA
5056,1.28273,2.15135,-5,-36.694,NA,NA,NA,NA,NA,NA
5324,1.40734,2.10715,-5,-32.835,NA,NA,NA,NA,NA,NA
5505,1.25186,2.23207,-5,-31.184,NA,NA,NA,NA,NA,NA
5672,2.52826,2.07892,-4.92968,NA,-27.857,NA,NA,NA,NA,NA
5898,2.50938,2.13572,-5,NA,-30.326,NA,NA,NA,NA,NA
6133,1.66213,1.76013,-5,-23.355,NA,NA,NA,NA,NA,NA
6357,1.53389,3.03363,-4.11977,NA,-46.784,NA,NA,NA,NA,NA
6442,1.83399,2.68483,-5,NA,NA,NA,-40.645,NA,NA,NA
6671,2.49681,1.4719,-4.21059,-22.103,NA,NA,NA,NA,NA,NA
6926,1.96731,1.26381,-4.23458,-11.918,NA,NA,NA,NA,NA,NA
7004,3.03535,2.5124,-4.78825,NA,NA,NA,NA,-87.181,NA,NA
7275,2.21684,1.57886,-4.08999,NA,-9.07,NA,NA,NA,NA,NA
7526,1.48617,1.04997,-4.47628,NA,NA,NA,-21.784,NA,NA,NA
7675,1.50374,2.26289,-4.62613,NA,-15.716,NA,NA,NA,NA,NA
7853,1.25566,1.76804,-4.21771,NA,NA,NA,NA,-28.46,NA,NA
8127,1.80935,1.77083,-5,NA,-15.689,NA,NA,NA,NA,NA
8295,1.88892,1.51693,-3.87921,-18.186,NA,NA,NA,NA,NA,NA
8464,1.39634,2.89082,-4.00426,-54.876,NA,NA,NA,NA,NA,NA
8616,1.44047,2.55781,-3.25458,NA,-52.496,NA,NA,NA,NA,NA
8961,1.73992,1.82476,-4.9998,NA,-15.42,NA,NA,NA,NA,NA
9006,1.4484,1.98974,-5,NA,-19.421,NA,NA,NA,NA,NA
9289,2.25192,2.07516,-4.88815,NA,-19.975,NA,NA,NA,NA,NA
9575,1.91184,1.3017,-5,-21.766,NA,NA,NA,NA,NA,NA
9702,2.27332,1.34759,-4.77412,NA,NA,-35.485,NA,NA,NA,NA
9987,0.556274,2.06831,-4.71879,NA,-46.67,NA,NA,NA,NA,NA
10184,0.985273,2.18294,-4.44853,NA,NA,NA,NA,-44.319,NA,NA
10237,2.18294,2.57704,-4.85956,-36.402,NA,NA,NA,NA,NA,NA
10532,1.66724,1.76409,-4.62803,NA,NA,NA,-7.945,NA,NA,NA
10648,2.4981,1.17542,-4.99179,NA,NA,NA,-38.66,NA,NA,NA
10882,1.3514,1.58669,-5,NA,NA,NA,-24.758,NA,NA,NA
11167,2.30265,1.75278,-4.99845,NA,-21.115,NA,NA,NA,NA,NA
11248,1.62221,1.60699,-4.71935,NA,NA,NA,-9.425,NA,NA,NA
11579,2.10681,0.880717,-4.72907,NA,-33.107,NA,NA,NA,NA,NA
11640,2.533,1.63622,-4.30473,NA,-18.05,NA,NA,NA,NA,NA
11886,2.51041,1.62006,-4.60565,NA,-18.348,NA,NA,NA,NA,NA
12070,2.39853,1.29188,-5,NA,-28.173,NA,NA,NA,NA,NA
12206,1.62397,1.58678,-5,NA,NA,NA,-21.584,NA,NA,NA
12589,1.81063,1.40419,-5,NA,NA,NA,-19.886,NA,NA,NA
12695,1.18448,1.20909,-4.23017,NA,-21.927,NA,NA,NA,NA,NA
12828,3.29454,1.40116,-4.33275,NA,-57.639,NA,NA,NA,NA,NA
13197,1.83929,1.90904,-4.19732,NA,-4.191,NA,NA,NA,NA,NA
13357,2.01014,1.28747,-4.70347,NA,NA,NA,-19.207,NA,NA,NA
13510,2.17733,1.63118,-5,NA,NA,NA,-25.885,NA,NA,NA
13677,1.57623,1.36712,-5,-31.245,NA,NA,NA,NA,NA,NA
13993,2.06105,1.80383,-5,NA,-17.015,NA,NA,NA,NA,NA
14199,1.25838,1.47933,-4.64494,NA,NA,NA,NA,-32.457,NA,NA
14269,1.77103,1.30231,-4.14307,NA,-5.505,NA,NA,NA,NA,NA
14594,1.94989,2.7561,-3.78035,-47.196,NA,NA,NA,NA,NA,NA
14685,1.51863,2.07274,-4.00049,NA,-10.829,NA,NA,NA,NA,NA
14819,0.864316,1.82764,-3.78848,NA,-35.094,NA,NA,NA,NA,NA
15146,2.21566,1.08421,-4.29775,NA,-17.801,NA,NA,NA,NA,NA
15361,2.00804,1.34569,-4.21936,-12.559,NA,NA,NA,NA,NA,NA
15527,1.43781,1.47925,-4.24102,-8.044,NA,NA,NA,NA,NA,NA
15712,1.96018,1.71864,-5,NA,-15.515,NA,NA,NA,NA,NA
15998,2.32138,2.87357,-4.92375,NA,-48.518,NA,NA,NA,NA,NA
16131,1.98401,2.98869,-5,-58.875,NA,NA,NA,NA,NA,NA
16225,1.85131,2.07919,-4.83394,NA,-13.785,NA,NA,NA,NA,NA
16401,2.38129,1.60607,-5,NA,NA,NA,-30.988,NA,NA,NA
16659,2.39077,1.5166,-4.63042,NA,NA,NA,-17.883,NA,NA,NA
16879,1.94927,1.95726,-4.62703,NA,-8.039,NA,NA,NA,NA,NA
17052,1.37678,2.18885,-4.25984,NA,NA,NA,-16.039,NA,NA,NA
17301,1.28501,2.28889,-5,NA,NA,-58.614,NA,NA,NA,NA
17578,1.31712,3.117,-5,NA,-62.364,NA,NA,NA,NA,NA
17715,1.60882,2.2819,-5,NA,NA,NA,-24.286,NA,NA,NA
17831,1.88723,0.887698,-5,NA,-44.618,NA,NA,NA,NA,NA
18081,1.72559,0.894359,-5,NA,NA,NA,-46.043,NA,NA,NA
18325,1.93535,2.24783,-5,-26.587,NA,NA,NA,NA,NA,NA
18427,2.01846,2.33968,-5,NA,-25.349,NA,NA,NA,NA,NA
18642,2.16267,1.70335,-4.29742,NA,NA,NA,-16.933,NA,NA,NA
18809,1.73286,1.98294,-5,NA,-16.561,NA,NA,NA,NA,NA
19145,0.930698,2.32011,-5,NA,-40.551,NA,NA,NA,NA,NA
19257,1.86313,2.49406,-5,-37.254,NA,NA,NA,NA,NA,NA
19516,1.81512,1.94573,-3.62263,NA,-18.376,NA,NA,NA,NA,NA
19773,1.24146,1.89095,-4.00534,NA,-14.199,NA,NA,NA,NA,NA
19991,1.08221,2.32848,-3.72886,-37.974,NA,NA,NA,NA,NA,NA
20159,1.36884,1.9377,-4.63563,-13.881,NA,NA,NA,NA,NA,NA
20356,1.16744,1.19752,-4.85871,NA,-31.846,NA,NA,NA,NA,NA
20592,1.55979,2.09521,-3.90053,NA,NA,NA,-15.967,NA,NA,NA
20610,0.840852,1.24594,-3.68879,NA,NA,NA,NA,-94.113,NA,NA
20807,1.03347,2.23747,-4.37558,NA,-24.814,NA,NA,NA,NA,NA
21037,2.39313,2.12898,-4.88367,NA,-24.219,NA,NA,NA,NA,NA
21365,1.85093,1.22875,-4.45257,NA,NA,NA,-14.729,NA,NA,NA
21497,2.59448,2.0087,-5,NA,NA,NA,-32.983,NA,NA,NA
21761,2.15711,1.60285,-4.1333,NA,-6.819,NA,NA,NA,NA,NA
21909,1.42429,2.31447,-4.12253,NA,-17.118,NA,NA,NA,NA,NA
22152,2.0501,1.32703,-4.59146,NA,NA,NA,-12.017,NA,NA,NA
22295,1.11375,1.80693,-4.57867,NA,NA,NA,-21.991,NA,NA,NA
22416,1.78584,1.80166,-5,-28.12,NA,NA,NA,NA,NA,NA
22693,1.25639,1.49328,-5,-35.272,NA,NA,NA,NA,NA,NA
22977,2.49225,0.968317,-4.89063,NA,-41.286,NA,NA,NA,NA,NA
23040,2.19543,1.67776,-4.72157,NA,NA,NA,-12.98,NA,NA,NA
23283,2.0669,1.48974,-4.86763,NA,-13.509,NA,NA,NA,NA,NA
23459,1.51842,1.42709,-4.59244,NA,-7.333,NA,NA,NA,NA,NA
23791,1.57226,1.38776,-3.97348,NA,-8.289,NA,NA,NA,NA,NA
23999,1.80998,0.969125,-3.68263,-40.539,NA,NA,NA,NA,NA,NA
24059,2.4116,1.32528,-4.68688,-24.209,NA,NA,NA,NA,NA,NA
24364,2.35527,1.72113,-4.1027,NA,-12.085,NA,NA,NA,NA,NA
24461,2.35237,1.43162,-5,-34.388,NA,NA,NA,NA,NA,NA
24646,1.85706,2.07764,-5,NA,NA,NA,NA,-32.798,NA,NA
24937,1.15756,1.31793,-3.4384,NA,-43.323,NA,NA,NA,NA,NA
25181,2.11706,1.3903,-4.43181,NA,NA,NA,-19.01,NA,NA,NA
25300,1.84643,1.19442,-4.40509,NA,NA,NA,-12.39,NA,NA,NA
25419,2.10028,2.39843,-5,NA,NA,NA,-33.022,NA,NA,NA
25701,1.48834,2.50822,-5,NA,-32.071,NA,NA,NA,NA,NA
25895,1.24052,2.83609,-5,NA,-48.462,NA,NA,NA,NA,NA
26070,1.89693,1.75731,-5,-27.219,NA,NA,NA,NA,NA,NA
26374,1.62908,1.41933,-4.72034,-18.77,NA,NA,NA,NA,NA,NA
26447,1.96791,1.45833,-4.30995,-7.771,NA,NA,NA,NA,NA,NA
26710,1.3589,1.96892,-4.29612,-14.012,NA,NA,NA,NA,NA,NA
26976,1.30807,3.05622,-5,NA,NA,NA,-65.022,NA,NA,NA
27149,2.40356,2.10644,-5,NA,-26.391,NA,NA,NA,NA,NA
27265,1.99939,2.18897,-5,-23.795,NA,NA,NA,NA,NA,NA
27501,2.48112,2.12571,-4.54196,NA,NA,NA,-21.912,NA,NA,NA
27615,2.22702,1.49871,-4.50677,NA,NA,NA,NA,-30.582,NA,NA
27911,2.07657,2.29053,-5,NA,-25.197,NA,NA,NA,NA,NA
28126,1.58885,2.66065,-5,-45.071,NA,NA,NA,NA,NA,NA
28261,2.72133,2.35084,-4.48223,NA,-34.899,NA,NA,NA,NA,NA
28555,2.30155,1.70536,-3.53434,NA,NA,-54.426,NA,NA,NA,NA
28740,1.18965,2.0925,-4.03077,NA,-18.063,NA,NA,NA,NA,NA
28955,2.12494,2.79613,-5,-50.296,NA,NA,NA,NA,NA,NA
29059,1.72376,2.97732,-5,NA,NA,NA,-53.95,NA,NA,NA
29323,1.41218,2.07592,-5,NA,-21.762,NA,NA,NA,NA,NA
29412,1.28663,2.09162,-4.66169,NA,-16.128,NA,NA,NA,NA,NA
29749,2.29729,2.0258,-5,NA,-22.986,NA,NA,NA,NA,NA
29987,2.16125,1.50751,-5,NA,-18.456,NA,NA,NA,NA,NA
