id,x0,x1,x2,fitness-4.5,fitness-5,fitness-4,fitness-3,fitness-3.5,fitness-1.5,fitness-2.5,fitness-2
55,-3.51263,4.84619,-3.16962,-193.535,NA,NA,NA,NA,NA,NA,NA
367,-2.4376,3.92325,-4.38471,NA,-58.965,NA,NA,NA,NA,NA,NA
462,-3.27473,3.43152,-5,NA,NA,-98.712,NA,NA,NA,NA,NA
732,-1.54912,4.29948,-5,NA,NA,-58.484,NA,NA,NA,NA,NA
881,-1.15276,4.21269,-5,NA,NA,NA,-191.055,NA,NA,NA,NA
1140,-2.36951,3.63511,-5,-46.633,NA,NA,NA,NA,NA,NA,NA
1226,-2.96821,3.67293,-5,-69.388,NA,NA,NA,NA,NA,NA,NA
1490,-4.23435,4.15113,-3.5817,NA,NA,NA,NA,-220.871,NA,NA,NA
1739,-4.02531,4.30245,-4.1278,NA,NA,-168.904,NA,NA,NA,NA,NA
1829,-3.30817,5,-5,NA,NA,NA,-145.367,NA,NA,NA,NA
2105,-4.11101,4.73455,-5,NA,NA,NA,NA,-187.362,NA,NA,NA
2269,-3.75971,5,-5,NA,NA,-152.74,NA,NA,NA,NA,NA
2596,-3.53199,4.11109,-5,-109.215,NA,NA,NA,NA,NA,NA,NA
2672,-3.20351,4.51489,-4.89219,NA,NA,NA,NA,NA,-267.623,NA,NA
2819,-2.18674,5,-5,NA,NA,NA,NA,NA,NA,-184.213,NA
3015,-1.0503,4.0499,-4.91642,NA,NA,NA,NA,NA,NA,-261.539,NA
3258,-1.98235,4.88771,-3.6123,NA,NA,NA,NA,-126.534,NA,NA,NA
3483,-1.05575,4.39516,-5,NA,-63.016,NA,NA,NA,NA,NA,NA
3707,-2.78871,4.05205,-4.15834,-79.613,NA,NA,NA,NA,NA,NA,NA
3837,-1.93556,3.97141,-4.75454,-32.775,NA,NA,NA,NA,NA,NA,NA
4181,-2.89979,4.32922,-3.85333,NA,-94.11,NA,NA,NA,NA,NA,NA
4208,-2.58346,4.45062,-4.49797,-68.295,NA,NA,NA,NA,NA,NA,NA
4500,-3.67544,3.9923,-4.18532,NA,-131.168,NA,NA,NA,NA,NA,NA
4683,-1.96267,5,-5,NA,-81.306,NA,NA,NA,NA,NA,NA
4956,-1.87999,4.30653,-5,NA,-54.405,NA,NA,NA,NA,NA,NA
5199,-0.765893,4.08404,-5,NA,-107.078,NA,NA,NA,NA,NA,NA
5343,-2.08856,4.4488,-5,NA,-59.421,NA,NA,NA,NA,NA,NA
