id,x0,x1,x2,fitness1,fitness2,fitness2.5,fitness0.5,fitness0,fitness-0.5,fitness-1,fitness1.5,fitness4,fitness5,fitness3,fitness3.5,fitness-1.5,fitness-2,fitness4.5,fitness-3,fitness-2.5,fitness-4,fitness-5,fitness-4.5,fitness-3.5
46,-1.39127,2.81474,-3.7083,5.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,-1.55888,3.27405,-4.45368,NA,165.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,-2.2823,1.19538,-5,NA,NA,-0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
773,-2.20372,1.1952,-5,NA,-37.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,-1.59344,0.912924,-4.26652,NA,NA,24.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1191,-3.39488,1.1474,-3.78457,-2.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,-5,1.13814,-3.18186,NA,NA,-11.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458,-5,0.665289,-5,-60.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1628,-4.46393,0.6677,-3.8414,NA,28.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1823,-5,1.2158,-3.96395,NA,NA,-16.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2144,-5,2.10404,-2.63841,NA,NA,NA,-4.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
