id,x0,x1,x2,fitness1,fitness0,fitness-1,fitness-2,fitness-0.5,fitness-1.5,fitness2.5,fitness2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3,fitness0.5,fitness1.5,fitness-3,fitness-4,fitness-3.5,fitness-2.5,fitness-5,fitness-4.5
8,-1.34863,0.104412,4.11771,7.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,-1.55327,0.448526,5,NA,328.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,-3.3307,-0.358549,5,NA,NA,694.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
643,-2.43254,-0.523438,4.1797,NA,NA,465.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,-3.03558,-2.04533,5,NA,NA,159.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,-2.63296,-2.42851,5,NA,NA,NA,352.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,-4.893,1.25465,5,NA,NA,NA,295.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1545,-5,2.41212,4.84109,NA,NA,190.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1650,-5,3.1525,5,NA,NA,NA,NA,514.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,-4.38404,4.57867,5,NA,NA,1035.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,-5,4.60443,4.72318,NA,NA,NA,NA,NA,1639.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2277,-3.91881,4.71457,5,NA,NA,NA,NA,NA,2922.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2491,-4.92134,4.15911,5,NA,NA,1317.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2647,-4.31482,5,5,NA,NA,412.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2990,-5,4.05337,5,NA,NA,NA,319.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3184,-5,4.31458,5,NA,NA,1852.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3272,-4.26637,5,4.26286,72.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3509,-4.5284,4.87024,5,NA,NA,NA,NA,NA,NA,891.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3648,-3.83193,5,5,NA,NA,NA,NA,NA,NA,NA,310.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3815,-4.87615,5,4.46439,NA,NA,NA,NA,NA,NA,NA,NA,309.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4057,-5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3342.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4274,-4.66472,5,4.31301,NA,NA,NA,NA,NA,NA,NA,NA,418.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4476,-5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4760,-5,4.80051,2.80254,NA,NA,NA,NA,NA,NA,NA,NA,NA,889.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4879,-5,5,2.90083,NA,NA,NA,NA,NA,NA,NA,NA,460.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5037,-3.64136,5,4.18737,NA,NA,NA,NA,NA,NA,NA,NA,NA,887.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5377,-4.08656,4.92859,4.70948,NA,NA,NA,NA,NA,NA,NA,NA,NA,2638.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5520,-2.89748,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2587.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5718,-3.21927,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,930.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5951,-2.83968,5,4.9432,NA,NA,NA,NA,NA,NA,NA,NA,NA,2091.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6103,-0.501264,5,4.86755,NA,NA,NA,NA,NA,NA,NA,NA,NA,4113.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6360,0.393035,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3191.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6573,-0.0389664,4.55168,3.31477,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6623,1.33048,4.47002,3.63649,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6993,1.48303,5,4.93016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1640.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7019,2.63569,5,4.19224,NA,NA,NA,NA,NA,NA,NA,NA,NA,713.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7336,1.95886,2.18676,4.60814,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7457,0.788632,1.38021,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,926.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7610,1.25821,0.429882,4.28615,NA,NA,NA,NA,NA,NA,NA,NA,NA,655.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7860,1.1231,-1.36144,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,846.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8088,0.705854,-1.32399,3.2043,NA,NA,NA,NA,NA,NA,NA,NA,NA,986.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8196,0.844196,-1.40968,2.5445,NA,NA,NA,NA,NA,NA,NA,NA,41.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8427,0.364166,-1.53598,2.80412,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8614,0.199924,-0.913189,4.03886,NA,NA,NA,NA,NA,NA,NA,NA,NA,381.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8981,1.37597,-0.13387,2.79185,NA,NA,NA,NA,NA,NA,NA,NA,NA,560.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9011,1.22544,-1.33834,4.88485,NA,NA,NA,NA,NA,NA,NA,NA,NA,3415.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9392,0.488249,-0.360372,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9411,-0.92962,0.761779,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3809.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9615,-1.48189,2.92063,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9914,-1.09421,1.7244,4.79922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10026,0.713892,0.280723,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10245,0.464243,-1.612,4.71819,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10555,1.7809,-1.01716,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1774.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10718,1.33925,-0.432504,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
10951,1.21758,-1.59051,4.3198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11064,0.677095,-0.995725,4.94674,NA,NA,NA,NA,NA,NA,NA,NA,390.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
