id,x0,x1,x2,fitness-1.5,fitness-2,fitness-2.5,fitness-1,fitness0.5,fitness0,fitness-0.5,fitness1,fitness2,fitness2.5,fitness3.5,fitness4.5,fitness5,fitness4
87,0.596779,4.28326,4.84327,508.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,0.515639,5,4.89403,1198.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
590,-0.184248,5,5,NA,4722.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
677,-1.31298,5,5,NA,6234.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
946,-1.2185,5,5,NA,NA,719.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1035,-1.42748,4.35113,5,NA,NA,NA,1782.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,-1.30356,5,5,NA,NA,NA,NA,3036.766,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469,-1.29707,5,5,NA,NA,NA,13846.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1675,-0.231958,5,5,NA,NA,NA,9782.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1804,-0.56812,4.88749,5,NA,NA,NA,NA,NA,6929.996,NA,NA,NA,NA,NA,NA,NA,NA
2052,-0.791369,4.19671,5,NA,NA,NA,NA,NA,NA,10064.133,NA,NA,NA,NA,NA,NA,NA
2341,-1.21828,5,5,NA,NA,NA,NA,NA,NA,8102.718,NA,NA,NA,NA,NA,NA,NA
2532,-0.148138,5,5,NA,NA,NA,NA,NA,NA,2216.586,NA,NA,NA,NA,NA,NA,NA
2703,-1.88738,5,5,5310.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2926,-1.49093,3.28008,5,NA,NA,NA,NA,NA,1830.331,NA,NA,NA,NA,NA,NA,NA,NA
3071,-1.06731,4.99259,5,NA,NA,NA,NA,NA,3068.793,NA,NA,NA,NA,NA,NA,NA,NA
3373,-0.352188,5,5,NA,2646.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3416,0.241422,4.29043,4.89017,NA,1426.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3608,-0.330615,4.60018,5,NA,NA,NA,3778.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3894,-2.35813,5,5,NA,NA,NA,NA,NA,NA,1873.874,NA,NA,NA,NA,NA,NA,NA
4054,-0.286997,4.78232,5,NA,NA,NA,NA,NA,NA,NA,2073.796,NA,NA,NA,NA,NA,NA
4325,-1.44486,4.37471,5,NA,NA,NA,NA,NA,NA,2770.784,NA,NA,NA,NA,NA,NA,NA
4511,-1.3083,5,4.91721,NA,NA,NA,NA,NA,NA,15309.272,NA,NA,NA,NA,NA,NA,NA
4692,0.465912,4.85031,5,3792.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4882,0.957319,5,5,NA,NA,NA,NA,NA,NA,1985.602,NA,NA,NA,NA,NA,NA,NA
5193,-0.820495,5,5,NA,NA,NA,NA,NA,11455.716,NA,NA,NA,NA,NA,NA,NA,NA
5350,-0.432627,4.95,5,NA,288.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5545,-1.04393,5,5,5485.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5750,-1.19206,5,4.73931,NA,NA,NA,NA,NA,NA,976.747,NA,NA,NA,NA,NA,NA,NA
5927,-1.06795,5,4.72057,4623.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6160,-1.54969,4.93539,4.62671,NA,NA,NA,8955.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6353,-1.85098,4.89438,5,5234.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
