id,x0,x1,x2,fitness4,fitness5
73,4.80777,4.21057,3.89719,556.828,NA
215,4.80777,4.21057,3.89719,NA,1595.801
241,4.80777,4.21057,3.89719,NA,2102.737
297,4.80777,4.21057,4.96975,NA,9837.498
331,4.80777,4.21057,4.90052,NA,11394.099
382,4.80777,4.28909,4.90052,NA,12276.298
441,4.83705,4.28909,4.90052,NA,12598.418
576,4.84831,4.28909,4.90052,NA,12652.701
621,4.84831,4.28909,4.86351,NA,12941.719
692,4.84831,4.28476,4.86351,NA,12964.549
972,4.84831,4.28476,4.86351,NA,13001.035
1020,4.85089,4.28476,4.86351,NA,13008.095
1065,4.85089,4.28476,4.86351,NA,13025.777
1104,4.85089,4.28476,4.86351,NA,13121.783
1647,4.85089,4.28476,4.86351,NA,13123.13
2305,4.85089,4.28476,4.86016,NA,13127.285
2566,4.85089,4.27431,4.86016,NA,13145.327
2726,4.86319,4.27431,4.86016,NA,13149.409
4920,4.86319,4.27626,4.86016,NA,13150.066
5180,4.86319,4.27626,4.85714,NA,13150.654
6081,4.85634,4.27626,4.85714,NA,13154.503
6110,4.85634,4.27626,4.85865,NA,13154.584
8052,4.85634,3.58514,4.85865,NA,-2548.491
