id,x0,x1,x2,fitness-2.5,fitness-1.5
75,2.38979,-2.12476,-0.600292,323.846,NA
206,2.38979,-2.12476,-0.600292,NA,1261.47
221,2.38979,-2.12476,-0.748445,NA,2099.558
305,2.38979,-0.8209,-0.748445,NA,6363.477
357,3.26426,-0.8209,-0.748445,NA,9267.715
451,4.29461,-0.8209,-0.748445,NA,15794.027
633,4.29461,-0.8209,-0.748445,NA,15981.21
703,4.2779,-0.8209,-0.748445,NA,16083.783
769,4.2779,-0.79855,-0.748445,NA,16164.355
885,4.2779,-0.79855,-0.796843,NA,16686.145
1496,4.2779,-0.79855,-0.796843,NA,16703.585
1557,4.2779,-0.79855,-0.796843,NA,16706.222
1689,4.27586,-0.79855,-0.796843,NA,16707.348
2046,4.27586,-0.79855,-0.797155,NA,16707.758
3223,4.27586,-0.79855,-0.797155,NA,16710.812
4444,4.27586,-0.79855,-0.797155,NA,16711.958
5583,4.27586,-0.799543,-0.797155,NA,16712.458
5906,4.27586,-0.799543,-0.801218,NA,16714.281
6099,4.81098,-0.799543,-1.5082,NA,27608.878
6205,4.81098,-0.799543,-1.36846,NA,28877.004
6295,4.81098,-0.799543,-1.46115,NA,29613.871
6436,4.81098,-0.799543,-1.45056,NA,29853.764
6519,4.81098,-0.799543,-1.41869,NA,30078.867
6719,4.88176,-0.799543,-1.41869,NA,30699.411
6900,4.87142,-0.799543,-1.41869,NA,30848.32
7719,4.86745,-0.799543,-1.41869,NA,30883.342
7905,4.85051,-0.799543,-1.41869,NA,30895.554
8094,3.67725,-0.799543,-1.41869,NA,6952.556
