id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness2.5,fitness3,fitness2
5,-0.784356,3.93583,3.41055,243.251,NA,NA,NA,NA,NA,NA
241,0.386983,5,2.76772,NA,1173.094,NA,NA,NA,NA,NA
589,-1.26713,5,3.24736,NA,2943.855,NA,NA,NA,NA,NA
718,-1.95235,5,4.909,7374.816,NA,NA,NA,NA,NA,NA
888,-1.96933,5,3.92842,NA,1192.759,NA,NA,NA,NA,NA
1135,-1.90283,5,4.79819,NA,6555.791,NA,NA,NA,NA,NA
1377,-3.01969,4.98517,5,NA,3444.886,NA,NA,NA,NA,NA
1469,-2.21247,5,4.71957,NA,2264.082,NA,NA,NA,NA,NA
1759,-2.11104,5,5,NA,5694.138,NA,NA,NA,NA,NA
1839,-1.18726,4.37364,3.55921,NA,172.771,NA,NA,NA,NA,NA
2123,-1.38578,4.85054,4.1444,4187.441,NA,NA,NA,NA,NA,NA
2306,-1.96619,5,5,NA,5378.052,NA,NA,NA,NA,NA
2522,-0.771552,3.58141,4.8712,NA,2420.14,NA,NA,NA,NA,NA
2651,-0.191553,4.37455,5,NA,3995.955,NA,NA,NA,NA,NA
2973,-1.41918,4.36135,5,NA,6378.209,NA,NA,NA,NA,NA
3110,0.219566,3.77708,4.75851,12.692,NA,NA,NA,NA,NA,NA
3240,-0.0121766,4.22925,4.76683,3539.745,NA,NA,NA,NA,NA,NA
3496,0.288246,5,4.85237,NA,4380.883,NA,NA,NA,NA,NA
3778,1.33189,5,4.98178,NA,2833.128,NA,NA,NA,NA,NA
3881,0.222408,5,5,NA,2427.658,NA,NA,NA,NA,NA
4098,-1.41642,5,4.32696,3721.44,NA,NA,NA,NA,NA,NA
4338,-3.03894,5,5,NA,3175.854,NA,NA,NA,NA,NA
4596,-3.18071,5,4.74388,NA,2322.769,NA,NA,NA,NA,NA
4627,-2.5058,5,4.41596,NA,1729.963,NA,NA,NA,NA,NA
4947,-2.16638,5,5,NA,4436.305,NA,NA,NA,NA,NA
5158,-5,5,5,2769.49,NA,NA,NA,NA,NA,NA
5360,-5,5,5,NA,2559.19,NA,NA,NA,NA,NA
5416,-5,3.86767,5,NA,753.526,NA,NA,NA,NA,NA
5769,-5,4.84869,5,NA,3734.611,NA,NA,NA,NA,NA
5816,-4.7641,5,5,NA,767.47,NA,NA,NA,NA,NA
6135,-4.04015,5,5,NA,2472.616,NA,NA,NA,NA,NA
6343,-2.90372,5,4.82996,NA,3514.082,NA,NA,NA,NA,NA
6586,-2.07418,5,5,NA,5118.248,NA,NA,NA,NA,NA
6683,-0.996061,5,5,NA,7502.024,NA,NA,NA,NA,NA
6854,-1.64719,5,4.74428,NA,NA,1438.367,NA,NA,NA,NA
7104,-3.19512,4.73728,5,NA,1494.942,NA,NA,NA,NA,NA
7245,-4.5727,4.14828,5,NA,1203.368,NA,NA,NA,NA,NA
7586,-4.15874,5,3.78646,NA,450.32,NA,NA,NA,NA,NA
7770,-3.13353,5,4.76866,NA,2778.653,NA,NA,NA,NA,NA
7923,-3.09472,5,4.68162,NA,3237.36,NA,NA,NA,NA,NA
8107,-0.944673,4.96961,5,NA,11174.758,NA,NA,NA,NA,NA
8315,0.455186,4.75192,4.85444,NA,3682.027,NA,NA,NA,NA,NA
8403,0.983005,4.8892,4.7815,NA,NA,1733.322,NA,NA,NA,NA
8733,-0.938149,4.74528,4.71312,NA,11748.503,NA,NA,NA,NA,NA
8950,-1.33127,4.59878,5,2172.6,NA,NA,NA,NA,NA,NA
9124,-1.87726,4.68802,4.86846,NA,NA,469.73,NA,NA,NA,NA
9232,-0.68658,4.66484,5,NA,8905.065,NA,NA,NA,NA,NA
9478,-0.700803,4.79156,5,13894.127,NA,NA,NA,NA,NA,NA
9763,-1.0262,4.86708,5,NA,7792.292,NA,NA,NA,NA,NA
9934,-0.843004,4.70636,5,NA,12615.313,NA,NA,NA,NA,NA
10171,-0.465575,4.90826,5,NA,735.825,NA,NA,NA,NA,NA
10197,-0.117927,4.84467,5,5047.021,NA,NA,NA,NA,NA,NA
10591,-0.186477,5,4.36074,NA,4227.449,NA,NA,NA,NA,NA
10743,-1.06778,5,5,NA,3385.954,NA,NA,NA,NA,NA
10872,-0.860102,5,5,NA,13531.477,NA,NA,NA,NA,NA
11146,-0.584896,5,5,NA,6837.257,NA,NA,NA,NA,NA
11228,-1.83634,5,4.97766,NA,2758.309,NA,NA,NA,NA,NA
11557,-0.905002,4.51917,5,425.153,NA,NA,NA,NA,NA,NA
11647,-0.795667,5,5,NA,13054.663,NA,NA,NA,NA,NA
11920,-0.870402,5,3.80619,NA,4450.152,NA,NA,NA,NA,NA
12173,-1.04203,5,5,NA,4933.703,NA,NA,NA,NA,NA
12323,-2.0606,5,5,NA,5273.226,NA,NA,NA,NA,NA
12518,-1.42367,5,4.64967,4414.052,NA,NA,NA,NA,NA,NA
12712,-0.646678,5,5,NA,9685.389,NA,NA,NA,NA,NA
12864,-0.545524,4.57284,4.85407,NA,2029.989,NA,NA,NA,NA,NA
