id,x0,x1,x2,fitness0,fitness-1.5,fitness-1,fitness-0.5
184,0.909195,4.72539,4.20466,1168.66,NA,NA,NA
233,0.909195,4.72539,4.20466,NA,2396.737,NA,NA
246,-1.36512,4.72539,4.20466,NA,9122.494,NA,NA
303,-1.36512,4.72539,4.26909,NA,9998.792,NA,NA
310,-1.36512,4.72539,4.26909,NA,10002.613,NA,NA
334,-1.36512,4.81171,4.26909,NA,12206.981,NA,NA
395,-1.48179,4.81171,4.26909,NA,12287.308,NA,NA
588,-1.43766,4.81171,4.26909,NA,12762.126,NA,NA
785,-1.43766,4.88916,4.26909,NA,12947.456,NA,NA
842,-1.43766,4.88916,5,NA,NA,14152.65,NA
853,-1.43766,4.88916,5,NA,NA,NA,18386.916
867,-1.43766,4.88916,4.95265,NA,NA,NA,21755.214
905,-1.43766,4.88916,4.79875,NA,NA,NA,23463.079
920,-1.43766,4.88916,4.79875,NA,NA,25733.856,NA
962,-1.43766,4.88617,4.79875,NA,NA,25791.954,NA
984,-1.43766,4.88617,4.79875,NA,NA,29197.382,NA
1023,-1.43766,4.88617,4.79875,NA,NA,29259.501,NA
1032,-1.42813,4.88617,4.79875,NA,NA,29313.432,NA
1086,-1.42813,4.88515,4.79875,NA,NA,29334.425,NA
1158,-1.42813,4.85807,4.79875,NA,NA,29607.422,NA
1193,-1.42813,4.85807,4.81752,NA,NA,30305.613,NA
1225,-1.42813,4.85807,4.84085,NA,NA,30816.132,NA
1267,-1.42813,4.85807,4.84858,NA,NA,30895.193,NA
1405,-1.42813,4.85807,4.85351,NA,NA,30921.788,NA
1714,-1.42775,4.85807,4.85351,NA,NA,30922.612,NA
2106,-1.42775,4.85807,4.8586,NA,NA,30930.468,NA
4715,-1.42269,4.85807,4.8586,NA,NA,30930.822,NA
5138,-1.42744,4.85807,4.8586,NA,NA,30931.058,NA
8200,-1.42744,4.85807,4.21602,NA,NA,-13890.26,NA
