id,x0,x1,x2,fitness8,fitness7.5,fitness8.5,fitness9.5,fitness7,fitness6,fitness6.5,fitness9,fitness5,fitness3.5,fitness4,fitness4.5,fitness10,fitness10.5,fitness5.5,fitness2.5,fitness1,fitness2
175,6.34817,8.65409,5.01552,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,5.93676,7.81979,6.24112,NA,0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,6.75009,7.88402,6.65454,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,6.86763,8.65937,7.3115,NA,NA,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918,8.259,8.16994,7.35478,NA,NA,NA,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062,7.57276,9.03264,6.86417,NA,NA,0.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378,8.51194,7.41161,7.04729,NA,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1488,8.24919,7.15097,8.14593,NA,0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1724,7.95698,6.73839,8.96586,NA,NA,NA,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853,7.95951,8.02975,8.92894,NA,NA,NA,NA,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061,7.65902,7.80278,8.234,NA,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2234,7.90939,6.7954,7.29408,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2538,7.62423,7.04734,7.03305,NA,NA,NA,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2649,8.06945,7.8739,7.38092,NA,NA,NA,NA,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2856,8.1267,8.44574,8.40913,NA,NA,NA,NA,NA,NA,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3019,7.94675,9.22179,8.29037,NA,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3253,7.30412,8.08487,7.56633,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3487,7.69397,8.78609,7.957,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3676,7.63604,8.78099,7.19276,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3906,7.85184,8.28353,6.10343,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4129,7.09919,7.16428,7.61996,NA,NA,NA,NA,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4257,7.69993,8.29456,7.90624,NA,NA,NA,NA,NA,NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4481,7.252,8.37602,7.22477,NA,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
