id,x0,x1,x2,fitness7,fitness8,fitness8.5,fitness7.5,fitness6.5,fitness9
43,6.78351,1.0956,7.04635,0.605,NA,NA,NA,NA,NA
225,7.46964,1.94289,7.38294,0.714,NA,NA,NA,NA,NA
578,8.41636,2.15821,8.19693,NA,0.811,NA,NA,NA,NA
652,7.16643,2.26054,7.89824,0.803,NA,NA,NA,NA,NA
968,7.35876,2.38647,7.98258,NA,0.871,NA,NA,NA,NA
1081,7.92476,2.40165,8.0234,NA,0.861,NA,NA,NA,NA
1208,8.57513,2.23432,8.13311,NA,0.827,NA,NA,NA,NA
1413,7.67844,1.24589,8.74246,NA,NA,0.663,NA,NA,NA
1720,7.18049,2.44328,7.61755,0.738,NA,NA,NA,NA,NA
1971,8.15846,2.47075,7.13695,NA,NA,NA,0.729,NA,NA
2136,7.89684,2.05826,7.60779,NA,NA,NA,0.915,NA,NA
2378,8.29197,2.10271,7.74702,0.822,NA,NA,NA,NA,NA
2580,8.30377,2.24627,8.10085,NA,NA,0.788,NA,NA,NA
2678,7.59478,4.62237,8.49238,NA,0.735,NA,NA,NA,NA
2804,7.59544,4.58881,7.61899,NA,NA,NA,0.853,NA,NA
3121,7.77478,6.67883,7.5515,NA,NA,NA,0.775,NA,NA
3310,7.42512,7.64583,7.16325,NA,0.905,NA,NA,NA,NA
3588,7.6324,7.78804,6.63326,NA,NA,NA,0.764,NA,NA
3656,8.46695,8.58004,7.96534,NA,0.743,NA,NA,NA,NA
3862,7.94324,8.0665,7.96129,NA,NA,NA,0.95,NA,NA
4005,8.5702,8.83603,7.73383,NA,NA,NA,0.655,NA,NA
4301,7.83393,7.33161,8.43711,NA,NA,NA,0.827,NA,NA
4549,7.34309,7.47263,7.83724,NA,0.924,NA,NA,NA,NA
4663,8.0854,8.21749,7.9091,NA,0.862,NA,NA,NA,NA
4980,7.88385,7.70508,8.80012,NA,0.77,NA,NA,NA,NA
5060,7.92537,8.64298,7.95829,NA,NA,NA,0.826,NA,NA
5248,7.67174,8.6714,7.74537,NA,NA,NA,0.84,NA,NA
5533,7.15551,8.11143,8.78611,NA,NA,NA,0.68,NA,NA
5675,7.46723,7.84737,7.88329,0.909,NA,NA,NA,NA,NA
5810,7.70227,7.78913,7.90253,NA,0.96,NA,NA,NA,NA
6071,8.0795,7.54386,8.32082,NA,NA,0.824,NA,NA,NA
6278,8.06891,7.95592,7.50249,NA,NA,NA,0.927,NA,NA
6554,7.43038,8.07389,7.57096,NA,NA,NA,NA,0.725,NA
6709,8.25537,8.12432,7.60188,NA,NA,NA,0.905,NA,NA
6926,7.53792,8.05259,7.90532,NA,NA,0.896,NA,NA,NA
7066,8.40611,7.17133,7.20481,NA,NA,0.718,NA,NA,NA
7252,7.36458,7.81094,7.48666,NA,0.961,NA,NA,NA,NA
7562,6.99054,7.44216,7.91736,NA,0.817,NA,NA,NA,NA
7622,7.30856,7.1603,8.04979,NA,0.858,NA,NA,NA,NA
7894,7.3802,7.96909,7.75688,NA,NA,NA,0.953,NA,NA
8005,8.27718,6.95609,7.40311,0.699,NA,NA,NA,NA,NA
8232,8.11846,7.27356,8.15443,NA,0.883,NA,NA,NA,NA
8514,7.03838,8.0013,7.8573,NA,0.881,NA,NA,NA,NA
8789,7.61848,7.72845,7.92216,NA,0.987,NA,NA,NA,NA
8901,8.3803,7.72084,7.46408,NA,0.899,NA,NA,NA,NA
9042,8.10884,7.52845,7.76428,NA,NA,NA,0.952,NA,NA
9201,7.93833,7.62961,7.33712,NA,NA,0.822,NA,NA,NA
9442,6.85751,7.76944,7.80178,0.78,NA,NA,NA,NA,NA
