id,x0,x1,x2,fitness9,fitness7.5,fitness7,fitness6.5,fitness8,fitness8.5,fitness9.5
157,7.391,8.31052,2.49768,0.536,NA,NA,NA,NA,NA,NA
393,7.45523,8.72393,2.85346,NA,0.343,NA,NA,NA,NA,NA
499,7.76533,7.20001,2.14631,NA,NA,0.886,NA,NA,NA,NA
698,8.45256,7.3073,2.24774,NA,NA,0.756,NA,NA,NA,NA
886,7.76632,8.17,4.37262,NA,NA,NA,0.638,NA,NA,NA
1130,7.67728,8.04519,4.59769,NA,NA,0.79,NA,NA,NA,NA
1345,7.80306,8.35479,7.02661,NA,0.78,NA,NA,NA,NA,NA
1489,7.91536,8.29427,6.7923,NA,NA,0.668,NA,NA,NA,NA
1697,7.80043,7.51461,7.10917,NA,NA,0.728,NA,NA,NA,NA
1813,7.55816,7.3201,6.99893,NA,NA,NA,0.557,NA,NA,NA
2012,7.6202,7.48414,8.05041,NA,NA,NA,NA,0.95,NA,NA
2240,7.18232,7.51396,6.89759,NA,NA,NA,NA,NA,0.669,NA
2488,7.91991,7.05168,7.89759,NA,NA,NA,NA,0.85,NA,NA
2629,7.75842,7.83857,7.60375,NA,0.986,NA,NA,NA,NA,NA
2801,8.77063,7.52816,8.44388,NA,0.712,NA,NA,NA,NA,NA
3032,8.1593,8.30982,8.39303,NA,0.802,NA,NA,NA,NA,NA
3230,7.99151,7.76766,8.34022,NA,0.909,NA,NA,NA,NA,NA
3596,8.36565,7.11504,7.34835,NA,0.814,NA,NA,NA,NA,NA
3683,7.76138,7.22541,7.39096,NA,NA,NA,NA,0.927,NA,NA
3856,8.22554,7.39339,6.81081,NA,NA,NA,NA,0.714,NA,NA
4095,8.29012,8.4102,6.99802,NA,NA,NA,NA,0.738,NA,NA
4359,6.94302,7.27432,6.5991,NA,NA,NA,NA,0.573,NA,NA
4570,8.02712,8.05928,8.0608,NA,NA,0.884,NA,NA,NA,NA
4674,9.12186,7.65979,7.80578,NA,NA,0.569,NA,NA,NA,NA
4960,7.97557,7.54275,8.38584,NA,NA,NA,NA,NA,0.834,NA
5177,7.21315,7.8648,7.44996,0.689,NA,NA,NA,NA,NA,NA
5239,7.35301,7.65171,8.12611,0.755,NA,NA,NA,NA,NA,NA
5426,7.60728,7.10865,7.02211,NA,0.82,NA,NA,NA,NA,NA
5778,7.50287,7.77847,8.04835,NA,NA,NA,NA,0.954,NA,NA
5932,7.45073,7.99841,8.05629,NA,NA,NA,NA,NA,0.796,NA
6009,7.43284,8.17154,6.74341,NA,NA,NA,NA,0.72,NA,NA
6312,8.10506,7.53159,7.17295,NA,NA,NA,0.701,NA,NA,NA
6457,7.51381,6.92493,7.42985,NA,NA,NA,NA,NA,0.752,NA
6785,7.57055,7.5712,6.8829,NA,0.815,NA,NA,NA,NA,NA
6967,7.76767,8.42721,6.97888,NA,NA,NA,NA,0.753,NA,NA
7150,8.86049,6.98141,7.69155,NA,0.658,NA,NA,NA,NA,NA
7238,8.05295,7.64343,7.52633,NA,NA,NA,NA,0.941,NA,NA
7583,7.13626,7.85391,6.95966,NA,NA,NA,NA,0.8,NA,NA
7782,7.57343,8.22621,7.79721,NA,NA,NA,0.731,NA,NA,NA
7997,7.31137,8.12669,8.78884,NA,0.732,NA,NA,NA,NA,NA
8118,8.00683,8.354,7.08922,NA,0.792,NA,NA,NA,NA,NA
8280,8.03975,7.00044,7.64108,NA,NA,0.752,NA,NA,NA,NA
8600,8.41362,8.02265,7.97342,NA,0.856,NA,NA,NA,NA,NA
8765,8.24969,7.87865,6.95666,NA,NA,NA,NA,0.815,NA,NA
8903,7.5929,8.37725,7.34789,NA,NA,0.802,NA,NA,NA,NA
9003,7.75336,8.27523,7.84764,NA,NA,NA,NA,0.921,NA,NA
9210,8.16252,7.86018,8.03901,NA,NA,NA,NA,NA,0.774,NA
9541,7.44664,6.70618,8.80456,NA,NA,NA,NA,0.547,NA,NA
9732,7.59498,8.26454,8.03437,NA,NA,NA,NA,0.874,NA,NA
9907,8.4608,7.38099,7.61306,NA,NA,NA,NA,0.843,NA,NA
10089,8.82025,8.23486,7.76713,0.526,NA,NA,NA,NA,NA,NA
10259,7.51746,8.90881,7.94886,NA,NA,NA,NA,0.727,NA,NA
10446,7.09943,8.51606,7.46017,NA,NA,NA,NA,NA,0.65,NA
10775,7.19099,8.66441,7.27084,0.533,NA,NA,NA,NA,NA,NA
10834,7.2177,8.22881,7.01199,NA,NA,NA,NA,NA,0.618,NA
11083,7.57733,7.78669,8.25212,NA,NA,NA,NA,0.893,NA,NA
11245,8.3045,7.31832,8.29377,NA,NA,NA,NA,NA,0.682,NA
11437,7.92777,6.98077,7.51525,NA,NA,NA,NA,0.836,NA,NA
11618,8.02771,7.81768,8.03869,NA,0.955,NA,NA,NA,NA,NA
11950,7.23235,8.03045,8.50324,NA,NA,NA,NA,0.769,NA,NA
12122,7.4971,8.74352,6.81376,NA,NA,0.484,NA,NA,NA,NA
12222,8.352,7.68639,9.08257,NA,0.653,NA,NA,NA,NA,NA
12435,8.20528,7.17145,7.95436,NA,NA,NA,NA,NA,0.787,NA
12637,6.54542,7.58702,7.59088,NA,NA,NA,NA,0.722,NA,NA
12955,6.05221,7.15193,7.70484,NA,0.466,NA,NA,NA,NA,NA
13012,7.47087,6.79835,8.05619,NA,NA,0.746,NA,NA,NA,NA
13296,7.81655,8.37517,8.6435,0.554,NA,NA,NA,NA,NA,NA
13523,7.3736,8.31833,7.14482,NA,NA,NA,NA,0.798,NA,NA
13778,7.40604,6.93347,8.44571,NA,0.756,NA,NA,NA,NA,NA
13827,8.40705,7.3167,7.3871,NA,NA,NA,NA,NA,0.746,NA
14011,8.30248,7.68697,7.50074,NA,NA,NA,NA,NA,0.749,NA
14202,7.84595,6.81833,7.59038,NA,NA,NA,NA,NA,0.699,NA
14429,8.7174,7.45153,7.4021,NA,NA,NA,NA,0.785,NA,NA
14664,7.74177,7.45086,7.97722,NA,0.971,NA,NA,NA,NA,NA
14851,7.65534,6.79898,8.79289,NA,NA,NA,NA,0.633,NA,NA
15096,7.85601,8.10909,8.09776,NA,0.922,NA,NA,NA,NA,NA
15347,8.03996,7.84572,6.48656,NA,NA,NA,NA,0.676,NA,NA
15419,8.44739,7.08442,7.35313,NA,NA,NA,NA,NA,0.735,NA
15757,8.03737,7.93698,7.69361,NA,NA,NA,NA,0.943,NA,NA
15808,7.45698,7.92996,6.76696,NA,0.793,NA,NA,NA,NA,NA
16006,7.57773,7.32343,7.57427,NA,NA,NA,NA,0.959,NA,NA
16256,8.04768,8.00111,7.83658,NA,NA,NA,NA,0.918,NA,NA
16401,8.57766,7.52799,7.60121,NA,0.835,NA,NA,NA,NA,NA
16659,8.58714,7.43852,7.97078,NA,0.836,NA,NA,NA,NA,NA
16879,8.14564,7.87918,7.97417,NA,NA,NA,NA,0.939,NA,NA
17052,7.57315,8.11076,8.34137,NA,0.889,NA,NA,NA,NA,NA
17286,8.60708,7.13342,7.09476,NA,NA,NA,NA,0.676,NA,NA
17560,7.48583,7.11403,6.8153,NA,NA,NA,NA,0.745,NA,NA
17608,7.38615,6.57808,8.09749,NA,NA,NA,NA,NA,0.561,NA
17864,6.81024,7.80445,7.19149,NA,NA,0.71,NA,NA,NA,NA
18016,7.59163,7.47189,6.3442,NA,0.64,NA,NA,NA,NA,NA
18238,8.34151,7.69005,7.41009,NA,0.899,NA,NA,NA,NA,NA
18592,7.75721,6.52836,8.47185,NA,0.62,NA,NA,NA,NA,NA
18630,8.61872,6.54947,7.56362,NA,NA,NA,NA,0.544,NA,NA
18936,8.74103,6.54543,7.5787,NA,NA,NA,NA,NA,0.451,NA
19189,9.25013,7.78651,7.62674,NA,NA,NA,NA,NA,0.581,NA
19323,8.38759,7.41877,8.78458,NA,0.712,NA,NA,NA,NA,NA
19414,7.89447,6.61656,7.75138,NA,0.753,NA,NA,NA,NA,NA
19657,8.06457,8.1658,8.73408,NA,NA,NA,NA,NA,0.64,NA
19995,8.54631,7.38165,8.70118,NA,0.692,NA,NA,NA,NA,NA
20116,8.7907,8.57447,7.91132,NA,NA,0.623,NA,NA,NA,NA
20234,6.90501,8.08453,7.069,NA,0.712,NA,NA,NA,NA,NA
20519,7.83859,7.68887,7.095,NA,NA,NA,NA,0.913,NA,NA
20750,7.47882,9.10379,7.74857,NA,0.714,NA,NA,NA,NA,NA
20805,7.05666,8.25446,7.88615,NA,NA,0.756,NA,NA,NA,NA
21171,7.77995,7.88208,7.55474,NA,0.949,NA,NA,NA,NA,NA
21270,8.30293,8.49532,7.97581,NA,0.806,NA,NA,NA,NA,NA
21414,6.97578,7.84393,8.42833,NA,NA,0.741,NA,NA,NA,NA
21726,7.70168,7.62597,8.18465,NA,NA,0.894,NA,NA,NA,NA
21958,7.95343,7.48729,7.64844,NA,NA,NA,NA,NA,0.893,NA
22110,8.55145,7.35674,8.61158,NA,NA,NA,NA,0.668,NA,NA
22382,7.81178,7.8769,8.09905,NA,NA,NA,NA,0.961,NA,NA
22475,7.61819,6.84462,8.70967,NA,0.633,NA,NA,NA,NA,NA
22668,7.79617,7.68141,8.21751,NA,NA,NA,NA,0.94,NA,NA
22987,7.39615,7.73085,8.26233,NA,NA,NA,NA,0.887,NA,NA
23030,7.06524,6.88088,7.6168,NA,NA,0.709,NA,NA,NA,NA
23269,7.31341,7.01867,8.48476,NA,NA,NA,NA,NA,0.651,NA
23413,7.54304,6.49143,8.32299,NA,NA,0.53,NA,NA,NA,NA
23782,7.38797,7.06373,8.08217,NA,NA,0.678,NA,NA,NA,NA
23814,7.31887,7.26491,7.55042,NA,NA,NA,NA,0.894,NA,NA
24084,6.72954,7.1198,8.08968,NA,NA,NA,NA,NA,0.592,NA
24247,7.40042,6.96033,8.53036,NA,NA,NA,NA,NA,0.649,NA
24469,8.05753,7.91964,8.54754,NA,0.806,NA,NA,NA,NA,NA
24606,8.98658,8.31311,7.93154,NA,NA,NA,NA,0.66,NA,NA
24827,8.58376,7.34018,7.59171,NA,NA,NA,NA,0.806,NA,NA
25132,7.2085,6.97937,7.1928,NA,0.757,NA,NA,NA,NA,NA
25337,7.42841,7.43408,6.93482,NA,NA,0.759,NA,NA,NA,NA
25569,7.58039,7.93268,7.07675,NA,NA,NA,NA,0.888,NA,NA
25609,7.13677,8.32725,9.27546,NA,NA,NA,NA,0.536,NA,NA
25895,6.88896,8.65512,8.64126,NA,0.56,NA,NA,NA,NA,NA
26168,8.08635,8.49308,7.58986,NA,NA,NA,NA,0.856,NA,NA
26211,8.80254,7.73446,7.96126,NA,NA,NA,NA,0.771,NA,NA
26443,7.83039,7.42863,8.2014,NA,NA,0.777,NA,NA,NA,NA
26635,6.73495,8.10016,7.10806,NA,0.68,NA,NA,NA,NA,NA
26830,7.79639,7.53614,8.09707,NA,NA,NA,NA,NA,0.843,NA
27069,8.18816,7.84207,7.35098,NA,NA,NA,NA,NA,0.755,NA
27337,7.6007,7.45355,8.98935,NA,NA,0.682,NA,NA,NA,NA
27580,8.66086,7.98377,8.1605,NA,NA,0.724,NA,NA,NA,NA
27675,7.81285,8.25795,8.44837,NA,NA,NA,NA,NA,0.768,NA
27979,6.95513,7.89944,8.38004,NA,0.787,NA,NA,NA,NA,NA
28103,7.94061,8.51618,8.1139,NA,NA,0.759,NA,NA,NA,NA
28242,7.33304,7.86903,8.09802,NA,NA,NA,NA,0.93,NA,NA
28529,7.68728,7.83775,8.63647,NA,NA,NA,NA,0.835,NA,NA
28675,8.02909,8.45384,8.02327,NA,0.849,NA,NA,NA,NA,NA
28827,7.56098,8.99319,7.18653,NA,0.686,NA,NA,NA,NA,NA
29107,7.13975,8.14903,7.48371,NA,NA,NA,NA,0.846,NA,NA
29282,7.27358,7.99158,6.87693,NA,0.768,NA,NA,NA,NA,NA
29580,7.80559,8.04707,7.09097,NA,NA,0.746,NA,NA,NA,NA
29718,7.96502,7.82054,8.68176,NA,NA,NA,0.612,NA,NA,NA
29876,6.92026,6.89289,8.22234,NA,NA,0.605,NA,NA,NA,NA
30138,7.23106,8.40883,9.45565,NA,NA,NA,NA,NA,0.424,NA
30318,6.8684,8.25916,8.21444,NA,NA,NA,NA,NA,0.661,NA
30480,7.53082,7.01966,7.35334,NA,0.825,NA,NA,NA,NA,NA
30605,7.83967,8.9488,7.63388,NA,0.764,NA,NA,NA,NA,NA
30950,8.62285,7.78623,7.84221,NA,NA,NA,NA,0.848,NA,NA
31032,7.50831,7.3348,7.72082,NA,NA,NA,NA,0.961,NA,NA
31358,8.31263,8.15832,7.88694,NA,NA,NA,0.657,NA,NA,NA
31531,8.14822,7.94703,8.07809,NA,NA,NA,NA,0.889,NA,NA
31786,8.69827,7.38414,8.74546,NA,0.639,NA,NA,NA,NA,NA
31819,6.96994,6.96384,7.77261,NA,NA,NA,NA,0.759,NA,NA
32150,7.72507,7.95534,9.04594,NA,0.698,NA,NA,NA,NA,NA
32288,8.03316,7.51676,8.58238,NA,0.821,NA,NA,NA,NA,NA
32576,6.88599,7.25053,7.3692,NA,0.756,NA,NA,NA,NA,NA
32726,7.20564,7.45799,8.34604,NA,NA,0.717,NA,NA,NA,NA
32897,7.69162,7.27738,8.00479,NA,0.942,NA,NA,NA,NA,NA
33177,8.97394,7.609,7.47269,NA,NA,NA,NA,NA,0.638,NA
33229,7.53242,8.13735,7.58821,NA,NA,NA,NA,0.947,NA,NA
33522,8.83413,7.49966,8.25505,NA,NA,NA,NA,0.733,NA,NA
33714,8.07352,7.14228,8.08038,NA,NA,NA,NA,0.868,NA,NA
33910,7.3159,8.21568,7.24616,NA,NA,0.687,NA,NA,NA,NA
34109,8.1491,7.83786,7.86262,NA,NA,NA,NA,0.945,NA,NA
34266,7.20368,8.42934,7.06047,NA,NA,NA,NA,0.74,NA,NA
34410,8.32685,8.04394,7.38764,NA,0.872,NA,NA,NA,NA,NA
34618,8.01659,8.16027,7.62499,NA,NA,NA,NA,NA,0.808,NA
34930,7.74392,7.3714,8.41961,NA,NA,NA,NA,0.881,NA,NA
