id,x0,x1,x2,fitness-3.5,fitness-5,fitness-4.5,fitness-3,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness-0.5,fitness-1,fitness0,fitness1,fitness0.5
64,2.62794,-3.58176,-4.81747,-1091.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,1.64762,-2.58367,-4.44877,NA,-1253.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,1.95478,-1.79602,-4.39733,NA,-725.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,3.03962,-0.971189,-2.73083,NA,NA,-393.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,2.20431,-0.357496,-2.79706,-242.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1147,2.37938,0.674674,-3.99549,NA,-173.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311,1.69965,2.64005,-5,NA,NA,NA,-37.359,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,2.15857,2.42699,-4.79628,NA,NA,NA,NA,-61.678,NA,NA,NA,NA,NA,NA,NA,NA
1634,1.70922,2.21189,-5,NA,NA,-84.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,1.25713,2.77015,-5,NA,NA,-139.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1.64178,0.764412,-5,NA,NA,-141.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2205,1.06864,0.695473,-5,NA,-191.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2544,1.3381,0.316124,-5,NA,-215.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2760,3.30896,0.560019,-4.95661,NA,NA,-193.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2902,5,1.20882,-4.4353,-250.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3010,4.13274,1.66455,-5,-154.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3238,3.52481,1.77483,-5,NA,NA,NA,NA,NA,-77.67,NA,NA,NA,NA,NA,NA,NA
3504,4.30075,1.71143,-5,NA,NA,-214.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3674,3.28566,2.4944,-4.54633,NA,NA,NA,NA,NA,NA,-74.787,NA,NA,NA,NA,NA,NA
3823,4.46398,2.46294,-4.8768,NA,NA,NA,NA,NA,NA,-172.735,NA,NA,NA,NA,NA,NA
4072,3.8748,1.92951,-5,NA,NA,NA,NA,NA,NA,-109.926,NA,NA,NA,NA,NA,NA
4250,5,2.54923,-5,NA,NA,NA,NA,NA,NA,-243.992,NA,NA,NA,NA,NA,NA
4480,3.91616,1.59264,-5,NA,NA,NA,NA,NA,-107.597,NA,NA,NA,NA,NA,NA,NA
4720,5,1.9593,-4.93633,NA,NA,NA,-228.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
4881,4.03233,1.62254,-5,-132.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5177,2.49819,2.84739,-5,NA,-180.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5287,1.66432,2.98531,-5,-78.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5455,1.83493,1.99041,-5,-32.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5667,1.61837,1.67091,-4.53236,NA,NA,NA,-7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
5882,1.15123,1.81822,-5,-56.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6199,1.34798,1.86696,-5,NA,NA,NA,-22.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
6308,1.36504,0.910679,-3.88243,-65.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6513,1.70213,1.31424,-4.75042,-36.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6701,2.42181,1.91856,-5,NA,NA,NA,NA,-67.084,NA,NA,NA,NA,NA,NA,NA,NA
6940,1.02508,0.598682,-5,NA,NA,NA,NA,-123.123,NA,NA,NA,NA,NA,NA,NA,NA
7159,1.54676,1.97921,-5,NA,NA,NA,-22.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
7317,2.25689,1.36638,-5,NA,NA,NA,NA,-69.926,NA,NA,NA,NA,NA,NA,NA,NA
7560,2.79576,0.803234,-5,NA,NA,NA,-69.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
7798,2.23749,1.0003,-5,NA,NA,NA,NA,NA,NA,-46.014,NA,NA,NA,NA,NA,NA
7882,2.08469,2.34249,-3.60875,NA,NA,NA,NA,NA,-29.814,NA,NA,NA,NA,NA,NA,NA
8186,2.99583,0.996129,-4.61366,NA,NA,NA,NA,NA,NA,-60.445,NA,NA,NA,NA,NA,NA
8351,3.56522,2.11626,-4.068,NA,NA,NA,NA,NA,-81.725,NA,NA,NA,NA,NA,NA,NA
8497,3.09673,1.58387,-4.99885,NA,NA,NA,NA,NA,NA,NA,-74.03,NA,NA,NA,NA,NA
8669,2.30594,1.37411,-5,NA,NA,NA,NA,NA,NA,NA,NA,-93.851,NA,NA,NA,NA
8985,1.57529,3.47472,-5,NA,NA,NA,NA,NA,NA,-89.779,NA,NA,NA,NA,NA,NA
9090,2.11434,2.4888,-4.09565,NA,NA,NA,NA,NA,NA,NA,-42.392,NA,NA,NA,NA,NA
9361,2.71726,3.05805,-5,NA,NA,NA,NA,NA,NA,-82.324,NA,NA,NA,NA,NA,NA
9534,3.00569,2.5648,-5,NA,NA,NA,NA,NA,NA,-69.497,NA,NA,NA,NA,NA,NA
9793,1.85243,1.99817,-4.50654,NA,NA,NA,NA,NA,NA,NA,-22.091,NA,NA,NA,NA,NA
9978,2.34579,2.86805,-5,NA,NA,NA,NA,NA,NA,-61.086,NA,NA,NA,NA,NA,NA
10132,2.81741,1.70204,-5,NA,NA,NA,NA,NA,-38.673,NA,NA,NA,NA,NA,NA,NA
10393,2.43436,2.23327,-3.70585,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.095,NA,NA,NA
10576,1.91584,1.63944,-2.92593,NA,NA,NA,NA,NA,NA,NA,-93.344,NA,NA,NA,NA,NA
10642,3.12916,3.56296,-3.30073,NA,NA,NA,NA,NA,NA,NA,NA,NA,-185.87,NA,NA,NA
10916,2.96037,2.35996,-4.8874,NA,NA,NA,NA,NA,NA,NA,NA,-125.438,NA,NA,NA,NA
11063,3.0981,2.50892,-5,NA,NA,NA,NA,NA,NA,NA,-81.043,NA,NA,NA,NA,NA
11241,2.14962,1.94535,-4.97011,NA,NA,NA,NA,NA,NA,NA,NA,-82.548,NA,NA,NA,NA
11570,2.85321,2.17723,-5,NA,NA,NA,NA,NA,NA,NA,-55.432,NA,NA,NA,NA,NA
11668,2.32864,1.52867,-4.46681,NA,NA,NA,NA,NA,-10.942,NA,NA,NA,NA,NA,NA,NA
12000,2.04253,1.62627,-4.91146,NA,NA,-92.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12011,1.30275,2.43802,-4.95197,NA,NA,NA,NA,NA,-30.437,NA,NA,NA,NA,NA,NA,NA
12248,1.93359,3.01249,-4.66712,NA,NA,NA,NA,NA,NA,-51.355,NA,NA,NA,NA,NA,NA
12482,1.42671,3.72486,-4.48911,NA,NA,NA,NA,NA,NA,NA,-117.158,NA,NA,NA,NA,NA
12730,0.0366594,2.98277,-3.60429,NA,NA,NA,NA,NA,-121.527,NA,NA,NA,NA,NA,NA,NA
12913,0.0972402,1.89642,-4.38127,NA,NA,NA,-72.731,NA,NA,NA,NA,NA,NA,NA,NA,NA
13190,-0.0168668,2.57585,-4.08344,-105.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13209,-0.00337863,3.30406,-5,NA,NA,NA,NA,-166.197,NA,NA,NA,NA,NA,NA,NA,NA
13423,1.47335,2.29619,-5,NA,NA,NA,-30.612,NA,NA,NA,NA,NA,NA,NA,NA,NA
13617,1.15781,0.957285,-5,NA,NA,NA,NA,-85.395,NA,NA,NA,NA,NA,NA,NA,NA
13856,0.0854879,2.19535,-4.47931,NA,-191.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14047,0.503915,1.52436,-5,NA,NA,NA,NA,-87.736,NA,NA,NA,NA,NA,NA,NA,NA
14235,-0.151921,1.82928,-4.00377,NA,NA,NA,NA,NA,-101.51,NA,NA,NA,NA,NA,NA,NA
14484,1.38064,1.38048,-4.32319,NA,NA,NA,-10.394,NA,NA,NA,NA,NA,NA,NA,NA,NA
