id,x0,x1,x2,fitness-3,fitness-2.5,fitness-4,fitness-2,fitness-1.5,fitness-3.5,fitness-1,fitness-4.5,fitness-0.5
184,1.88981,0.49721,-2.81582,-128.508,NA,NA,NA,NA,NA,NA,NA,NA
238,2.44481,1.03869,-3.35299,NA,-55.372,NA,NA,NA,NA,NA,NA,NA
464,0.441151,2.34235,-4.33883,NA,NA,-103.749,NA,NA,NA,NA,NA,NA
739,3.03511,2.28104,-4.27494,NA,NA,NA,-51.713,NA,NA,NA,NA,NA
994,1.99189,1.45929,-4.48611,-9.622,NA,NA,NA,NA,NA,NA,NA,NA
1004,3.14532,1.68119,-4.36018,NA,-45.881,NA,NA,NA,NA,NA,NA,NA
1310,2.8553,2.14782,-4.59781,-39.81,NA,NA,NA,NA,NA,NA,NA,NA
1536,2.23122,2.22603,-5,NA,-24.785,NA,NA,NA,NA,NA,NA,NA
1772,1.71063,1.95026,-4.39266,NA,NA,NA,-16.082,NA,NA,NA,NA,NA
1857,2.20875,2.55666,-3.57479,NA,-40.455,NA,NA,NA,NA,NA,NA,NA
2002,1.81516,2.2542,-3.68918,NA,-21.862,NA,NA,NA,NA,NA,NA,NA
2367,1.79561,1.81403,-4.3385,NA,NA,NA,-5.613,NA,NA,NA,NA,NA
2595,2.15878,1.60135,-4.32598,NA,-5.034,NA,NA,NA,NA,NA,NA,NA
2723,2.40731,2.562,-4.41604,NA,-30.445,NA,NA,NA,NA,NA,NA,NA
2804,0.955524,1.50193,-4.80214,-37.64,NA,NA,NA,NA,NA,NA,NA,NA
3110,1.61327,1.8394,-5,NA,-15.779,NA,NA,NA,NA,NA,NA,NA
3214,2.37842,1.62627,-4.53861,-16.889,NA,NA,NA,NA,NA,NA,NA,NA
3600,2.02351,1.79452,-4.76503,NA,-10.302,NA,NA,NA,NA,NA,NA,NA
3619,1.77438,1.66883,-4.73407,-11.415,NA,NA,NA,NA,NA,NA,NA,NA
3805,1.64756,2.50812,-4.64113,NA,NA,NA,NA,-44.872,NA,NA,NA,NA
4065,1.69237,1.50582,-4.55154,NA,NA,NA,-11.627,NA,NA,NA,NA,NA
4392,1.35901,2.28872,-4.16071,NA,NA,NA,NA,-40.087,NA,NA,NA,NA
4492,1.9469,2.34259,-4.40812,-17.171,NA,NA,NA,NA,NA,NA,NA,NA
4701,2.87797,2.91084,-4.10473,NA,-66.312,NA,NA,NA,NA,NA,NA,NA
4825,2.04628,2.16438,-3.2638,-48.749,NA,NA,NA,NA,NA,NA,NA,NA
5115,2.12923,2.11838,-4.07209,NA,-13.408,NA,NA,NA,NA,NA,NA,NA
5321,1.26518,2.0602,-4.35831,NA,NA,NA,-16.843,NA,NA,NA,NA,NA
5599,0.902452,1.77848,-4.00407,NA,NA,NA,-32.65,NA,NA,NA,NA,NA
5677,1.74729,1.6937,-5,NA,NA,NA,-20.187,NA,NA,NA,NA,NA
5970,1.53471,1.13548,-5,NA,-29.702,NA,NA,NA,NA,NA,NA,NA
6037,0.752503,1.91493,-5,NA,NA,NA,-48.856,NA,NA,NA,NA,NA
6218,0.703646,2.70041,-5,NA,-61.929,NA,NA,NA,NA,NA,NA,NA
6502,2.35399,2.25106,-5,NA,-28.33,NA,NA,NA,NA,NA,NA,NA
6639,2.83572,1.52899,-5,NA,-40.517,NA,NA,NA,NA,NA,NA,NA
6939,2.48526,2.14148,-5,-30.692,NA,NA,NA,NA,NA,NA,NA,NA
7166,2.23783,2.19351,-5,-27.636,NA,NA,NA,NA,NA,NA,NA,NA
7311,2.32294,2.33229,-4.16283,-24.493,NA,NA,NA,NA,NA,NA,NA,NA
7585,2.40249,1.78825,-5,-27.891,NA,NA,NA,NA,NA,NA,NA,NA
7728,2.43655,2.08095,-5,NA,NA,NA,-33.088,NA,NA,NA,NA,NA
7843,2.4028,2.81217,-5,NA,-49.541,NA,NA,NA,NA,NA,NA,NA
8036,2.44302,1.76002,-5,NA,-25.014,NA,NA,NA,NA,NA,NA,NA
8374,1.36166,1.31537,-5,NA,NA,NA,-32.693,NA,NA,NA,NA,NA
8536,2.68666,2.08252,-4.20747,NA,-27.633,NA,NA,NA,NA,NA,NA,NA
8724,2.61244,1.83798,-4.83235,NA,NA,NA,-30.775,NA,NA,NA,NA,NA
8954,1.49906,1.64028,-4.88217,NA,NA,NA,-24.756,NA,NA,NA,NA,NA
9069,1.67298,1.54044,-4.34079,NA,NA,NA,-6.624,NA,NA,NA,NA,NA
9253,0.983517,2.34815,-3.88734,NA,NA,NA,-38.028,NA,NA,NA,NA,NA
9408,2.23527,2.82448,-5,NA,-46.174,NA,NA,NA,NA,NA,NA,NA
9722,1.78192,1.9695,-5,NA,-17.307,NA,NA,NA,NA,NA,NA,NA
9957,1.21024,2.05134,-4.41827,NA,-15.234,NA,NA,NA,NA,NA,NA,NA
10119,1.72522,1.32631,-4.12015,NA,-5.589,NA,NA,NA,NA,NA,NA,NA
10258,1.50573,1.97214,-4.27093,NA,-6.118,NA,NA,NA,NA,NA,NA,NA
10470,2.72359,2.55153,-4.71048,NA,-42.982,NA,NA,NA,NA,NA,NA,NA
10652,1.92575,2.82069,-5,NA,NA,NA,NA,-60.185,NA,NA,NA,NA
10947,2.10357,2.25553,-5,-25.163,NA,NA,NA,NA,NA,NA,NA,NA
11121,2.42037,2.03941,-5,NA,-26.199,NA,NA,NA,NA,NA,NA,NA
11322,0.834507,2.16019,-5,NA,-41.126,NA,NA,NA,NA,NA,NA,NA
11584,2.44029,2.1366,-5,-31.382,NA,NA,NA,NA,NA,NA,NA,NA
11719,2.45738,1.85183,-5,-31.797,NA,NA,NA,NA,NA,NA,NA,NA
11989,2.97757,1.52396,-5,NA,NA,NA,NA,NA,-57.03,NA,NA,NA
12177,1.91459,1.40196,-5,NA,-17.176,NA,NA,NA,NA,NA,NA,NA
12284,1.66854,1.25619,-4.47044,-19.747,NA,NA,NA,NA,NA,NA,NA,NA
12496,1.53827,1.61043,-5,NA,NA,NA,NA,NA,-33.157,NA,NA,NA
12763,2.11876,2.0653,-3.89821,NA,NA,NA,NA,-34.826,NA,NA,NA,NA
12888,1.1962,0.94747,-5,NA,-54.832,NA,NA,NA,NA,NA,NA,NA
13099,1.33469,1.47158,-4.2873,NA,NA,NA,-13.084,NA,NA,NA,NA,NA
13375,1.57234,1.27345,-5,NA,NA,NA,-31.509,NA,NA,NA,NA,NA
13573,1.69263,1.4244,-5,NA,-17.993,NA,NA,NA,NA,NA,NA,NA
13791,2.68549,1.99399,-4.20218,-31.193,NA,NA,NA,NA,NA,NA,NA,NA
13930,2.28669,1.80625,-5,NA,-21.573,NA,NA,NA,NA,NA,NA,NA
14028,1.92386,1.61853,-4.55088,NA,NA,NA,NA,-26.063,NA,NA,NA,NA
14272,0.245892,1.94797,-4.23643,NA,NA,NA,NA,-82.007,NA,NA,NA,NA
14557,1.51564,1.43207,-4.79383,NA,-11.514,NA,NA,NA,NA,NA,NA,NA
14752,2.58576,1.55521,-4.96451,NA,-28.707,NA,NA,NA,NA,NA,NA,NA
14819,1.8681,1.34974,-4.85167,NA,NA,NA,-17.538,NA,NA,NA,NA,NA
