id,x0,x1,x2,fitness-4,fitness-2.5,fitness-1.5,fitness-3,fitness-2,fitness-3.5,fitness-1,fitness-4.5,fitness-5,fitness-0.5
111,4.89041,-0.623347,-2.82514,-431.388,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,5,0.0395095,-3.71378,NA,-293.965,NA,NA,NA,NA,NA,NA,NA,NA
515,5,0.647991,-4.78125,NA,NA,-251.983,NA,NA,NA,NA,NA,NA,NA
753,4.60163,1.16231,-5,NA,-180.771,NA,NA,NA,NA,NA,NA,NA,NA
999,2.50186,2.35894,-4.26875,NA,-26.503,NA,NA,NA,NA,NA,NA,NA,NA
1188,2.09977,1.87495,-4.30253,NA,NA,NA,-9.684,NA,NA,NA,NA,NA,NA
1204,1.45254,2.56273,-3.1491,NA,-57.862,NA,NA,NA,NA,NA,NA,NA,NA
1535,0.65444,3.07032,-3.61177,NA,NA,NA,NA,-96.146,NA,NA,NA,NA,NA
1668,0.695247,2.3674,-3.4622,NA,-60.933,NA,NA,NA,NA,NA,NA,NA,NA
1930,0.816991,0.868966,-4.08087,NA,NA,NA,NA,-102.937,NA,NA,NA,NA,NA
2189,1.41234,1.51435,-4.82238,NA,-14.287,NA,NA,NA,NA,NA,NA,NA,NA
2229,1.9706,2.06899,-4.83938,NA,NA,NA,-14.971,NA,NA,NA,NA,NA,NA
2547,1.24749,2.05195,-5,NA,NA,NA,NA,NA,-47.584,NA,NA,NA,NA
2655,1.64002,1.22172,-5,NA,NA,-48.834,NA,NA,NA,NA,NA,NA,NA
2853,0.172976,1.77492,-5,NA,NA,NA,NA,-83.843,NA,NA,NA,NA,NA
3136,1.55526,1.54963,-4.56248,NA,-5.489,NA,NA,NA,NA,NA,NA,NA,NA
3340,1.48457,1.25184,-4.17581,NA,NA,NA,NA,-25.174,NA,NA,NA,NA,NA
3580,2.16464,1.2786,-4.7158,NA,-15.355,NA,NA,NA,NA,NA,NA,NA,NA
3662,2.6643,1.0026,-5,NA,NA,NA,-51.385,NA,NA,NA,NA,NA,NA
3975,2.45985,0.505498,-5,NA,NA,NA,NA,-94.979,NA,NA,NA,NA,NA
4041,3.47203,1.66885,-5,NA,NA,NA,NA,-78.275,NA,NA,NA,NA,NA
4208,1.83514,1.08963,-5,NA,NA,NA,NA,-32.449,NA,NA,NA,NA,NA
4451,1.53463,1.56834,-4.77465,NA,NA,NA,NA,NA,-23.703,NA,NA,NA,NA
4790,2.00183,0.645814,-5,NA,NA,NA,NA,NA,-79.159,NA,NA,NA,NA
4990,2.62758,1.96789,-5,NA,NA,NA,NA,NA,-43.932,NA,NA,NA,NA
5079,1.79822,1.28684,-5,NA,NA,NA,-26.395,NA,NA,NA,NA,NA,NA
5391,1.74007,2.63275,-5,NA,NA,NA,NA,-36.283,NA,NA,NA,NA,NA
5419,1.02723,2.38494,-4.47757,NA,NA,NA,NA,NA,-55.583,NA,NA,NA,NA
5697,2.20077,2.22858,-3.44203,-87.774,NA,NA,NA,NA,NA,NA,NA,NA,NA
5862,0.87021,1.99155,-4.21345,NA,NA,NA,-29.36,NA,NA,NA,NA,NA,NA
6026,1.628,2.1882,-3.64181,NA,NA,NA,-28.254,NA,NA,NA,NA,NA,NA
6273,2.27098,1.17113,-4.51451,NA,NA,NA,-29.275,NA,NA,NA,NA,NA,NA
6427,1.54065,1.2977,-4.19844,NA,-6.161,NA,NA,NA,NA,NA,NA,NA,NA
6744,1.56276,0.805485,-3.69902,NA,NA,NA,NA,NA,-65.637,NA,NA,NA,NA
6990,0.770518,1.88977,-3.84195,NA,NA,NA,NA,-41.463,NA,NA,NA,NA,NA
7178,0.679806,3.00367,-5,NA,NA,NA,-76.572,NA,NA,NA,NA,NA,NA
7323,2.01962,2.08572,-4.68079,NA,-11.805,NA,NA,NA,NA,NA,NA,NA,NA
7575,2.27813,1.70228,-4.92896,NA,NA,NA,NA,-21.124,NA,NA,NA,NA,NA
7789,2.45264,2.2376,-5,NA,-31.304,NA,NA,NA,NA,NA,NA,NA,NA
7843,2.07965,2.08104,-5,NA,NA,NA,NA,NA,-42.219,NA,NA,NA,NA
8180,1.47776,1.11218,-4.2564,NA,NA,NA,NA,NA,-33.406,NA,NA,NA,NA
8261,1.3602,2.96119,-3.96062,NA,-47.589,NA,NA,NA,NA,NA,NA,NA,NA
8539,2.08365,2.5164,-4.56539,NA,-23.187,NA,NA,NA,NA,NA,NA,NA,NA
8739,2.56738,0.557824,-5,NA,NA,NA,NA,-89.791,NA,NA,NA,NA,NA
8971,2.13513,0.99464,-4.46009,NA,NA,NA,NA,NA,NA,-92.863,NA,NA,NA
9071,1.01732,0.942492,-4.16865,NA,NA,NA,NA,-71.976,NA,NA,NA,NA,NA
