id,x0,x1,x2,fitness-1,fitness-1.5,fitness-3,fitness-3.5,fitness-2.5,fitness-2,fitness-4
84,1.12557,-0.143466,-4.01897,-352.073,NA,NA,NA,NA,NA,NA
355,1.62611,0.75121,-3.55835,NA,-91.988,NA,NA,NA,NA,NA
527,2.25262,1.19629,-3.63447,NA,NA,-31.441,NA,NA,NA,NA
783,1.9902,1.76011,-5,NA,NA,NA,-47.077,NA,NA,NA
887,1.71569,1.86178,-5,NA,NA,NA,-39.536,NA,NA,NA
1151,1.58355,2.54618,-5,NA,NA,NA,-54.607,NA,NA,NA
1378,2.12426,1.96112,-4.17405,NA,-22.968,NA,NA,NA,NA,NA
1431,0.987277,2.53225,-4.69237,NA,NA,NA,NA,-37.352,NA,NA
1763,1.61446,1.98858,-4.60266,NA,NA,NA,NA,-7.425,NA,NA
1898,2.01184,1.493,-3.84113,NA,NA,NA,NA,-11.514,NA,NA
2173,1.50215,1.91824,-5,NA,NA,NA,NA,-19.172,NA,NA
2220,1.5995,1.72325,-4.06059,NA,NA,NA,NA,NA,-10.687,NA
2411,2.44598,1.694,-3.93474,NA,NA,-28.76,NA,NA,NA,NA
2794,1.69511,2.25362,-4.71545,NA,NA,-24.846,NA,NA,NA,NA
2879,2.0601,1.76458,-5,NA,NA,NA,NA,NA,-19.863,NA
3021,1.50743,1.12239,-4.75794,NA,NA,NA,NA,-20.847,NA,NA
3350,2.63296,1.37224,-4.01347,NA,NA,NA,NA,-27.052,NA,NA
3458,2.22361,1.90425,-3.96629,NA,NA,-14.51,NA,NA,NA,NA
3636,1.80599,1.92189,-3.59676,NA,NA,NA,-32.721,NA,NA,NA
3999,2.06265,2.334,-5,NA,NA,NA,NA,NA,-32.863,NA
4025,1.59636,1.59465,-5,NA,NA,NA,NA,NA,-21.607,NA
4326,1.2768,1.74742,-4.95565,NA,NA,NA,NA,-20.034,NA,NA
4491,1.48827,1.22518,-3.64263,NA,NA,NA,NA,NA,-38.946,NA
4698,1.48451,1.93249,-3.9993,NA,NA,NA,NA,NA,-16.482,NA
4914,2.36133,2.06058,-4.18766,NA,NA,NA,NA,NA,-16.79,NA
5199,2.30902,1.50831,-4.77476,NA,NA,NA,NA,-15.157,NA,NA
5360,1.74504,1.26953,-4.13642,NA,NA,NA,NA,NA,-16.077,NA
5571,1.61842,2.15724,-5,NA,NA,NA,NA,-20.737,NA,NA
5684,1.37497,1.87831,-5,NA,NA,NA,NA,-20.381,NA,NA
5819,1.57882,1.55759,-4.77523,NA,NA,NA,NA,NA,-11.088,NA
6040,1.09367,1.52988,-4.11494,NA,NA,-22.216,NA,NA,NA,NA
6249,1.61049,1.41125,-4.46722,NA,NA,-13.976,NA,NA,NA,NA
6405,1.44659,1.83106,-3.89032,NA,NA,NA,NA,-12.245,NA,NA
6618,1.68058,2.01242,-4.89935,NA,NA,NA,NA,NA,NA,-48.658
6910,2.12741,1.95561,-4.14264,NA,NA,NA,NA,-9.547,NA,NA
7051,1.47367,1.8184,-4.4955,NA,NA,NA,NA,NA,-18.358,NA
7387,1.55823,1.26955,-4.43829,NA,NA,NA,NA,-8.698,NA,NA
7562,1.53183,1.2597,-4.20111,NA,NA,NA,NA,-8.791,NA,NA
7791,2.0596,1.09136,-4.87689,NA,NA,-25.201,NA,NA,NA,NA
7856,1.19243,1.44457,-5,NA,NA,NA,NA,-30.246,NA,NA
8175,1.6946,1.12877,-4.33049,NA,NA,NA,NA,NA,-14.01,NA
8297,2.27817,1.41049,-4.88347,NA,NA,NA,NA,NA,-24.042,NA
8412,2.16579,1.42332,-3.66619,NA,NA,NA,NA,-19.974,NA,NA
8692,2.2264,1.66992,-4.78418,NA,-26.772,NA,NA,NA,NA,NA
8961,1.87543,2.46942,-4.14951,NA,NA,NA,NA,-19.687,NA,NA
9136,1.86799,2.15332,-5,NA,NA,-23.572,NA,NA,NA,NA
9233,1.77424,2.09746,-5,NA,NA,-19.365,NA,NA,NA,NA
9405,2.01533,1.60523,-5,NA,NA,NA,NA,-16.695,NA,NA
9715,1.69857,2.18175,-4.55179,NA,NA,-15.064,NA,NA,NA,NA
9908,1.07428,1.42959,-3.9998,NA,NA,NA,NA,-22.896,NA,NA
10082,1.56972,2.26075,-5,NA,NA,NA,-40.413,NA,NA,NA
10396,2.32414,1.66005,-5,NA,NA,NA,NA,-22.158,NA,NA
10538,1.77992,1.79285,-5,NA,NA,NA,NA,-14.993,NA,NA
10637,1.00706,1.2719,-4.56934,NA,NA,NA,NA,-30.112,NA,NA
10995,1.67037,1.45266,-4.66363,NA,NA,-10.341,NA,NA,NA,NA
11134,1.45213,2.04203,-3.7384,NA,NA,NA,NA,NA,-20.682,NA
11299,1.90806,2.63402,-4.41289,NA,-45.824,NA,NA,NA,NA,NA
11502,1.29279,2.2708,-4.14908,NA,NA,NA,NA,-18.242,NA,NA
11747,1.7376,1.78279,-4.12856,NA,NA,NA,-25.538,NA,NA,NA
11998,1.59748,1.68031,-3.99981,NA,NA,NA,NA,NA,-8.158,NA
12058,1.73502,1.06681,-5,NA,NA,NA,NA,NA,-41.349,NA
12396,1.72278,1.83,-4.72513,NA,-28.319,NA,NA,NA,NA,NA
12556,2.74246,1.58694,-4.40679,NA,NA,NA,NA,-26.146,NA,NA
12727,1.53703,1.86125,-4.60438,NA,NA,NA,NA,-7.135,NA,NA
12882,1.70091,2.06933,-4.98333,NA,NA,NA,NA,-17.47,NA,NA
13136,1.34028,2.05273,-5,NA,NA,-23.193,NA,NA,NA,NA
13207,1.48967,1.87596,-4.36371,NA,NA,NA,NA,-4.96,NA,NA
13532,1.53735,1.54579,-4.41386,NA,NA,NA,NA,-3.117,NA,NA
13687,2.14013,1.67461,-4.03678,NA,NA,NA,NA,-7.655,NA,NA
13892,2.89754,1.42972,-4.33677,NA,NA,-39.243,NA,NA,NA,NA
14032,1.96445,1.29843,-5,NA,NA,-22.807,NA,NA,NA,NA
14351,1.81626,1.20666,-4.89379,NA,NA,-27.569,NA,NA,NA,NA
14577,2.06777,1.68129,-4.57687,NA,NA,-9.742,NA,NA,NA,NA
14772,2.06829,1.48956,-5,NA,NA,NA,NA,-17.662,NA,NA
14933,2.1548,2.14712,-4.68322,NA,NA,NA,NA,NA,-18.529,NA
15169,1.23783,1.87698,-5,NA,NA,NA,NA,-23.962,NA,NA
15391,1.5235,2.06176,-4.45166,NA,NA,-18.55,NA,NA,NA,NA
15536,1.90114,2.16727,-5,NA,NA,NA,NA,-19.73,NA,NA
15666,2.17921,2.12687,-4.85739,NA,NA,NA,-33.532,NA,NA,NA
15827,2.08439,2.07233,-5,NA,NA,NA,NA,-20.472,NA,NA
16178,1.86758,2.33565,-4.77064,NA,NA,-24.383,NA,NA,NA,NA
16277,1.56318,2.21835,-5,NA,NA,NA,NA,NA,-25.426,NA
16535,2.01297,1.53885,-5,NA,NA,NA,NA,-16.142,NA,NA
16703,1.48962,2.38042,-4.44301,NA,NA,NA,NA,-17.498,NA,NA
16961,2.1882,1.71426,-5,NA,NA,NA,-31.487,NA,NA,NA
17193,2.35092,1.93213,-5,NA,NA,NA,-35.67,NA,NA,NA
17235,1.8758,1.3787,-4.52838,NA,NA,-7.896,NA,NA,NA,NA
17549,2.45137,1.69801,-5,NA,-37.386,NA,NA,NA,NA,NA
17660,1.95035,1.70682,-4.16366,NA,NA,-4.973,NA,NA,NA,NA
17959,1.57888,1.45676,-3.72068,NA,NA,-18.671,NA,NA,NA,NA
18186,1.93277,1.23224,-4.54466,NA,NA,NA,NA,-9.514,NA,NA
18388,1.72231,2.01727,-4.00361,NA,NA,NA,NA,-8.747,NA,NA
18451,1.89268,1.65588,-4.61223,NA,NA,-10.221,NA,NA,NA,NA
18737,1.58582,1.37914,-5,NA,NA,-25.666,NA,NA,NA,NA
18885,1.84101,2.48384,-5,NA,NA,NA,NA,-29.147,NA,NA
19102,1.6449,2.09229,-4.77916,NA,-29.558,NA,NA,NA,NA,NA
19342,1.83501,1.72124,-5,NA,NA,NA,NA,-15.778,NA,NA
19538,2.22032,1.86496,-3.97584,NA,NA,-15.549,NA,NA,NA,NA
19715,1.53347,1.75893,-4.07147,NA,NA,-6.701,NA,NA,NA,NA
19842,1.57938,1.09303,-3.77619,NA,NA,-31.371,NA,NA,NA,NA
20145,1.72032,2.10603,-4.05597,NA,NA,NA,NA,NA,-19.216,NA
20394,1.79618,1.10208,-4.09442,NA,NA,NA,NA,NA,-16.062,NA
20427,1.58103,1.20357,-4.62097,NA,NA,-19.295,NA,NA,NA,NA
20688,1.61894,1.42267,-5,NA,NA,NA,NA,NA,-23.583,NA
20848,1.31077,1.97977,-5,NA,NA,NA,NA,-22.526,NA,NA
21069,0.957536,2.04178,-5,NA,NA,NA,NA,-34.456,NA,NA
21332,1.71164,1.49152,-3.93678,NA,NA,-13.869,NA,NA,NA,NA
21570,1.81044,1.22726,-5,NA,NA,NA,NA,-22.513,NA,NA
21762,2.01695,1.92436,-4.88411,NA,-27.018,NA,NA,NA,NA,NA
21977,2.60589,1.99834,-5,NA,NA,NA,NA,-31.224,NA,NA
22078,2.06289,1.98619,-3.97621,NA,NA,-20.44,NA,NA,NA,NA
22306,1.62817,1.66637,-4.1094,NA,NA,NA,-19.383,NA,NA,NA
22531,1.69486,2.18957,-4.48439,NA,NA,-20.79,NA,NA,NA,NA
22720,2.13664,1.97716,-4.81404,NA,NA,NA,NA,-13.782,NA,NA
22943,2.21316,2.79378,-4.54538,NA,NA,NA,NA,-37.46,NA,NA
23069,1.81119,1.33463,-5,NA,NA,-22.334,NA,NA,NA,NA
23341,1.39906,1.90447,-4.94848,NA,NA,NA,NA,NA,-21.408,NA
23452,1.53726,1.57806,-4.74411,NA,NA,NA,NA,NA,-10.523,NA
23681,1.40564,1.94405,-3.92677,NA,NA,NA,NA,-11.84,NA,NA
23892,1.70349,1.00337,-3.8602,NA,NA,NA,NA,-27.191,NA,NA
24190,1.35549,0.86916,-4.42513,NA,NA,NA,-53.95,NA,NA,NA
24375,1.50171,1.8986,-4.6159,NA,NA,-16.978,NA,NA,NA,NA
24519,1.82603,1.79403,-3.97081,NA,NA,-7.042,NA,NA,NA,NA
24795,1.88816,2.28213,-4.14103,NA,NA,NA,NA,NA,-16.747,NA
24961,2.06358,1.8212,-4.54576,NA,-27.888,NA,NA,NA,NA,NA
25107,3.03038,1.46669,-4.46363,NA,NA,-43.073,NA,NA,NA,NA
25206,1.78433,1.83223,-4.34153,NA,NA,-4.704,NA,NA,NA,NA
25520,1.61064,1.68708,-5,NA,NA,-24.394,NA,NA,NA,NA
25622,2.56343,2.31181,-4.71825,NA,NA,NA,NA,-30.48,NA,NA
25937,2.34513,1.73895,-5,NA,NA,NA,-43.917,NA,NA,NA
26097,1.37012,1.55212,-5,NA,NA,-27.589,NA,NA,NA,NA
26223,1.71421,1.53479,-4.81778,NA,NA,NA,NA,-9.024,NA,NA
26428,1.61748,1.97252,-5,NA,NA,NA,NA,NA,-22.885,NA
26699,2.43435,1.79817,-5,NA,NA,NA,NA,-24.644,NA,NA
26853,2.27569,2.05253,-5,NA,NA,NA,NA,NA,-24.626,NA
27194,2.31649,1.66174,-5,NA,NA,-22.693,NA,NA,NA,NA
27291,2.08044,1.02667,-3.9649,NA,NA,-23.998,NA,NA,NA,NA
27422,1.52955,2.01157,-5,NA,NA,-20.936,NA,NA,NA,NA
27794,2.26069,2.41733,-4.01379,NA,NA,NA,NA,-24.437,NA,NA
27983,1.71224,1.42643,-4.80764,NA,NA,NA,NA,-11.29,NA,NA
28017,2.24611,1.63218,-5,NA,NA,-20.426,NA,NA,NA,NA
28229,2.15986,2.29736,-4.34534,NA,NA,NA,NA,-15.826,NA,NA
28561,1.28674,1.72691,-3.5178,NA,NA,NA,NA,-27.902,NA,NA
28750,1.07391,1.84164,-4.01082,NA,NA,NA,NA,-21.569,NA,NA
28990,1.44193,1.85131,-4.90191,NA,NA,NA,NA,NA,-21.672,NA
29083,1.76905,1.91086,-4.1376,NA,-24.634,NA,NA,NA,NA,NA
29235,2.11089,2.0141,-3.94233,NA,NA,NA,NA,NA,-22.631,NA
29552,1.69036,1.53264,-3.96877,NA,NA,NA,NA,-5.394,NA,NA
29788,2.19263,1.87103,-3.30802,NA,NA,NA,NA,-35.895,NA,NA
29906,1.9166,2.61756,-4.30982,NA,NA,NA,NA,-25.356,NA,NA
30189,1.50623,1.89758,-4.2394,NA,NA,NA,NA,NA,-7.7,NA
30290,1.70031,1.67277,-4.30274,NA,NA,-3.381,NA,NA,NA,NA
30481,1.94531,1.9361,-4.47067,NA,NA,NA,NA,NA,-12.902,NA
30798,2.06254,1.52504,-3.80204,NA,NA,NA,NA,-12.366,NA,NA
30815,1.73492,2.10557,-4.60427,NA,NA,NA,NA,NA,-15.561,NA
31181,1.96284,2.10924,-4.985,NA,NA,NA,NA,-19.027,NA,NA
31203,1.31199,2.12342,-4.85786,NA,NA,NA,NA,-20.741,NA,NA
31475,1.46861,1.63023,-3.9698,NA,NA,NA,NA,NA,-11.505,NA
31712,1.14046,1.30743,-5,NA,NA,NA,NA,NA,-39.94,NA
31802,1.72919,1.6317,-5,NA,NA,NA,NA,-15.313,NA,NA
32164,2.1256,1.68717,-5,NA,NA,-21.52,NA,NA,NA,NA
32272,2.33139,0.854313,-4.30987,NA,NA,NA,NA,-35.102,NA,NA
32457,1.98877,1.38891,-4.97142,NA,NA,NA,NA,NA,-24.444,NA
32687,1.84479,2.36659,-5,NA,NA,NA,NA,NA,-27.05,NA
32924,1.69709,0.914367,-4.82995,NA,NA,NA,NA,NA,-39.892,NA
33053,1.66571,1.28694,-4.11984,NA,-31.849,NA,NA,NA,NA,NA
33303,1.68059,1.04819,-4.046,NA,NA,NA,NA,-19.551,NA,NA
33467,2.06257,2.02232,-3.97639,NA,NA,NA,NA,-11.201,NA,NA
33612,2.44541,1.69415,-4.46594,NA,NA,NA,NA,NA,-15.913,NA
33980,2.53475,1.51752,-4.20736,NA,NA,-19.549,NA,NA,NA,NA
34175,1.99004,1.57264,-5,NA,NA,-23.77,NA,NA,NA,NA
34350,1.56671,2.25843,-4.57463,NA,NA,NA,NA,-14.259,NA,NA
34510,2.02285,1.73851,-4.32247,NA,NA,-8.826,NA,NA,NA,NA
34716,1.49205,2.56712,-4.13343,NA,NA,-26.551,NA,NA,NA,NA
34857,1.34976,1.64538,-3.93847,NA,NA,NA,NA,-12.236,NA,NA
35063,1.51889,1.89264,-4.4258,NA,NA,NA,NA,NA,-7.506,NA
35385,1.27577,2.18766,-3.99705,NA,NA,NA,NA,NA,-26.925,NA
35449,1.48253,1.64448,-4.82154,NA,NA,-15.975,NA,NA,NA,NA
35773,2.44686,2.2969,-4.72995,NA,NA,-29.642,NA,NA,NA,NA
35964,1.12145,1.76867,-4.5702,NA,NA,NA,-32.127,NA,NA,NA
36042,1.16972,2.08097,-4.32673,NA,NA,-27.377,NA,NA,NA,NA
36273,2.19209,1.56889,-4.819,NA,NA,NA,NA,NA,-19.694,NA
36581,1.73152,1.69104,-4.87633,NA,NA,NA,NA,-10.166,NA,NA
36650,1.17322,2.22621,-4.69747,NA,NA,NA,NA,-22.4,NA,NA
