id,x0,x1,x2,fitness-2.5,fitness-3.5,fitness-4,fitness-4.5,fitness-5,fitness-3
173,-4.04089,2.10127,-4.96456,-304.136,NA,NA,NA,NA,NA
368,-3.62091,3.47997,-5,NA,-140.041,NA,NA,NA,NA
597,-3.58296,3.67794,-4.8915,NA,NA,-122.333,NA,NA,NA
772,-2.54942,3.94574,-5,NA,-70.259,NA,NA,NA,NA
986,-2.19291,4.74252,-5,NA,NA,NA,-61.765,NA,NA
1197,-2.29817,4.22261,-5,NA,NA,NA,-53.938,NA,NA
1221,-1.26338,3.51889,-5,NA,NA,-56.317,NA,NA,NA
1510,-1.56206,3.11171,-5,NA,NA,-77.241,NA,NA,NA
1731,-2.44503,4.31172,-5,NA,NA,NA,NA,-56.137,NA
1996,-1.23838,4.0903,-5,NA,NA,-32.87,NA,NA,NA
2036,-1.74371,3.48949,-4.85549,NA,NA,NA,-26.409,NA,NA
2252,-1.31958,3.50846,-4.34433,NA,NA,NA,NA,-56.647,NA
2523,-1.38521,3.73738,-4.73735,NA,NA,NA,NA,-30.936,NA
2669,-2.28905,4.16028,-5,NA,NA,NA,-50.976,NA,NA
2828,-1.69741,4.77087,-4.47117,NA,NA,NA,NA,-62.676,NA
3129,-2.00861,4.35064,-4.31082,NA,NA,NA,NA,-47.475,NA
3377,-2.10345,4.58154,-4.54416,NA,NA,NA,-59.438,NA,NA
3517,-1.43614,5,-3.79869,NA,NA,NA,NA,-126.277,NA
3724,-1.64984,5,-5,NA,NA,NA,NA,-73.363,NA
3824,-1.70845,4.04433,-5,NA,NA,NA,NA,-43.919,NA
4095,-1.64023,4.12396,-5,NA,NA,NA,NA,-40.33,NA
4375,-1.37295,4.32336,-5,NA,NA,-38.986,NA,NA,NA
4498,-1.52612,4.10812,-5,NA,NA,NA,NA,-48.485,NA
4688,-1.78238,3.345,-4.71013,NA,NA,NA,NA,-43.457,NA
4955,-1.618,4.19342,-5,NA,NA,NA,NA,-40.38,NA
5077,-1.71821,3.80281,-4.67868,NA,NA,NA,-9.503,NA,NA
5385,-1.35463,4.00607,-5,NA,NA,NA,NA,-33.12,NA
5531,-0.904042,4.27914,-5,NA,NA,NA,-73.65,NA,NA
5723,-1.35203,3.9784,-5,NA,NA,NA,-19.594,NA,NA
5819,-1.46925,3.74093,-4.76127,NA,NA,NA,NA,-33.283,NA
6091,-1.20808,3.99074,-5,NA,NA,NA,NA,-57.967,NA
6237,-1.36497,4.35652,-5,NA,NA,NA,NA,-73.26,NA
6473,-2.7619,3.92268,-5,NA,NA,NA,NA,-65.681,NA
6787,-2.12948,4.06383,-4.78577,NA,-65.861,NA,NA,NA,NA
6885,-1.94201,4.13748,-4.55304,NA,NA,-40.734,NA,NA,NA
7112,-2.27232,3.99801,-4.68301,NA,NA,NA,NA,-56.869,NA
7385,-2.03219,5,-5,NA,NA,NA,NA,-81.824,NA
7571,-1.46377,3.99462,-5,NA,NA,NA,NA,-42.979,NA
7608,-2.42806,4.18779,-5,NA,NA,NA,NA,-53.466,NA
7914,-1.46213,4.05444,-5,NA,NA,NA,NA,-48.591,NA
8036,-1.42191,3.00229,-5,NA,NA,NA,NA,-61.168,NA
8246,-1.65822,3.99641,-5,NA,NA,NA,NA,-46.976,NA
8523,-2.27807,5,-5,NA,NA,NA,NA,-75.092,NA
8788,-2.56488,3.96939,-5,NA,NA,-63.006,NA,NA,NA
8841,-2.55061,3.77968,-5,NA,NA,-63.349,NA,NA,NA
9139,-2.49081,4.9556,-5,NA,NA,NA,NA,-82.987,NA
