id,x0,x1,x2,fitness-4.5,fitness-5,fitness-3.5,fitness-4,fitness-3,fitness-2.5,fitness-1.5,fitness-2
175,0.918091,4.24092,-4.89772,-485.46,NA,NA,NA,NA,NA,NA,NA
282,0.0173993,2.45933,-3.71371,NA,-402.27,NA,NA,NA,NA,NA,NA
486,-1.76201,2.62393,-3.67754,NA,-135.343,NA,NA,NA,NA,NA,NA
601,-1.66915,3.78314,-5,NA,-53.295,NA,NA,NA,NA,NA,NA
801,-1.46392,5,-5,NA,NA,-118.778,NA,NA,NA,NA,NA
1008,-2.13195,4.89574,-5,NA,-72.731,NA,NA,NA,NA,NA,NA
1213,-3.01023,3.60185,-4.97335,-77.407,NA,NA,NA,NA,NA,NA,NA
1539,-1.67633,4.83454,-5,NA,NA,NA,-78.948,NA,NA,NA,NA
1732,-1.45023,5,-4.05402,NA,NA,NA,-111.534,NA,NA,NA,NA
1840,-2.20371,5,-3.99297,-94.267,NA,NA,NA,NA,NA,NA,NA
2177,-2.88982,5,-4.70788,NA,-98.249,NA,NA,NA,NA,NA,NA
2334,-4.43286,5,-4.58931,NA,-223.422,NA,NA,NA,NA,NA,NA
2521,-3.32796,3.87883,-4.17891,NA,NA,-130.651,NA,NA,NA,NA,NA
2643,-4.26125,3.64614,-5,-166.945,NA,NA,NA,NA,NA,NA,NA
2958,-3.5819,3.73085,-5,NA,-119.006,NA,NA,NA,NA,NA,NA
3035,-3.62546,3.3115,-3.77212,NA,-140.848,NA,NA,NA,NA,NA,NA
3360,-3.85653,3.3461,-4.53588,NA,NA,NA,-142.459,NA,NA,NA,NA
3526,-2.35031,4.01738,-4.35238,NA,NA,NA,-64.07,NA,NA,NA,NA
3722,-2.26628,3.89349,-4.3209,-68.729,NA,NA,NA,NA,NA,NA,NA
3989,-1.78455,3.308,-5,NA,NA,NA,-35.39,NA,NA,NA,NA
4171,-2.9459,3.01371,-3.95797,NA,NA,NA,-123.795,NA,NA,NA,NA
4247,-2.29381,4.75024,-4.09067,NA,-81.489,NA,NA,NA,NA,NA,NA
4547,-0.843675,5,-4.56839,NA,-115.124,NA,NA,NA,NA,NA,NA
4783,-1.59487,5,-3.89261,NA,-100.993,NA,NA,NA,NA,NA,NA
4890,-1.26579,3.10837,-3.82298,NA,NA,NA,-164.485,NA,NA,NA,NA
5060,-2.11639,3.96596,-5,NA,-46.005,NA,NA,NA,NA,NA,NA
5254,-0.939181,4.09891,-4.73701,NA,-77.538,NA,NA,NA,NA,NA,NA
5557,-1.69737,4.26275,-4.7213,NA,-36.463,NA,NA,NA,NA,NA,NA
5680,-1.2097,4.38477,-5,-56.435,NA,NA,NA,NA,NA,NA,NA
5973,-1.78713,2.98289,-5,NA,NA,NA,NA,-130.596,NA,NA,NA
6116,-2.4406,4.77911,-5,NA,NA,NA,-88.515,NA,NA,NA,NA
6348,-3.24795,4.86352,-5,NA,NA,-121.435,NA,NA,NA,NA,NA
6571,-2.91099,5,-4.92014,NA,NA,-103.818,NA,NA,NA,NA,NA
6664,-3.95683,4.85167,-5,-161.794,NA,NA,NA,NA,NA,NA,NA
6976,-2.61903,5,-5,NA,NA,NA,-85.207,NA,NA,NA,NA
7087,-1.92263,5,-5,NA,NA,NA,-75.435,NA,NA,NA,NA
7221,-2.05367,5,-5,-69.998,NA,NA,NA,NA,NA,NA,NA
7502,-2.48236,5,-5,NA,NA,NA,-82.369,NA,NA,NA,NA
7682,-2.04239,4.11817,-4.61923,-37.385,NA,NA,NA,NA,NA,NA,NA
7958,-2.98653,4.75885,-5,NA,-98.887,NA,NA,NA,NA,NA,NA
8018,-3.03046,4.35695,-4.71616,NA,-81.847,NA,NA,NA,NA,NA,NA
8288,-2.31257,5,-4.64397,NA,-80.162,NA,NA,NA,NA,NA,NA
8537,-2.33566,5,-5,NA,-77.377,NA,NA,NA,NA,NA,NA
8720,-1.66217,4.28628,-3.94026,NA,-68.693,NA,NA,NA,NA,NA,NA
8868,-1.94887,2.83862,-4.95557,-84.997,NA,NA,NA,NA,NA,NA,NA
9007,-2.6956,4.08528,-4.70506,-60.422,NA,NA,NA,NA,NA,NA,NA
9258,-3.0982,3.6033,-5,-82.266,NA,NA,NA,NA,NA,NA,NA
9429,-2.427,2.40631,-4.04597,NA,-144.577,NA,NA,NA,NA,NA,NA
9767,-3.01967,3.33551,-4.12576,NA,-107.499,NA,NA,NA,NA,NA,NA
9888,-4.17727,4.14569,-3.92326,NA,-185.971,NA,NA,NA,NA,NA,NA
10148,-1.49824,3.63821,-4.59749,NA,-49.046,NA,NA,NA,NA,NA,NA
10305,-2.33673,4.93011,-5,NA,-77.98,NA,NA,NA,NA,NA,NA
10495,-1.37489,5,-5,-76.539,NA,NA,NA,NA,NA,NA,NA
10698,-1.85946,4.09323,-4.79476,NA,NA,NA,-38.217,NA,NA,NA,NA
10947,-2.61419,4.54723,-3.51583,NA,-114.211,NA,NA,NA,NA,NA,NA
11077,-2.61518,5,-3.63405,-116.541,NA,NA,NA,NA,NA,NA,NA
11340,-3.4218,5,-4.62297,-125.344,NA,NA,NA,NA,NA,NA,NA
11558,-2.23296,5,-4.44735,NA,-86.996,NA,NA,NA,NA,NA,NA
11752,-3.23145,4.51724,-3.69333,NA,-129.056,NA,NA,NA,NA,NA,NA
11932,-2.18706,5,-4.40407,NA,-85.62,NA,NA,NA,NA,NA,NA
12062,-2.14271,4.63998,-4.77545,NA,-61.258,NA,NA,NA,NA,NA,NA
12324,-2.0519,5,-5,NA,-81.607,NA,NA,NA,NA,NA,NA
12548,-2.2369,5,-4.81441,NA,-75.72,NA,NA,NA,NA,NA,NA
12624,-1.39395,5,-4.8267,-79.27,NA,NA,NA,NA,NA,NA,NA
12834,-2.50733,4.8023,-4.87651,-74.682,NA,NA,NA,NA,NA,NA,NA
13047,-1.97738,4.98454,-5,NA,-79.989,NA,NA,NA,NA,NA,NA
13297,-1.98079,3.33732,-4.38616,NA,-43.389,NA,NA,NA,NA,NA,NA
13557,-1.24884,3.22066,-3.80969,NA,-144.385,NA,NA,NA,NA,NA,NA
13726,-1.18203,2.60519,-4.8509,NA,NA,NA,-157.009,NA,NA,NA,NA
13833,-0.762274,2.34173,-4.02379,NA,-265.704,NA,NA,NA,NA,NA,NA
14030,-2.24842,4.6106,-4.34376,NA,-64.526,NA,NA,NA,NA,NA,NA
14384,-1.83842,4.45394,-4.0041,-75.943,NA,NA,NA,NA,NA,NA,NA
14498,-1.37061,3.42055,-5,NA,NA,NA,-60.393,NA,NA,NA,NA
14763,-0.864107,3.18653,-5,-98.227,NA,NA,NA,NA,NA,NA,NA
14986,-1.67591,4.31243,-3.78152,NA,-64.403,NA,NA,NA,NA,NA,NA
15004,-1.82873,3.49179,-5,NA,-45.308,NA,NA,NA,NA,NA,NA
15320,-3.86329,5,-4.46136,NA,-168.591,NA,NA,NA,NA,NA,NA
15586,-4.24368,5,-4.39782,-199.305,NA,NA,NA,NA,NA,NA,NA
15698,-2.2811,5,-4.61132,NA,-81.187,NA,NA,NA,NA,NA,NA
15846,-2.41615,5,-5,-81.968,NA,NA,NA,NA,NA,NA,NA
16114,-2.1674,4.27406,-5,NA,NA,-95.689,NA,NA,NA,NA,NA
16249,-2.27775,4.17099,-5,NA,NA,-96.898,NA,NA,NA,NA,NA
16427,-1.27461,4.36882,-5,NA,NA,-109.701,NA,NA,NA,NA,NA
16626,-2.39707,3.69209,-4.8497,NA,NA,NA,-77.393,NA,NA,NA,NA
16925,-1.83383,4.25859,-5,-38.443,NA,NA,NA,NA,NA,NA,NA
17175,-1.11618,5,-4.06091,NA,NA,NA,-133.245,NA,NA,NA,NA
17341,-1.85295,4.48287,-5,-48.067,NA,NA,NA,NA,NA,NA,NA
17596,-2.05503,4.79008,-5,NA,NA,-105.357,NA,NA,NA,NA,NA
17744,-2.93021,5,-5,NA,NA,NA,NA,-140.488,NA,NA,NA
17819,-3.90116,3.93176,-4.25744,NA,NA,-166.696,NA,NA,NA,NA,NA
18083,-3.18969,3.9531,-5,NA,NA,NA,-88.985,NA,NA,NA,NA
18238,-2.59754,3.65102,-4.83182,NA,NA,NA,-65.809,NA,NA,NA,NA
18453,-2.64713,3.51198,-4.96872,NA,-76.617,NA,NA,NA,NA,NA,NA
18612,-1.17642,4.18718,-5,NA,-55.207,NA,NA,NA,NA,NA,NA
18888,-2.74082,4.32762,-3.37359,NA,-119.313,NA,NA,NA,NA,NA,NA
19140,-2.60945,3.808,-4.51867,NA,NA,-99.925,NA,NA,NA,NA,NA
19221,-0.884737,3.63658,-4.66879,NA,NA,-148.6,NA,NA,NA,NA,NA
19593,-2.35502,3.27857,-4.74717,NA,NA,NA,-64.643,NA,NA,NA,NA
19657,-1.19593,3.84126,-5,NA,NA,NA,-48.423,NA,NA,NA,NA
19857,-1.43272,4.79525,-5,NA,NA,-85.744,NA,NA,NA,NA,NA
20066,-2.34265,5,-5,NA,NA,NA,-82.524,NA,NA,NA,NA
20346,-2.99193,4.51988,-5,NA,NA,NA,-85.044,NA,NA,NA,NA
20470,-1.16641,5,-4.25629,-96.677,NA,NA,NA,NA,NA,NA,NA
20655,-2.64055,3.69089,-5,-65.364,NA,NA,NA,NA,NA,NA,NA
20870,-3.28359,4.90372,-5,NA,-116.294,NA,NA,NA,NA,NA,NA
21015,-3.19309,4.03163,-5,NA,-89.231,NA,NA,NA,NA,NA,NA
21203,-4.18393,3.9045,-4.52306,-164.184,NA,NA,NA,NA,NA,NA,NA
21464,-3.18815,5,-4.19031,NA,NA,NA,-123.517,NA,NA,NA,NA
21708,-3.85213,4.74633,-3.82675,-171.723,NA,NA,NA,NA,NA,NA,NA
21954,-3.03031,5,-3.70097,-133.518,NA,NA,NA,NA,NA,NA,NA
22090,-3.78031,5,-2.67478,NA,NA,NA,NA,-315.006,NA,NA,NA
22371,-3.41235,5,-3.30776,-179.992,NA,NA,NA,NA,NA,NA,NA
22548,-3.22828,5,-3.46518,NA,NA,NA,-158.665,NA,NA,NA,NA
22706,-4.4136,4.0743,-3.46911,NA,-235.045,NA,NA,NA,NA,NA,NA
22818,-4.45851,4.12818,-3.83711,-213.048,NA,NA,NA,NA,NA,NA,NA
23187,-5,5,-4.78133,NA,-293.373,NA,NA,NA,NA,NA,NA
23345,-5,4.92991,-3.90172,NA,NA,-314.614,NA,NA,NA,NA,NA
23523,-2.3777,3.41052,-3.00067,-151.995,NA,NA,NA,NA,NA,NA,NA
23604,-2.47138,4.11901,-4.27942,NA,NA,-105.766,NA,NA,NA,NA,NA
23876,-2.07787,4.96189,-5,NA,NA,NA,-86.424,NA,NA,NA,NA
24153,-1.26558,4.04418,-5,NA,-54.932,NA,NA,NA,NA,NA,NA
24391,-1.20759,5,-5,NA,-89.891,NA,NA,NA,NA,NA,NA
24471,-0.875616,3.93463,-3.97514,-135.132,NA,NA,NA,NA,NA,NA,NA
24608,-1.95364,4.09954,-3.91886,NA,NA,NA,-72.771,NA,NA,NA,NA
24831,-1.14239,2.02447,-3.89267,NA,-337.243,NA,NA,NA,NA,NA,NA
25100,-2.03591,3.27313,-4.61303,NA,-67.903,NA,NA,NA,NA,NA,NA
