id,x0,x1,x2,fitness0,fitness-1.5
26,0.564359,3.55924,3.7506,-409.551,NA
208,0.564359,3.55924,4.54214,-182.587,NA
237,0.564359,3.55924,4.54214,NA,-61.799
268,0.564359,3.55924,4.52211,NA,-58.879
300,0.308846,3.55924,4.52211,NA,-46.59
306,0.308846,3.61172,4.52211,NA,-32.163
323,-0.0322702,3.61172,4.52211,NA,-23.774
346,0.0279081,3.61172,4.52211,NA,-16.248
406,0.150817,3.61172,4.52211,NA,-14.149
429,0.150817,3.83191,4.52211,NA,-1.603
450,0.150817,3.7359,4.52211,NA,-1.267
509,0.167468,3.7359,4.52211,NA,-1.193
602,0.167468,3.81735,4.52211,NA,-0.773
867,0.167468,3.76676,4.52211,NA,-0.192
974,0.167468,3.76676,4.52211,NA,-0.136
1672,0.167468,3.78883,4.52211,NA,-0.047
1827,0.158535,3.78883,4.52211,NA,-0.047
1945,0.166037,3.78883,4.52211,NA,-0.041
2052,0.166037,3.78883,4.52211,NA,-0.038
2580,0.166037,3.78883,4.52211,NA,-0.037
4501,0.166037,3.78165,4.52211,NA,-0.008
5013,0.164578,3.78165,4.52211,NA,-0.004
6139,0.164578,3.78165,4.52637,NA,-0.004
7759,0.164578,3.78165,4.52238,NA,-0.004
7971,0.164578,4.62268,4.52238,NA,-210.478
