id,x0,x1,x2,fitness-4,fitness-4.5,fitness-3,fitness-5,fitness-3.5
200,-4.72483,1.98561,-4.5644,-302.544,NA,NA,NA,NA
204,-5,2.92918,-5,NA,-271.364,NA,NA,NA
442,-3.52176,4.15528,-3.88066,NA,NA,-186.652,NA,NA
685,-3.02033,5,-4.27576,-106.419,NA,NA,NA,NA
932,-2.85927,4.06209,-3.14265,NA,NA,NA,-143.668,NA
1164,-2.7911,4.98383,-5,NA,NA,NA,-94.68,NA
1335,-2.52317,5,-4.66131,-88.291,NA,NA,NA,NA
1547,-1.31,3.75458,-4.50617,NA,NA,NA,-67.294,NA
1674,-1.32662,5,-5,NA,NA,NA,-93.783,NA
1849,-1.91235,4.57983,-4.84529,NA,NA,NA,-54.29,NA
2150,-1.75759,3.07061,-5,NA,NA,NA,-82.327,NA
2396,-2.67236,4.24838,-4.61184,NA,NA,NA,-72.156,NA
2531,-2.62988,4.19441,-4.43343,NA,-79.329,NA,NA,NA
2783,-1.89046,3.31676,-4.64412,NA,NA,NA,-62.256,NA
2977,-1.77583,3.4628,-5,NA,NA,NA,-39.695,NA
3111,-1.76894,4.9207,-5,NA,-69.865,NA,NA,NA
3218,-1.03553,5,-4.60974,NA,NA,NA,-100.793,NA
3500,-2.29704,5,-5,NA,-75.952,NA,NA,NA
3602,-2.17572,4.68733,-5,NA,NA,NA,-66.745,NA
3843,-2.62756,4.48041,-4.5524,NA,NA,NA,-70.93,NA
4077,-1.85899,5,-5,-85.57,NA,NA,NA,NA
4248,-2.52839,5,-5,NA,NA,NA,NA,-105.841
4495,-1.33062,5,-4.18494,NA,NA,NA,-92.17,NA
4681,-1.74522,5,-4.95882,NA,NA,NA,-70.8,NA
4821,-1.89034,3.46991,-4.60521,NA,NA,NA,-54.304,NA
5160,-1.8906,3.5734,-5,NA,NA,NA,-47.145,NA
5272,-2.29187,4.01373,-5,NA,NA,NA,-53.467,NA
5422,-0.982687,4.44787,-5,NA,NA,NA,-80.46,NA
5711,-1.97002,2.97843,-5,NA,NA,NA,-58.634,NA
5827,-0.923974,4.45061,-5,NA,NA,NA,-88.259,NA
6119,-1.08282,4.0716,-5,NA,NA,NA,-61.948,NA
6344,-2.07088,5,-4.82483,NA,NA,NA,-83.476,NA
6589,-2.35447,5,-5,NA,NA,NA,-77.95,NA
6759,-3.07101,3.9073,-4.32842,NA,NA,NA,-86.028,NA
6978,-2.76321,2.45563,-5,NA,NA,NA,-128.727,NA
7178,-2.85392,3.56952,-5,NA,NA,NA,-74.392,NA
7285,-1.97758,4.72234,-5,NA,NA,NA,-55.381,NA
7469,-1.52162,4.32145,-4.62463,NA,NA,NA,-58.608,NA
7789,-1.34711,4.85677,-5,NA,NA,NA,-72.666,NA
7843,-1.7201,4.70021,-5,NA,NA,NA,-78.322,NA
8180,-2.32198,3.73135,-4.2564,NA,-57.472,NA,NA,NA
8221,-2.19879,4.10596,-3.6145,NA,NA,NA,-94.875,NA
8521,-1.87578,4.61526,-5,NA,NA,NA,-59.596,NA
8763,-0.737701,3.72985,-5,NA,NA,NA,-72.479,NA
8890,-1.11381,3.68993,-5,NA,NA,NA,-75.885,NA
9132,-1.72395,5,-4.85924,NA,NA,NA,-69.262,NA
9221,-2.73025,5,-4.40217,NA,NA,NA,-95.711,NA
9577,-1.70756,4.80048,-4.98692,NA,NA,NA,-80.636,NA
9691,-1.71872,5,-5,NA,-82.152,NA,NA,NA
9973,-2.03018,4.02402,-5,NA,NA,NA,-46.356,NA
10197,-1.35572,4.14871,-5,NA,NA,NA,-64.476,NA
10294,-1.955,4.76399,-4.87991,NA,NA,NA,-54.241,NA
10442,-2.74603,4.6486,-4.85115,NA,NA,NA,-75.115,NA
10765,-2.43396,5,-5,NA,NA,NA,-81.7,NA
10908,-2.38323,4.83091,-5,NA,NA,NA,-79.357,NA
11174,-2.50606,4.35474,-5,NA,NA,NA,-65.787,NA
11396,-1.29448,3.20781,-5,NA,NA,NA,-82.318,NA
11446,-1.89604,3.49745,-5,NA,NA,NA,-52.305,NA
11644,-2.52568,3.24694,-5,NA,-64.072,NA,NA,NA
11874,-1.40087,3.4002,-4.63409,NA,NA,NA,-69.88,NA
12167,-2.76916,4.5077,-4.71322,NA,NA,NA,NA,-99.84
12264,-2.573,3.96912,-4.19161,NA,-65.587,NA,NA,NA
12542,-1.90252,4.03516,-5,NA,-32.556,NA,NA,NA
12764,-2.01884,2.93195,-5,NA,NA,NA,-58.436,NA
12958,-2.35951,2.62611,-5,NA,NA,NA,-92.84,NA
13014,-2.42481,4.36133,-5,NA,NA,NA,-58.172,NA
13369,-2.42475,3.41426,-5,NA,NA,NA,-56.908,NA
13492,-1.31523,3.67171,-4.88809,NA,NA,NA,-39.211,NA
13798,-2.31184,2.81001,-5,NA,NA,NA,-106.675,NA
13924,-3.85794,4.21947,-5,NA,-132.258,NA,NA,NA
14080,-2.37226,3.49749,-4.85925,NA,NA,NA,-48.704,NA
14215,-2.94264,3.77166,-3.95968,-91.161,NA,NA,NA,NA
14525,-2.68312,2.79183,-4.79586,NA,NA,NA,-85.862,NA
14700,-2.21956,3.21035,-5,NA,-59.983,NA,NA,NA
14868,-1.70158,4.43502,-4.66594,NA,-50.272,NA,NA,NA
15157,-1.57579,4.72922,-5,NA,NA,NA,-73.748,NA
