id,x0,x1,x2,fitness-1.5,fitness-2,fitness-0.5,fitness-1,fitness0,fitness2.5,fitness3.5,fitness5,fitness4.5,fitness4,fitness3,fitness2
195,4.66857,-4.05829,4.72783,2741.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,4.35546,-1.98057,5,NA,1640.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,5,-1.39555,5,NA,NA,16657.739,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,4.25605,-1.96682,4.84025,NA,NA,NA,6796.907,NA,NA,NA,NA,NA,NA,NA,NA
918,4.40471,-1.54486,5,NA,NA,NA,3365.84,NA,NA,NA,NA,NA,NA,NA,NA
1137,5,-1.81591,5,NA,NA,NA,NA,1503.467,NA,NA,NA,NA,NA,NA,NA
1392,5,-1.83895,5,NA,NA,NA,NA,682.454,NA,NA,NA,NA,NA,NA,NA
1492,4.85607,-2.06918,5,NA,NA,NA,NA,NA,1442.891,NA,NA,NA,NA,NA,NA
1654,5,-2.1087,5,NA,NA,NA,NA,NA,NA,942.633,NA,NA,NA,NA,NA
1900,5,-2.21275,5,NA,NA,NA,NA,NA,NA,NA,2167.17,NA,NA,NA,NA
2072,4.39704,-2.46523,5,NA,NA,NA,NA,NA,NA,NA,1419.33,NA,NA,NA,NA
2216,5,-1.07933,5,NA,NA,NA,NA,NA,NA,NA,2675.607,NA,NA,NA,NA
2523,4.93436,-0.850415,4.60698,NA,NA,NA,NA,NA,NA,NA,7844.876,NA,NA,NA,NA
2724,4.70432,-1.83058,2.92546,NA,NA,NA,NA,NA,NA,NA,359.132,NA,NA,NA,NA
2827,4.62212,-0.905987,3.8027,NA,NA,NA,NA,NA,NA,NA,2400.675,NA,NA,NA,NA
3053,5,-0.347098,3.71359,NA,NA,NA,NA,NA,NA,NA,NA,494.874,NA,NA,NA
3313,5,-0.769941,5,NA,NA,NA,NA,NA,NA,NA,14865.947,NA,NA,NA,NA
3597,5,-1.60144,4.1205,NA,NA,NA,NA,NA,NA,NA,3031.908,NA,NA,NA,NA
3755,5,-0.932823,5,NA,NA,NA,NA,NA,NA,NA,10406.3,NA,NA,NA,NA
3844,5,-1.6567,5,NA,NA,NA,NA,NA,NA,NA,NA,3195.374,NA,NA,NA
4058,3.6098,-0.981867,5,NA,NA,NA,NA,NA,NA,NA,1462.74,NA,NA,NA,NA
4242,4.98581,-1.42306,4.11437,NA,NA,NA,NA,NA,NA,NA,4673.849,NA,NA,NA,NA
4599,5,-0.81624,3.86742,NA,NA,NA,NA,NA,NA,NA,3836.523,NA,NA,NA,NA
4700,5,-0.963932,5,NA,NA,NA,NA,NA,NA,NA,9085.495,NA,NA,NA,NA
4896,4.53486,-0.582836,4.79461,NA,NA,NA,NA,NA,NA,NA,1186.713,NA,NA,NA,NA
5151,5,-2.0707,5,NA,NA,NA,NA,NA,NA,NA,5160.964,NA,NA,NA,NA
5291,5,-0.960375,5,NA,NA,NA,NA,NA,NA,NA,9247.786,NA,NA,NA,NA
5576,5,-0.904382,5,NA,NA,NA,NA,NA,NA,NA,11402.75,NA,NA,NA,NA
5683,5,0.380968,5,NA,NA,NA,NA,NA,NA,NA,3290.055,NA,NA,NA,NA
5923,5,-0.843708,5,NA,NA,NA,NA,NA,NA,NA,12766.606,NA,NA,NA,NA
6196,3.2045,-0.238413,5,NA,NA,NA,NA,NA,NA,NA,2936.342,NA,NA,NA,NA
6335,3.82528,-1.00781,5,NA,NA,NA,NA,NA,NA,NA,2389.966,NA,NA,NA,NA
6575,4.63302,-0.815586,4.96466,NA,NA,NA,NA,NA,NA,NA,9502.726,NA,NA,NA,NA
6601,4.56596,-1.18988,4.66854,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.033,NA,NA
6959,5,-0.900027,5,NA,NA,NA,NA,NA,NA,NA,11536.127,NA,NA,NA,NA
7057,5,0.334453,5,NA,NA,NA,NA,NA,NA,NA,3462.809,NA,NA,NA,NA
7296,5,0.493851,5,NA,NA,NA,NA,NA,NA,NA,1688.437,NA,NA,NA,NA
7419,5,-0.810425,5,NA,NA,NA,NA,NA,NA,NA,NA,5201.708,NA,NA,NA
7771,5,-0.795243,5,NA,NA,NA,NA,NA,NA,NA,17221.377,NA,NA,NA,NA
7941,5,-0.797467,5,NA,NA,NA,NA,NA,NA,NA,16042.366,NA,NA,NA,NA
8001,4.09079,-1.56838,5,NA,NA,NA,NA,NA,NA,NA,2766.081,NA,NA,NA,NA
8204,4.13363,-1.32174,4.82041,NA,NA,NA,NA,NA,NA,NA,5679.728,NA,NA,NA,NA
8564,4.15083,-1.07055,4.21599,NA,NA,NA,NA,NA,NA,NA,915.375,NA,NA,NA,NA
8733,3.60013,-0.96977,5,NA,NA,NA,NA,NA,NA,NA,1384.241,NA,NA,NA,NA
8843,3.93752,-0.897251,5,NA,NA,NA,NA,NA,NA,NA,1713.363,NA,NA,NA,NA
9099,5,-1.54137,5,NA,NA,NA,NA,NA,NA,NA,NA,5607.428,NA,NA,NA
9341,4.76642,0.204154,5,NA,NA,NA,NA,NA,NA,NA,2482.689,NA,NA,NA,NA
9591,4.96811,-0.571236,5,NA,NA,NA,NA,NA,NA,NA,6942.592,NA,NA,NA,NA
9715,5,-0.785206,5,NA,NA,NA,NA,NA,NA,NA,13022.798,NA,NA,NA,NA
9925,5,-0.255343,4.29325,NA,NA,NA,NA,NA,NA,NA,4597.177,NA,NA,NA,NA
10187,5,-1.01215,4.72923,NA,NA,NA,NA,NA,NA,NA,7720.368,NA,NA,NA,NA
10242,5,-1.05385,5,NA,NA,NA,NA,NA,NA,NA,4230.518,NA,NA,NA,NA
10492,5,-1.05739,5,NA,NA,NA,NA,NA,NA,NA,4017.367,NA,NA,NA,NA
10743,5,-0.860006,4.73148,NA,NA,NA,NA,NA,NA,NA,13587.779,NA,NA,NA,NA
10888,5,-0.924345,5,NA,NA,NA,NA,NA,NA,NA,10725.506,NA,NA,NA,NA
11148,5,-0.914267,5,NA,NA,NA,NA,NA,NA,NA,11080.724,NA,NA,NA,NA
11249,5,-0.825068,5,NA,NA,NA,NA,NA,NA,NA,12963.173,NA,NA,NA,NA
11571,5,-0.721264,4.87469,NA,NA,NA,NA,NA,NA,NA,16097.006,NA,NA,NA,NA
11751,5,-0.581062,5,NA,NA,NA,NA,NA,NA,NA,8467.743,NA,NA,NA,NA
11884,5,-1.3137,4.17737,NA,NA,NA,NA,NA,NA,NA,5225.315,NA,NA,NA,NA
12169,5,-1.49169,5,NA,NA,NA,NA,NA,NA,NA,NA,5911.718,NA,NA,NA
12399,5,-0.510458,5,NA,NA,NA,NA,NA,NA,NA,2888.079,NA,NA,NA,NA
12588,5,-0.772996,4.6195,NA,NA,NA,NA,NA,NA,NA,7346.975,NA,NA,NA,NA
