id,x0,x1,x2,fitness-1.5,fitness-3.5,fitness-4,fitness-5,fitness-4.5,fitness-2.5,fitness-1,fitness1,fitness-2,fitness0,fitness0.5,fitness4,fitness4.5,fitness2.5,fitness2,fitness3,fitness5,fitness-0.5,fitness1.5,fitness-3,fitness3.5
149,-0.196142,-1.50344,1.45805,237.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,-0.942684,-1.53081,0.867173,NA,19.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,0.572562,-0.591759,3.00524,NA,NA,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,0.74949,-1.02231,3.14646,NA,NA,NA,162.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,-0.406637,-2.44574,2.51282,NA,NA,NA,NA,16.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,-1.82063,-3.41238,2.51006,NA,NA,7.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,-1.25681,-4.32038,2.63977,NA,-8.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1530,-2.46047,-3.21403,1.77031,NA,NA,NA,NA,NA,35.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1768,-3.3256,-3.48203,0.610394,NA,NA,NA,NA,NA,NA,2.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,-2.46905,-2.28664,-0.442993,NA,NA,NA,NA,NA,NA,NA,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,-1.0223,-3.13049,1.20215,443.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2334,-2.56533,-2.43598,1.32072,387.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2518,-2.85222,-3.52017,1.8719,NA,NA,NA,NA,NA,NA,NA,NA,14.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2631,-2.34561,-2.52487,2.23102,NA,NA,NA,NA,NA,NA,48.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2940,-4.97606,-2.79218,1.10206,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3034,-4.75591,-2.99406,1.79339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3275,-5,-2.32289,1.79345,NA,NA,NA,NA,NA,NA,-75.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3599,-5,-3.1214,2.02801,-26.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3787,-4.6473,-4.0592,3.85724,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3940,-5,-5,4.37042,NA,NA,NA,NA,NA,NA,NA,-2.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4126,-4.48492,-5,3.19852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.538,NA,NA,NA,NA,NA,NA,NA,NA,NA
4268,-1.78576,-4.42413,4.38605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.793,NA,NA,NA,NA,NA,NA,NA,NA,NA
4498,-2.51791,-4.52961,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.555,NA,NA,NA,NA,NA,NA,NA,NA
4605,-4.22122,-4.49531,4.86415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.247,NA,NA,NA,NA,NA,NA,NA
4854,-4.26525,-4.24483,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.885,NA,NA,NA,NA,NA,NA
5036,-2.54046,-5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253.867,NA,NA,NA,NA,NA
5318,-2.07579,-4.79155,4.43645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.54,NA,NA,NA,NA
5559,-3.35284,-4.96056,3.97704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.488,NA,NA,NA,NA
5661,-1.17533,-4.7318,3.65477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.069,NA,NA,NA,NA
5806,-0.722389,-5,3.24402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1306.518,NA,NA,NA,NA
6100,0.144044,-4.1951,4.33203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.468,NA,NA,NA,NA
6309,1.45792,-4.43229,4.55673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.686,NA,NA,NA,NA,NA,NA,NA
6486,1.53763,-3.54456,4.38415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.773,NA,NA,NA,NA,NA
6724,1.98512,-4.28813,2.15174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.245,NA,NA,NA,NA,NA,NA,NA
6975,2.05658,-3.9051,2.43511,4.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7147,0.434374,-3.39951,3.05979,NA,NA,NA,NA,NA,NA,18.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7223,2.37737,-3.73278,4.51491,NA,NA,NA,NA,NA,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7461,2.99824,-2.35749,4.47347,NA,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7717,4.58427,-2.29255,5,NA,NA,-0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7880,5,-1.84061,3.66466,NA,35.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8183,5,-2.28983,4.31307,NA,-3.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8330,5,-2.29087,4.43413,NA,NA,NA,1.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8419,4.84202,-2.10714,4.0215,NA,NA,NA,NA,NA,NA,NA,NA,290.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8795,5,-1.36511,3.58306,NA,NA,NA,NA,NA,NA,1509.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8990,5,-1.73621,3.51458,85.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9139,5,-0.863833,2.75045,NA,NA,NA,NA,NA,NA,NA,NA,NA,1502.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9356,3.79581,-0.502696,4.20534,NA,NA,NA,NA,NA,NA,773.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9578,4.22738,-1.61783,3.58011,NA,NA,NA,NA,NA,NA,20.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9665,3.65879,-1.37644,4.29826,1179.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10000,5,-1.63983,4.5384,NA,NA,NA,NA,NA,NA,NA,NA,495.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10085,4.70272,-2.60318,4.28276,739.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10221,5,-2.77719,3.43435,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10595,5,-0.504389,4.67755,NA,NA,NA,NA,NA,NA,1693.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10762,5,0.513841,3.5333,NA,NA,NA,NA,NA,NA,1.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10911,3.92848,0.413184,3.4319,NA,NA,NA,NA,NA,NA,65.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11153,4.53608,-0.265588,1.73881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.104,NA,NA,NA
11336,4.70329,0.76854,1.50623,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11461,5,2.53688,2.59391,22.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11659,4.96299,2.12614,2.79624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.309,NA,NA,NA
11972,5,1.60562,2.53463,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12171,5,2.04113,3.4753,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12218,5,0.809246,1.54525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12474,5,0.640157,1.36634,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12608,5,1.35148,2.79254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.636,NA,NA,NA
12860,4.76386,-0.345034,3.33206,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13174,4.81208,1.53406,4.4428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
