id,x0,x1,x2,fitness9.5,fitness8,fitness8.5,fitness7.5,fitness7,fitness9,fitness4.5,fitness5,fitness6.5,fitness6,fitness10
186,6.97237,7.49269,1.18293,0.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,6.86284,7.83624,4.00527,NA,0.817,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,6.95434,7.14384,3.96265,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,7.65472,7.24999,3.50188,NA,NA,0.532,NA,NA,NA,NA,NA,NA,NA,NA
966,7.36401,7.96961,4.38359,NA,NA,0.737,NA,NA,NA,NA,NA,NA,NA,NA
1068,8.24905,7.73043,6.33753,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA
1264,8.44345,7.44854,7.59325,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA,NA
1512,7.7452,6.85289,8.0173,NA,NA,NA,0.813,NA,NA,NA,NA,NA,NA,NA
1757,8.05864,7.88077,7.89332,NA,NA,NA,0.947,NA,NA,NA,NA,NA,NA,NA
1897,7.78504,8.34599,8.38082,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA,NA
2111,8.07715,7.14163,7.37033,NA,NA,NA,0.855,NA,NA,NA,NA,NA,NA,NA
2216,8.73297,8.52753,7.56051,NA,NA,NA,0.699,NA,NA,NA,NA,NA,NA,NA
2523,8.66733,8.75644,7.16748,NA,NA,NA,0.598,NA,NA,NA,NA,NA,NA,NA
2731,8.29502,8.07265,7.51108,NA,NA,NA,NA,0.839,NA,NA,NA,NA,NA,NA
2853,8.20742,7.01625,6.43459,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA
3153,7.94774,6.83907,7.25547,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA
3372,7.60054,6.79463,7.25474,NA,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA
3600,7.24563,6.96288,7.02832,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA
3679,7.65986,7.87978,7.28797,NA,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA
3961,8.48234,7.87594,6.96404,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA
4103,7.63475,7.01476,8.35696,NA,NA,NA,0.783,NA,NA,NA,NA,NA,NA,NA
4392,7.30139,7.79766,8.74779,NA,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA
4410,7.08323,7.71613,9.00105,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
4776,7.29046,8.28811,8.26874,NA,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA
4989,7.42601,8.73051,7.27212,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA,NA
5132,8.0831,7.84885,8.43806,NA,NA,NA,0.832,NA,NA,NA,NA,NA,NA,NA
5316,8.27807,7.74321,7.25254,NA,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA
5497,7.95521,8.46121,8.05296,NA,NA,NA,0.862,NA,NA,NA,NA,NA,NA,NA
5745,7.83305,7.86451,8.39721,NA,NA,NA,0.882,NA,NA,NA,NA,NA,NA,NA
5946,7.69844,8.39417,7.85547,NA,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA
6043,6.79838,8.48388,7.30145,NA,NA,NA,NA,0.619,NA,NA,NA,NA,NA,NA
6312,8.3967,8.48964,8.12867,NA,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA
6553,8.48807,8.81015,7.79222,NA,NA,NA,NA,NA,0.522,NA,NA,NA,NA,NA
6782,7.02741,8.18423,7.9578,NA,NA,0.672,NA,NA,NA,NA,NA,NA,NA,NA
6874,7.21037,7.64554,7.70339,NA,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA
7069,7.01902,7.28248,8.20453,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA
7360,7.66079,7.67332,8.40398,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA
7403,8.41054,8.09186,8.38827,NA,NA,NA,0.784,NA,NA,NA,NA,NA,NA,NA
7634,7.62269,7.79839,8.86315,NA,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA
7983,7.53163,8.60797,7.8406,NA,NA,NA,NA,NA,NA,0.796,NA,NA,NA,NA
8041,6.83872,7.73848,7.63411,NA,NA,NA,NA,NA,NA,NA,0.591,NA,NA,NA
8394,7.90146,7.17306,6.99972,NA,NA,NA,0.805,NA,NA,NA,NA,NA,NA,NA
8448,7.61576,7.5194,6.61644,NA,NA,NA,0.752,NA,NA,NA,NA,NA,NA,NA
8768,8.19351,7.17931,8.33064,NA,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA
8947,7.94642,6.94739,7.75832,NA,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA
9092,7.99363,7.90976,7.53172,NA,0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA
9212,6.61286,8.84171,7.24131,NA,0.483,NA,NA,NA,NA,NA,NA,NA,NA,NA
9407,7.20522,7.01629,7.59379,NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA
9686,7.72328,7.79672,7.51718,NA,NA,NA,NA,NA,0.759,NA,NA,NA,NA,NA
9935,7.22335,7.69454,7.90852,NA,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA
10083,7.47831,7.09889,7.89018,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA
10374,8.15616,7.49333,7.51607,NA,NA,NA,NA,0.868,NA,NA,NA,NA,NA,NA
10548,8.14219,7.35478,8.69932,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA
10659,7.52469,7.50167,7.10597,NA,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA
10911,7.41966,7.50045,8.27668,NA,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA
11063,7.6196,7.10359,7.53737,NA,NA,0.839,NA,NA,NA,NA,NA,NA,NA,NA
