id,x0,x1,x2,fitness8.5,fitness9,fitness8,fitness7.5,fitness7,fitness6.5,fitness6,fitness5,fitness3,fitness4.5,fitness9.5,fitness10.5,fitness10,fitness5.5,fitness4,fitness3.5
41,7.91383,5.00015,6.60794,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,7.26484,4.85605,6.64973,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,7.96442,4.78575,7.54764,NA,NA,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
673,7.87966,4.2916,8.10318,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
801,6.67951,3.66968,8.22353,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1162,7.10487,3.93617,7.80778,NA,NA,NA,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1201,7.86115,4.5944,8.27757,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1492,7.32777,6.51171,8.82351,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1710,7.50493,6.94531,8.89003,NA,NA,NA,NA,NA,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,8.14153,7.84597,7.45576,NA,NA,NA,NA,NA,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2131,7.37461,8.12171,8.22055,NA,NA,NA,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2294,7.94221,8.63384,10.1643,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2406,7.43349,7.81665,10.4154,NA,NA,NA,NA,NA,NA,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA
2622,8.00159,7.91254,8.10783,NA,NA,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
