id,x0,x1,x2,fitness-3,fitness-3.5,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness-1,fitness-4.5,fitness-5,fitness-0.5
71,2.53921,0.970639,-4.56544,-43.806,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,2.41492,0.951598,-4.74595,NA,-56.954,NA,NA,NA,NA,NA,NA,NA,NA
402,1.1801,2.49222,-4.37161,NA,-51.887,NA,NA,NA,NA,NA,NA,NA,NA
645,1.88327,1.75522,-3.43113,-32.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
864,0.668337,1.77449,-2.82885,NA,NA,-133.571,NA,NA,NA,NA,NA,NA,NA
1081,1.39395,1.78603,-3.87004,NA,NA,NA,-11.919,NA,NA,NA,NA,NA,NA
1313,1.79696,0.993498,-3.97648,NA,NA,NA,-24.943,NA,NA,NA,NA,NA,NA
1555,1.96162,1.0512,-4.15339,NA,NA,NA,NA,-30.445,NA,NA,NA,NA,NA
1799,2.21849,2.93502,-5,-56.544,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,1.58744,1.41643,-5,NA,NA,NA,NA,-24.582,NA,NA,NA,NA,NA
2091,1.66288,0.827862,-4.15951,NA,-56.661,NA,NA,NA,NA,NA,NA,NA,NA
2314,1.53618,1.87495,-5,-27.499,NA,NA,NA,NA,NA,NA,NA,NA,NA
2479,1.60515,3.59779,-5,NA,NA,NA,-91.572,NA,NA,NA,NA,NA,NA
2750,2.57893,1.78943,-5,NA,NA,NA,-29.054,NA,NA,NA,NA,NA,NA
2905,1.94836,1.27253,-4.60362,-22.498,NA,NA,NA,NA,NA,NA,NA,NA,NA
3142,2.23506,0.854445,-4.38213,NA,-55.263,NA,NA,NA,NA,NA,NA,NA,NA
3317,2.20587,1.15411,-4.39659,NA,NA,NA,-14.892,NA,NA,NA,NA,NA,NA
3545,0.537058,1.548,-4.15377,NA,NA,NA,-50.076,NA,NA,NA,NA,NA,NA
3741,0.826461,1.68396,-4.45528,NA,NA,NA,-30.718,NA,NA,NA,NA,NA,NA
3890,0.909792,2.00366,-4.41092,NA,NA,NA,NA,-30.613,NA,NA,NA,NA,NA
4070,0.709837,2.22452,-4.48621,NA,NA,NA,NA,-40.489,NA,NA,NA,NA,NA
4398,1.49311,1.68229,-4.77469,NA,NA,NA,NA,NA,-26.876,NA,NA,NA,NA
4528,1.73268,1.83982,-5,NA,NA,NA,-16.514,NA,NA,NA,NA,NA,NA
4779,1.27984,1.38719,-5,NA,NA,NA,-28.251,NA,NA,NA,NA,NA,NA
4822,0.858591,1.95691,-4.39536,NA,NA,NA,-27.809,NA,NA,NA,NA,NA,NA
5086,1.3705,1.9749,-5,NA,NA,NA,NA,NA,-41.474,NA,NA,NA,NA
5313,2.27998,2.0456,-5,-32.001,NA,NA,NA,NA,NA,NA,NA,NA,NA
5514,1.42116,1.7688,-4.894,NA,NA,NA,-14.764,NA,NA,NA,NA,NA,NA
5749,2.07069,0.920201,-5,NA,NA,NA,-38.718,NA,NA,NA,NA,NA,NA
5822,1.44639,1.87079,-4.538,NA,-35.276,NA,NA,NA,NA,NA,NA,NA,NA
6136,1.49047,1.34141,-5,NA,NA,NA,-21.974,NA,NA,NA,NA,NA,NA
6263,1.37467,1.375,-5,-31.363,NA,NA,NA,NA,NA,NA,NA,NA,NA
6558,1.17449,1.51077,-4.69405,NA,NA,NA,NA,-20.345,NA,NA,NA,NA,NA
6792,2.26877,1.81229,-4.64351,-16.407,NA,NA,NA,NA,NA,NA,NA,NA,NA
6887,2.30479,1.89275,-4.67976,NA,-31.436,NA,NA,NA,NA,NA,NA,NA,NA
7134,2.07204,1.28238,-4.39522,-13.987,NA,NA,NA,NA,NA,NA,NA,NA,NA
7326,2.27735,1.36247,-3.40356,-38.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
7489,1.99013,0.996021,-4.91979,NA,-42.512,NA,NA,NA,NA,NA,NA,NA,NA
7627,1.44435,1.7758,-5,NA,NA,NA,-18.489,NA,NA,NA,NA,NA,NA
7969,2.31079,2.32215,-4.75384,-29.411,NA,NA,NA,NA,NA,NA,NA,NA,NA
8080,1.78849,1.82716,-4.28461,NA,NA,NA,-2.121,NA,NA,NA,NA,NA,NA
8256,2.42813,2.177,-5,-37.831,NA,NA,NA,NA,NA,NA,NA,NA,NA
8462,1.74089,1.43645,-4.28341,NA,NA,NA,-1.028,NA,NA,NA,NA,NA,NA
8758,0.579062,0.658445,-5,NA,NA,NA,-129.477,NA,NA,NA,NA,NA,NA
8851,1.50995,1.08069,-4.55816,NA,NA,NA,NA,NA,-46.876,NA,NA,NA,NA
9067,1.45034,2.27841,-5,NA,NA,NA,NA,-28.927,NA,NA,NA,NA,NA
9243,2.25278,2.11125,-4.64469,NA,NA,NA,NA,-16.785,NA,NA,NA,NA,NA
9471,2.53756,2.13109,-5,NA,NA,NA,NA,NA,-50.771,NA,NA,NA,NA
9696,2.04532,2.64535,-4.98108,-37.572,NA,NA,NA,NA,NA,NA,NA,NA,NA
9856,1.92787,2.12472,-5,NA,NA,NA,NA,-23.728,NA,NA,NA,NA,NA
10130,2.28187,1.09004,-4.86197,NA,NA,NA,-29.267,NA,NA,NA,NA,NA,NA
10340,1.04655,1.71123,-4.42552,NA,NA,NA,NA,-28.636,NA,NA,NA,NA,NA
10423,1.48968,1.13762,-4.75903,NA,NA,NA,NA,-25.881,NA,NA,NA,NA,NA
10735,0.639459,0.772656,-5,NA,NA,NA,-120.688,NA,NA,NA,NA,NA,NA
10829,1.87387,0.604634,-4.96684,NA,-73.391,NA,NA,NA,NA,NA,NA,NA,NA
11063,2.28855,1.40657,-5,NA,-41.238,NA,NA,NA,NA,NA,NA,NA,NA
11271,2.43974,2.82629,-5,-56.628,NA,NA,NA,NA,NA,NA,NA,NA,NA
11482,2.5591,2.94712,-5,-62.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
11618,3.16095,2.64501,-5,NA,NA,NA,-73.607,NA,NA,NA,NA,NA,NA
11882,1.8796,2.73616,-5,NA,NA,NA,NA,-42.106,NA,NA,NA,NA,NA
12012,1.38196,2.33485,-5,-33.168,NA,NA,NA,NA,NA,NA,NA,NA,NA
12239,1.82847,1.40166,-4.7455,-20.455,NA,NA,NA,NA,NA,NA,NA,NA,NA
12567,2.88491,1.74256,-4.38963,NA,-46.918,NA,NA,NA,NA,NA,NA,NA,NA
12723,2.42053,1.58937,-4.81397,NA,NA,NA,NA,NA,-42.557,NA,NA,NA,NA
12865,1.83052,1.55768,-4.80925,NA,NA,NA,NA,NA,NA,-51.12,NA,NA,NA
13057,0.939103,1.34739,-4.73276,NA,NA,NA,-34.623,NA,NA,NA,NA,NA,NA
13345,0.938006,2.30396,-5,NA,NA,NA,-39.083,NA,NA,NA,NA,NA,NA
13506,1.03498,2.47622,-3.86783,NA,NA,NA,NA,-41.021,NA,NA,NA,NA,NA
13641,2.43745,2.74975,-4.39784,NA,NA,NA,NA,-43.235,NA,NA,NA,NA,NA
13938,1.71343,1.47197,-5,NA,NA,NA,NA,-27.901,NA,NA,NA,NA,NA
14024,1.88461,1.25279,-4.72264,NA,NA,NA,NA,-13.699,NA,NA,NA,NA,NA
14284,0.749277,1.88698,-5,-49.643,NA,NA,NA,NA,NA,NA,NA,NA,NA
14520,1.43618,1.35548,-4.1585,-10.197,NA,NA,NA,NA,NA,NA,NA,NA,NA
14712,2.39107,1.87709,-5,NA,NA,NA,NA,-32.853,NA,NA,NA,NA,NA
14962,2.10721,2.18026,-4.91209,NA,NA,NA,NA,-23.089,NA,NA,NA,NA,NA
15037,2.2218,2.19732,-5,NA,NA,NA,-24.772,NA,NA,NA,NA,NA,NA
15250,2.3241,1.70653,-5,NA,NA,NA,NA,-28.639,NA,NA,NA,NA,NA
15551,0.932621,1.37936,-5,NA,NA,NA,-43.62,NA,NA,NA,NA,NA,NA
15711,1.70695,1.58293,-5,-21.658,NA,NA,NA,NA,NA,NA,NA,NA,NA
15815,1.89774,2.3396,-5,NA,NA,NA,-24.172,NA,NA,NA,NA,NA,NA
16015,2.26589,1.95358,-5,NA,NA,NA,-21.795,NA,NA,NA,NA,NA,NA
16366,1.92224,1.41283,-5,NA,NA,NA,-16.961,NA,NA,NA,NA,NA,NA
16494,0.429132,1.56541,-5,NA,NA,NA,-63.404,NA,NA,NA,NA,NA,NA
16700,1.95296,3.04399,-5,NA,NA,NA,NA,-55.415,NA,NA,NA,NA,NA
16906,0.700201,2.13538,-5,NA,NA,-81.076,NA,NA,NA,NA,NA,NA,NA
17016,1.53929,1.55268,-5,NA,-32.121,NA,NA,NA,NA,NA,NA,NA,NA
17215,1.4565,1.75283,-5,NA,-38.205,NA,NA,NA,NA,NA,NA,NA,NA
17565,1.46831,2.67575,-5,NA,NA,NA,NA,-42.041,NA,NA,NA,NA,NA
17711,1.42015,1.35971,-5,NA,NA,NA,-24.931,NA,NA,NA,NA,NA,NA
17875,2.25583,0.540581,-5,NA,NA,NA,NA,-78.435,NA,NA,NA,NA,NA
18111,1.89191,1.66709,-5,NA,NA,NA,-15.587,NA,NA,NA,NA,NA,NA
18374,2.48067,2.64943,-5,NA,-56.264,NA,NA,NA,NA,NA,NA,NA,NA
18530,1.51709,1.05304,-4.71459,NA,NA,-77.912,NA,NA,NA,NA,NA,NA,NA
18661,2.02363,1.73358,-3.59377,-31.738,NA,NA,NA,NA,NA,NA,NA,NA,NA
18970,1.97203,2.36789,-3.99991,NA,NA,NA,NA,NA,-40.792,NA,NA,NA,NA
19187,1.753,1.55701,-5,NA,NA,NA,NA,NA,-44.84,NA,NA,NA,NA
19227,2.3901,0.647499,-5,NA,-75.116,NA,NA,NA,NA,NA,NA,NA,NA
19476,2.33476,1.30868,-4.66132,-29.286,NA,NA,NA,NA,NA,NA,NA,NA,NA
19764,3.14751,1.2639,-5,-64.794,NA,NA,NA,NA,NA,NA,NA,NA,NA
19959,2.05612,2.28972,-4.52131,-26.823,NA,NA,NA,NA,NA,NA,NA,NA,NA
